Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000877,11.070163,[ 8 58] ; [17 26],[15.13761468 50.86238532] ; [ 9.86238532 33.13761468],1
d5,1,0.001167,10.541527,[40 29] ; [39  6],[47.81578947 21.18421053] ; [31.18421053 13.81578947],0
v1,1,0.00227,9.317438,[18 51] ; [24 20],[25.6460177 43.3539823] ; [16.3539823 27.6460177],0
r3,1,0.002347,9.255952,[46 24] ; [40  4],[52.80701754 17.19298246] ; [33.19298246 10.80701754],0
s2,1,0.004437,8.095652,[16 53] ; [22 23],[23. 46.] ; [15. 30.],0
s6,1,0.004492,8.073233,[21 49] ; [25 19],[28.24561404 41.75438596] ; [17.75438596 26.24561404],0
a2,1,0.018652,5.53381,[14 56] ; [ 2 43],[ 9.73913043 60.26086957] ; [ 6.26086957 38.73913043],0
s7,1,0.026505,4.922791,[13 52] ; [17 26],[18.05555556 46.94444444] ; [11.94444444 31.05555556],0
d1,1,0.034797,4.455127,[22 48] ; [23 22],[27.39130435 42.60869565] ; [17.60869565 27.39130435],0
v4,1,0.041165,4.16922,[48 21] ; [38  6],[52.51327434 16.48672566] ; [33.48672566 10.51327434],0
p11,1,0.049508,3.858049,[32 38] ; [29 16],[37.13043478 32.86956522] ; [23.86956522 21.13043478],0
p9,1,0.054817,3.687638,[36 34] ; [30 13],[40.88495575 29.11504425] ; [25.11504425 17.88495575],0
p4,1,0.055134,3.678031,[16 53] ; [18 27],[20.57894737 48.42105263] ; [13.42105263 31.57894737],0
s5,1,0.060016,3.536936,[ 7 62] ; [10 33],[10.47321429 58.52678571] ; [ 6.52678571 36.47321429],0
a4,1,0.061996,3.483161,[29 41] ; [11 34],[24.34782609 45.65217391] ; [15.65217391 29.34782609],0
s1,1,0.08459,2.974435,[ 8 61] ; [ 1 41],[ 5.59459459 63.40540541] ; [ 3.40540541 38.59459459],0
a3,1,0.085543,2.956318,[38 31] ; [32 13],[42.36842105 26.63157895] ; [27.63157895 17.36842105],0
d4,1,0.088921,2.893808,[45 24] ; [36  9],[49.02631579 19.97368421] ; [31.97368421 13.02631579],0
n3,1,0.104438,2.636427,[14 14] ; [14  5],[16.68085106 11.31914894] ; [11.31914894  7.68085106],0
s8,1,0.121539,2.39737,[13 57] ; [14 31],[16.43478261 53.56521739] ; [10.56521739 34.43478261],0
n2,1,0.154284,2.029375,[16 14] ; [14  5],[18.36734694 11.63265306] ; [11.63265306  7.36734694],0
a1,1,0.194547,1.682842,[ 8 62] ; [ 2 43],[ 6.08695652 63.91304348] ; [ 3.91304348 41.08695652],0
p10,1,0.199627,1.6451,[32 38] ; [25 18],[35.30973451 34.69026549] ; [21.69026549 21.30973451],0
d3,1,0.251635,1.314206,[38 30] ; [30 15],[40.92035398 27.07964602] ; [27.07964602 17.92035398],0
p2,1,0.252687,1.308388,[37 32] ; [29 16],[39.94736842 29.05263158] ; [26.05263158 18.94736842],0
r1,1,0.264409,1.245527,[41 29] ; [31 14],[43.82608696 26.17391304] ; [28.17391304 16.82608696],0
p6,1,0.269045,1.221608,[ 9 60] ; [ 9 34],[11.08928571 57.91071429] ; [ 6.91071429 36.08928571],0
p8,1,0.276154,1.185919,[16 53] ; [14 29],[18.48214286 50.51785714] ; [11.51785714 31.48214286],0
r4,1,0.28096,1.162442,[38 32] ; [29 16],[40.7826087 29.2173913] ; [26.2173913 18.7826087],0
d2,1,0.305637,1.049436,[28 41] ; [14 31],[25.42105263 43.57894737] ; [16.57894737 28.42105263],0
p7,1,0.327571,0.958477,[23 43] ; [19 24],[25.43119266 40.56880734] ; [16.56880734 26.43119266],0
b1,1,0.378524,0.77549,[37 33] ; [20 25],[34.69565217 35.30434783] ; [22.30434783 22.69565217],0
a5,1,0.414707,0.665267,[35 35] ; [26 19],[37.13043478 32.86956522] ; [23.86956522 21.13043478],0
a6,1,0.423091,0.641712,[45 24] ; [26 19],[42.97368421 26.02631579] ; [28.02631579 16.97368421],0
b4,1,0.451756,0.566242,[37 33] ; [27 18],[38.95652174 31.04347826] ; [25.04347826 19.95652174],0
r2,1,0.479351,0.50034,[54 15] ; [36  7],[55.44642857 13.55357143] ; [34.55357143  8.44642857],0
u2,1,0.536527,0.382015,[19 13] ; [9 4],[19.91111111 12.08888889] ; [8.08888889 4.91111111],0
b3,1,0.548952,0.359198,[12 30] ; [ 5 18],[10.98461538 31.01538462] ; [ 6.01538462 16.98461538],0
b2,1,0.548952,0.359198,[12 30] ; [ 5 18],[10.98461538 31.01538462] ; [ 6.01538462 16.98461538],0
u1,1,0.554735,0.348902,[ 5 65] ; [ 2 43],[ 4.26086957 65.73913043] ; [ 2.73913043 42.26086957],0
n4,1,0.618157,0.248466,[36 34] ; [21 24],[34.69565217 35.30434783] ; [22.30434783 22.69565217],0
b5,1,0.637143,0.222499,[42 28] ; [25 20],[40.7826087 29.2173913] ; [26.2173913 18.7826087],0
p5,1,0.661048,0.192253,[ 2 67] ; [ 2 43],[ 2.42105263 66.57894737] ; [ 1.57894737 43.42105263],0
s3,1,0.707936,0.140347,[30 38] ; [21 23],[30.96428571 37.03571429] ; [20.03571429 23.96428571],0
a8,1,0.745523,0.105331,[ 8 60] ; [ 4 37],[ 7.48623853 60.51376147] ; [ 4.51376147 36.48623853],0
n1,1,0.759908,0.093393,[11 19] ; [ 7 10],[11.4893617 18.5106383] ; [ 6.5106383 10.4893617],0
n5,1,0.848047,0.036715,[34 35] ; [23 22],[34.5 34.5] ; [22.5 22.5],0
a7,1,0.863017,0.029768,[44 26] ; [29 16],[44.43478261 25.56521739] ; [28.56521739 16.43478261],0
s4,1,0.885481,0.020743,[10 60] ; [ 6 39],[ 9.73913043 60.26086957] ; [ 6.26086957 38.73913043],0
u3,1,0.964944,0.001932,[17 15] ; [7 6],[17.06666667 14.93333333] ; [6.93333333 6.06666667],0
p1,1,0.980356,0.000606,[ 3 66] ; [ 2 43],[ 3.02631579 65.97368421] ; [ 1.97368421 43.02631579],0
