Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.004096,8.240623,[ 6 22] ; [14  9],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],0
d1,1,0.0096,6.707609,[ 7 21] ; [14  9],[11.52941176 16.47058824] ; [ 9.47058824 13.52941176],0
p6,1,0.010344,6.574675,[ 2 26] ; [ 8 14],[ 5.6 22.4] ; [ 4.4 17.6],0
n5,1,0.013403,6.115165,[11 17] ; [17  6],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
p11,1,0.015319,5.879447,[14 14] ; [19  4],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
d5,1,0.020065,5.406211,[16 12] ; [20  3],[19.76470588  8.23529412] ; [16.23529412  6.76470588],0
d2,1,0.022243,5.226708,[ 6 22] ; [12 11],[ 9.88235294 18.11764706] ; [ 8.11764706 14.88235294],0
n4,1,0.025865,4.96505,[12 16] ; [17  6],[15.92156863 12.07843137] ; [13.07843137  9.92156863],0
s6,1,0.035976,4.398232,[10 18] ; [15  8],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
d3,1,0.03779,4.314431,[14 14] ; [18  5],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
v3,1,0.0457,3.992624,[ 5 23] ; [10 13],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
a7,1,0.056477,3.637938,[12 16] ; [16  7],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
r3,1,0.087726,2.915606,[17 11] ; [19  4],[19.76470588  8.23529412] ; [16.23529412  6.76470588],0
r4,1,0.090277,2.86943,[ 5 23] ; [ 9 14],[ 7.68627451 20.31372549] ; [ 6.31372549 16.68627451],0
p12,1,0.098645,2.727322,[ 1 27] ; [ 4 19],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
a3,1,0.134896,2.235236,[15 13] ; [17  6],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
u3,1,0.140711,2.170163,[4 9] ; [4 2],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
p8,1,0.157015,2.002738,[ 8 20] ; [11 12],[10.43137255 17.56862745] ; [ 8.56862745 14.43137255],0
a4,1,0.167419,1.905901,[ 6 22] ; [ 9 14],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
p4,1,0.179664,1.800401,[13 15] ; [15  8],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
a2,1,0.210582,1.567423,[ 1 27] ; [ 3 20],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
p2,1,0.212391,1.555054,[16 12] ; [17  6],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
v4,1,0.244391,1.355087,[15 13] ; [16  7],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
b4,1,0.253671,1.302973,[19  9] ; [12 11],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
p5,1,0.281363,1.160493,[ 3 25] ; [ 5 18],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
s4,1,0.281363,1.160493,[ 3 25] ; [ 5 18],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
b1,1,0.357363,0.847139,[17 11] ; [11 12],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
s2,1,0.360628,0.835706,[ 8 20] ; [ 9 13],[ 9.52 18.48] ; [ 7.48 14.52],0
u2,1,0.41923,0.652473,[9 4] ; [3 3],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
s3,1,0.430394,0.62176,[ 7 20] ; [ 8 14],[ 8.26530612 18.73469388] ; [ 6.73469388 15.26530612],0
n1,1,0.435488,0.608144,[3 8] ; [1 7],[2.31578947 8.68421053] ; [1.68421053 6.31578947],0
p7,1,0.507142,0.439959,[12 16] ; [12 11],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
r1,1,0.572014,0.319325,[10 18] ; [10 13],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],0
p10,1,0.585024,0.298183,[17 11] ; [15  7],[17.92 10.08] ; [14.08  7.92],0
a6,1,0.642429,0.21558,[14 14] ; [13 10],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
n6,1,0.665308,0.18714,[16 11] ; [15  8],[16.74 10.26] ; [14.26  8.74],0
s7,1,0.671373,0.18,[ 9 16] ; [ 6 14],[ 8.33333333 16.66666667] ; [ 6.66666667 13.33333333],0
s1,1,0.672939,0.178183,[ 2 26] ; [ 1 22],[ 1.64705882 26.35294118] ; [ 1.35294118 21.64705882],0
n2,1,0.728794,0.120222,[6 5] ; [5 3],[6.36842105 4.63157895] ; [4.63157895 3.36842105],0
s5,1,0.78472,0.074624,[ 7 21] ; [ 5 18],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
b2,1,0.803316,0.06203,[ 6 13] ; [5 9],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
b3,1,0.803316,0.06203,[ 6 13] ; [5 9],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
p1,1,0.809381,0.058189,[ 3 25] ; [ 2 21],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
a1,1,0.809381,0.058189,[ 3 25] ; [ 2 21],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
p9,1,0.824582,0.049131,[18  9] ; [14  8],[17.63265306  9.36734694] ; [14.36734694  7.63265306],0
a5,1,0.833126,0.044392,[15 13] ; [13 10],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
b5,1,0.833126,0.044392,[15 13] ; [13 10],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
s8,1,0.843176,0.039138,[ 8 20] ; [ 6 17],[ 7.68627451 20.31372549] ; [ 6.31372549 16.68627451],0
n3,1,0.844674,0.038384,[6 5] ; [4 4],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
u1,1,0.886974,0.020202,[ 1 27] ; [ 1 22],[ 1.09803922 26.90196078] ; [ 0.90196078 22.09803922],0
a8,1,0.90278,0.014921,[ 3 24] ; [ 2 18],[ 2.87234043 24.12765957] ; [ 2.12765957 17.87234043],0
p3,1,0.98051,0.000597,[ 9 19] ; [ 7 15],[ 8.96 19.04] ; [ 7.04 14.96],0
