Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.340928,[26  4] ; [29 43],[16.17647059 13.82352941] ; [38.82352941 33.17647059],1
p4,1,0.000216,13.684472,[22  8] ; [24 48],[13.52941176 16.47058824] ; [32.47058824 39.52941176],1
p8,1,0.00053,12.005285,[19 11] ; [20 54],[11.25 18.75] ; [27.75 46.25],1
s6,1,0.004128,8.226782,[20  9] ; [27 45],[13.4950495 15.5049505] ; [33.5049505 38.4950495],0
s5,1,0.007491,7.151351,[12 16] ; [12 58],[ 6.85714286 21.14285714] ; [17.14285714 52.85714286],0
v4,1,0.010438,6.558529,[29  1] ; [54 18],[24.41176471  5.58823529] ; [58.58823529 13.41176471],0
s7,1,0.012444,6.24651,[14 13] ; [18 53],[ 8.81632653 18.18367347] ; [23.18367347 47.81632653],0
d5,1,0.01251,6.237162,[19 11] ; [27 47],[13.26923077 16.73076923] ; [32.73076923 41.26923077],0
r3,1,0.015648,5.842,[28  2] ; [53 21],[23.36538462  6.63461538] ; [57.63461538 16.36538462],0
r4,1,0.02574,4.973387,[24  6] ; [42 32],[19.03846154 10.96153846] ; [46.96153846 27.03846154],0
p2,1,0.034626,4.463509,[24  6] ; [43 31],[19.32692308 10.67307692] ; [47.67307692 26.32692308],0
p3,1,0.037603,4.322889,[12 18] ; [15 59],[ 7.78846154 22.21153846] ; [19.21153846 54.78846154],0
p11,1,0.043475,4.076847,[23  7] ; [41 33],[18.46153846 11.53846154] ; [45.53846154 28.46153846],0
n4,1,0.046065,3.979226,[24  6] ; [44 30],[19.61538462 10.38461538] ; [48.38461538 25.61538462],0
a8,1,0.088429,2.902744,[ 5 25] ; [ 4 64],[ 2.75510204 27.24489796] ; [ 6.24489796 61.75510204],0
v2,1,0.104513,2.635294,[14 14] ; [22 46],[10.5 17.5] ; [25.5 42.5],0
p5,1,0.126277,2.337691,[ 5 25] ; [ 5 68],[ 2.91262136 27.08737864] ; [ 7.08737864 65.91262136],0
r2,1,0.150541,2.066758,[26  4] ; [53 19],[23.23529412  6.76470588] ; [55.76470588 16.23529412],0
r1,1,0.174088,1.847382,[19 11] ; [36 38],[15.86538462 14.13461538] ; [39.13461538 34.86538462],0
n2,1,0.191779,1.703896,[9 2] ; [18 12],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
p9,1,0.192658,1.697173,[22  8] ; [43 29],[19.11764706 10.88235294] ; [45.88235294 26.11764706],0
p10,1,0.196881,1.665361,[20 10] ; [38 34],[17.05882353 12.94117647] ; [40.94117647 31.05882353],0
s8,1,0.203504,1.617045,[11 19] ; [18 56],[ 8.36538462 21.63461538] ; [20.63461538 53.36538462],0
n1,1,0.217322,1.52197,[6 5] ; [10 20],[4.29268293 6.70731707] ; [11.70731707 18.29268293],0
n5,1,0.276859,1.182444,[23  7] ; [48 25],[20.67961165  9.32038835] ; [50.32038835 22.67961165],0
d3,1,0.292798,1.106712,[13 17] ; [24 50],[10.67307692 19.32692308] ; [26.32692308 47.67307692],0
s2,1,0.314904,1.009993,[13 17] ; [24 49],[10.77669903 19.22330097] ; [26.22330097 46.77669903],0
b1,1,0.321774,0.981721,[17 13] ; [34 40],[14.71153846 15.28846154] ; [36.28846154 37.71153846],0
u2,1,0.325258,0.967685,[11  8] ; [20 25],[9.203125 9.796875] ; [21.796875 23.203125],0
v3,1,0.338378,0.916565,[ 9 21] ; [15 56],[ 7.12871287 22.87128713] ; [16.87128713 54.12871287],0
u3,1,0.352019,0.866165,[10  9] ; [18 27],[ 8.3125 10.6875] ; [19.6875 25.3125],0
v1,1,0.435514,0.608074,[14 16] ; [28 45],[12.23300971 17.76699029] ; [29.76699029 43.23300971],0
s1,1,0.488818,0.479128,[ 1 29] ; [ 5 68],[ 1.74757282 28.25242718] ; [ 4.25242718 68.74757282],0
b5,1,0.530491,0.393451,[15 15] ; [42 32],[16.44230769 13.55769231] ; [40.55769231 33.44230769],0
p12,1,0.583253,0.301005,[ 2 28] ; [ 3 70],[ 1.45631068 28.54368932] ; [ 3.54368932 69.45631068],0
s4,1,0.611409,0.258128,[ 7 23] ; [14 60],[ 6.05769231 23.94230769] ; [14.94230769 59.05769231],0
