Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,29.148718,[78 12] ; [ 9 17],[67.5 22.5] ; [19.5  6.5],1
r4,1,4e-06,21.169638,[84  8] ; [15 13],[75.9 16.1] ; [23.1  4.9],1
d5,1,0.000961,10.90207,[74 17] ; [14 14],[67.29411765 23.70588235] ; [20.70588235  7.29411765],1
v4,1,0.001597,9.96337,[85  6] ; [20  8],[80.29411765 10.70588235] ; [24.70588235  3.29411765],0
a7,1,0.00188,9.662822,[71 21] ; [13 15],[64.4 27.6] ; [19.6  8.4],0
d1,1,0.002782,8.944943,[59 33] ; [ 9 19],[52.13333333 39.86666667] ; [15.86666667 12.13333333],0
r2,1,0.004235,8.180218,[89  3] ; [21  5],[85.76271186  6.23728814] ; [24.23728814  1.76271186],0
s8,1,0.005655,7.657225,[47 45] ; [ 6 22],[40.63333333 51.36666667] ; [12.36666667 15.63333333],0
r3,1,0.006811,7.322051,[84  6] ; [21  7],[80.08474576  9.91525424] ; [24.91525424  3.08474576],0
d3,1,0.007336,7.18885,[67 24] ; [13 15],[61.17647059 29.82352941] ; [18.82352941  9.17647059],0
s7,1,0.009547,6.71746,[53 28] ; [10 17],[47.25 33.75] ; [15.75 11.25],0
s2,1,0.010411,6.563212,[72 20] ; [15 13],[66.7 25.3] ; [20.3  7.7],0
p2,1,0.03027,4.693878,[69 23] ; [15 13],[64.4 27.6] ; [19.6  8.4],0
d4,1,0.045516,3.999421,[74 16] ; [18 10],[70.16949153 19.83050847] ; [21.83050847  6.16949153],0
u1,1,0.080506,3.054656,[20 72] ; [ 2 26],[16.86666667 75.13333333] ; [ 5.13333333 22.86666667],0
a6,1,0.08145,3.035728,[59 32] ; [13 15],[55.05882353 35.94117647] ; [16.94117647 11.05882353],0
n4,1,0.102532,2.665711,[61 30] ; [14 14],[57.35294118 33.64705882] ; [17.64705882 10.35294118],0
a2,1,0.132121,2.267408,[22 70] ; [ 3 25],[19.16666667 72.83333333] ; [ 5.83333333 22.16666667],0
p8,1,0.144428,2.13014,[34 57] ; [ 6 21],[30.84745763 60.15254237] ; [ 9.15254237 17.84745763],0
v2,1,0.171357,1.871031,[43 42] ; [10 18],[39.86725664 45.13274336] ; [13.13274336 14.86725664],0
v3,1,0.171381,1.870824,[28 59] ; [ 5 22],[25.18421053 61.81578947] ; [ 7.81578947 19.18421053],0
a5,1,0.181769,1.783102,[62 30] ; [15 13],[59.03333333 32.96666667] ; [17.96666667 10.03333333],0
p6,1,0.206249,1.597561,[32 59] ; [ 6 21],[29.30508475 61.69491525] ; [ 8.69491525 18.30508475],0
u2,1,0.207178,1.591038,[15 14] ; [4 9],[13.11904762 15.88095238] ; [5.88095238 7.11904762],0
p10,1,0.221986,1.491486,[53 36] ; [13 15],[50.20512821 38.79487179] ; [15.79487179 12.20512821],0
a4,1,0.243034,1.36291,[41 51] ; [ 9 19],[38.33333333 53.66666667] ; [11.66666667 16.33333333],0
a3,1,0.306651,1.045047,[61 31] ; [15 12],[58.75630252 33.24369748] ; [17.24369748  9.75630252],0
u3,1,0.335284,0.928382,[18 11] ; [6 7],[16.57142857 12.42857143] ; [7.42857143 5.57142857],0
b3,1,0.355228,0.854693,[12 32] ; [6 9],[13.42372881 30.57627119] ; [ 4.57627119 10.42372881],0
b2,1,0.355228,0.854693,[12 32] ; [6 9],[13.42372881 30.57627119] ; [ 4.57627119 10.42372881],0
n6,1,0.358423,0.843412,[63 27] ; [17 11],[61.01694915 28.98305085] ; [18.98305085  9.01694915],0
d2,1,0.382447,0.762821,[54 37] ; [14 14],[52. 39.] ; [16. 12.],0
p3,1,0.402513,0.700805,[36 56] ; [13 14],[37.88235294 54.11764706] ; [11.11764706 15.88235294],0
a8,1,0.505417,0.443544,[13 69] ; [ 3 25],[11.92727273 70.07272727] ; [ 4.07272727 23.92727273],0
p1,1,0.536849,0.38141,[14 77] ; [ 3 25],[13. 78.] ; [ 4. 24.],0
a1,1,0.552388,0.353057,[ 4 88] ; [ 2 26],[ 4.6 87.4] ; [ 1.4 26.6],0
n1,1,0.573285,0.317217,[19 19] ; [4 6],[18.20833333 19.79166667] ; [4.79166667 5.20833333],0
s5,1,0.580309,0.305735,[34 52] ; [ 8 16],[32.83636364 53.16363636] ; [ 9.16363636 14.83636364],0
p5,1,0.599369,0.275948,[10 82] ; [ 2 25],[ 9.27731092 82.72268908] ; [ 2.72268908 24.27731092],0
v1,1,0.61948,0.246599,[42 49] ; [11 16],[40.87288136 50.12711864] ; [12.12711864 14.87288136],0
s1,1,0.660735,0.192631,[ 9 82] ; [ 2 26],[ 8.41176471 82.58823529] ; [ 2.58823529 25.41176471],0
n2,1,0.681519,0.168421,[28 10] ; [8 2],[28.5  9.5] ; [7.5 2.5],0
p9,1,0.768167,0.086891,[62 27] ; [18  9],[61.37931034 27.62068966] ; [18.62068966  8.37931034],0
s4,1,0.794629,0.067758,[24 68] ; [ 8 20],[24.53333333 67.46666667] ; [ 7.46666667 20.53333333],0
p4,1,0.840264,0.040625,[48 44] ; [14 14],[47.53333333 44.46666667] ; [14.46666667 13.53333333],0
n3,1,0.852069,0.034774,[27 10] ; [7 3],[26.76595745 10.23404255] ; [7.23404255 2.76595745],0
n5,1,0.854402,0.033674,[57 34] ; [17 11],[56.58823529 34.41176471] ; [17.41176471 10.58823529],0
b4,1,0.86223,0.030115,[51 41] ; [15 13],[50.6 41.4] ; [15.4 12.6],0
p7,1,0.900633,0.01559,[47 43] ; [15 13],[47.28813559 42.71186441] ; [14.71186441 13.28813559],0
b5,1,0.905768,0.014013,[57 35] ; [17 11],[56.73333333 35.26666667] ; [17.26666667 10.73333333],0
b1,1,0.976991,0.000832,[49 43] ; [15 13],[49.06666667 42.93333333] ; [14.93333333 13.06666667],0
