Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.610783,[ 2 29] ; [77 16],[19.75 11.25] ; [59.25 33.75],1
v4,1,9e-06,19.618208,[15 16] ; [80 12],[23.94308943  7.05691057] ; [71.05691057 20.94308943],1
r1,1,5.6e-05,16.246148,[11 20] ; [70 23],[20.25 10.75] ; [60.75 32.25],1
p11,1,0.000118,14.816793,[ 5 26] ; [52 41],[14.25 16.75] ; [42.75 50.25],1
r2,1,0.00018,14.028663,[17 12] ; [83 10],[23.7704918  5.2295082] ; [76.2295082 16.7704918],1
p2,1,0.000621,11.712724,[ 7 24] ; [54 39],[15.25 15.75] ; [45.75 47.25],1
s6,1,0.002878,8.883041,[ 5 26] ; [43 50],[12. 19.] ; [36. 57.],0
n5,1,0.003532,8.509804,[24  7] ; [44 49],[17. 14.] ; [51. 42.],0
d4,1,0.003893,8.333113,[15 16] ; [70 22],[21.42276423  9.57723577] ; [63.57723577 28.42276423],0
p4,1,0.006182,7.496538,[ 5 25] ; [41 51],[11.31147541 18.68852459] ; [34.68852459 57.31147541],0
a7,1,0.008434,6.938849,[12 19] ; [61 32],[18.25 12.75] ; [54.75 38.25],0
s8,1,0.008673,6.888889,[ 1 30] ; [23 70],[ 6. 25.] ; [18. 75.],0
s2,1,0.009709,6.687562,[ 3 28] ; [31 61],[ 8.56910569 22.43089431] ; [25.43089431 66.56910569],0
p3,1,0.012697,6.210901,[ 3 28] ; [30 62],[ 8.31707317 22.68292683] ; [24.68292683 67.31707317],0
p8,1,0.016666,5.731237,[ 4 26] ; [34 59],[ 9.26829268 20.73170732] ; [28.73170732 64.26829268],0
a1,1,0.017759,5.619737,[ 6 25] ; [ 5 88],[ 2.75 28.25] ; [ 8.25 84.75],0
p7,1,0.020446,5.373416,[ 7 23] ; [44 49],[12.43902439 17.56097561] ; [38.56097561 54.43902439],0
n3,1,0.024841,5.034965,[ 6 12] ; [20 10],[9.75 8.25] ; [16.25 13.75],0
v2,1,0.042904,4.099196,[ 5 26] ; [32 58],[ 9.47933884 21.52066116] ; [27.52066116 62.47933884],0
u3,1,0.043675,4.069068,[ 4 11] ; [25 19],[7.37288136 7.62711864] ; [21.62711864 22.37288136],0
s7,1,0.045672,3.993636,[ 3 27] ; [24 62],[ 6.98275862 23.01724138] ; [20.01724138 65.98275862],0
s3,1,0.053767,3.719925,[ 7 23] ; [40 53],[11.46341463 18.53658537] ; [35.53658537 57.46341463],0
d5,1,0.057661,3.603419,[17 14] ; [68 25],[21.25  9.75] ; [63.75 29.25],0
d3,1,0.06197,3.483871,[11 20] ; [51 42],[15.5 15.5] ; [46.5 46.5],0
n6,1,0.064645,3.414022,[14 16] ; [61 32],[18.29268293 11.70731707] ; [56.70731707 36.29268293],0
p6,1,0.065172,3.400616,[ 2 28] ; [20 73],[ 5.36585366 24.63414634] ; [16.63414634 76.36585366],0
n2,1,0.075917,3.150219,[ 7 12] ; [20 12],[10.05882353  8.94117647] ; [16.94117647 15.05882353],0
a6,1,0.076036,3.14765,[13 18] ; [56 37],[17.25 13.75] ; [51.75 41.25],0
s1,1,0.0948,2.79092,[ 4 27] ; [ 4 88],[ 2.01626016 28.98373984] ; [ 5.98373984 86.01626016],0
s4,1,0.101186,2.686746,[ 8 23] ; [12 79],[ 5.08196721 25.91803279] ; [14.91803279 76.08196721],0
p10,1,0.120006,2.417238,[ 5 26] ; [28 64],[ 8.31707317 22.68292683] ; [24.68292683 67.31707317],0
b3,1,0.12732,2.324879,[ 9 14] ; [12 42],[ 6.27272727 16.72727273] ; [14.72727273 39.27272727],0
b2,1,0.12732,2.324879,[ 9 14] ; [12 42],[ 6.27272727 16.72727273] ; [14.72727273 39.27272727],0
u1,1,0.160633,1.968254,[ 1 30] ; [11 82],[ 3. 28.] ; [ 9. 84.],0
d1,1,0.17305,1.85632,[10 21] ; [43 50],[13.25 17.75] ; [39.75 53.25],0
v3,1,0.216078,1.530227,[ 4 27] ; [21 69],[ 6.40495868 24.59504132] ; [18.59504132 71.40495868],0
n4,1,0.246442,1.343361,[21 10] ; [52 41],[18.25 12.75] ; [54.75 38.25],0
b5,1,0.253955,1.301414,[13 18] ; [50 43],[15.75 15.25] ; [47.25 45.75],0
p1,1,0.260855,1.264212,[ 4 27] ; [ 6 86],[ 2.5203252 28.4796748] ; [ 7.4796748 84.5203252],0
a8,1,0.322679,0.978056,[ 1 28] ; [ 8 80],[ 2.23076923 26.76923077] ; [ 6.76923077 81.23076923],0
p12,1,0.410416,0.677596,[ 1 30] ; [ 1 92],[ 0.5 30.5] ; [ 1.5 91.5],0
a4,1,0.431331,0.619238,[11 19] ; [27 66],[ 9.26829268 20.73170732] ; [28.73170732 64.26829268],0
u2,1,0.456302,0.55495,[6 9] ; [22 21],[7.24137931 7.75862069] ; [20.75862069 22.24137931],0
a5,1,0.533829,0.387097,[14 17] ; [48 45],[15.5 15.5] ; [46.5 46.5],0
b4,1,0.593099,0.28553,[18 13] ; [59 34],[19.25 11.75] ; [57.75 35.25],0
n1,1,0.618743,0.247638,[ 7 12] ; [ 9 21],[ 6.20408163 12.79591837] ; [ 9.79591837 20.20408163],0
s5,1,0.634935,0.225428,[ 4 27] ; [15 76],[ 4.82786885 26.17213115] ; [14.17213115 76.82786885],0
a2,1,0.743171,0.107359,[ 3 28] ; [11 82],[ 3.5 27.5] ; [10.5 82.5],0
d2,1,0.797743,0.065674,[15 15] ; [44 49],[14.3902439 15.6097561] ; [44.6097561 48.3902439],0
b1,1,0.83434,0.043739,[17 14] ; [53 40],[17.5 13.5] ; [52.5 40.5],0
a3,1,0.950918,0.003789,[16 14] ; [49 44],[15.85365854 14.14634146] ; [49.14634146 43.85365854],0
p5,1,0.976967,0.000834,[ 1 29] ; [ 3 90],[ 0.97560976 29.02439024] ; [ 3.02439024 89.97560976],0
