Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.751796,[86 10] ; [14 15],[76.8 19.2] ; [23.2  5.8],1
p9,1,0.001269,10.387706,[88  8] ; [19  9],[82.83870968 13.16129032] ; [24.16129032  3.83870968],0
s4,1,0.008112,7.008594,[14 82] ; [11 19],[19.04761905 76.95238095] ; [ 5.95238095 24.04761905],0
v4,1,0.011549,6.37875,[94  2] ; [26  4],[91.42857143  4.57142857] ; [28.57142857  1.42857143],0
n5,1,0.013867,6.055051,[71 25] ; [15 15],[65.52380952 30.47619048] ; [20.47619048  9.52380952],0
n4,1,0.019363,5.468436,[70 26] ; [15 15],[64.76190476 31.23809524] ; [20.23809524  9.76190476],0
s6,1,0.040672,4.189614,[60 33] ; [12 16],[55.33884298 37.66115702] ; [16.66115702 11.33884298],0
d4,1,0.065766,3.385646,[74 22] ; [18 12],[70.0952381 25.9047619] ; [21.9047619  8.0952381],0
b4,1,0.078667,3.092221,[65 31] ; [15 15],[60.95238095 35.04761905] ; [19.04761905 10.95238095],0
p8,1,0.080726,3.050216,[47 48] ; [ 9 20],[42.90322581 52.09677419] ; [13.09677419 15.90322581],0
d5,1,0.08252,3.014553,[75 21] ; [18 11],[71.424 24.576] ; [21.576  7.424],0
a7,1,0.092491,2.830478,[66 30] ; [15 14],[62.208 33.792] ; [18.792 10.208],0
b1,1,0.097002,2.754154,[29 67] ; [14 16],[32.76190476 63.23809524] ; [10.23809524 19.76190476],0
a3,1,0.100248,2.701588,[61 35] ; [14 16],[57.14285714 38.85714286] ; [17.85714286 12.14285714],0
s8,1,0.104935,2.628889,[38 58] ; [ 7 23],[34.28571429 61.71428571] ; [10.71428571 19.28571429],0
p2,1,0.124038,2.365579,[77 19] ; [20 10],[73.9047619 22.0952381] ; [23.0952381  6.9047619],0
a6,1,0.151996,2.0521,[59 37] ; [14 16],[55.61904762 40.38095238] ; [17.38095238 12.61904762],0
p6,1,0.21159,1.560511,[38 56] ; [ 8 21],[35.15447154 58.84552846] ; [10.84552846 18.15447154],0
d1,1,0.227195,1.458333,[44 52] ; [10 20],[41.14285714 54.85714286] ; [12.85714286 17.14285714],0
v1,1,0.231529,1.431444,[43 51] ; [10 20],[40.17741935 53.82258065] ; [12.82258065 17.17741935],0
d3,1,0.290314,1.118164,[57 39] ; [14 15],[54.528 41.472] ; [16.472 12.528],0
s5,1,0.300381,1.0725,[26 64] ; [11 17],[28.22033898 61.77966102] ; [ 8.77966102 19.22033898],0
