Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,40.253571,[41 13] ; [11 52],[24. 30.] ; [28. 35.],1
p11,1,0.000524,12.029257,[35 19] ; [21 43],[25.62711864 28.37288136] ; [30.37288136 33.62711864],1
n2,1,0.001781,9.762613,[16  2] ; [13 17],[10.875  7.125] ; [18.125 11.875],0
r4,1,0.001879,9.66421,[42 12] ; [32 32],[33.86440678 20.13559322] ; [40.13559322 23.86440678],0
r3,1,0.002884,8.879716,[46  8] ; [38 25],[38.76923077 15.23076923] ; [45.23076923 17.76923077],0
s8,1,0.005526,7.698701,[16 38] ; [ 6 57],[10.15384615 43.84615385] ; [11.84615385 51.15384615],0
p8,1,0.013476,6.105559,[17 37] ; [ 8 55],[11.53846154 42.46153846] ; [13.46153846 49.53846154],0
p3,1,0.016755,5.721895,[20 34] ; [11 52],[14.30769231 39.69230769] ; [16.69230769 46.30769231],0
n3,1,0.019522,5.454179,[14  4] ; [11 15],[10.22727273  7.77272727] ; [14.77272727 11.22727273],0
v4,1,0.081238,3.039966,[43 11] ; [41 22],[38.76923077 15.23076923] ; [45.23076923 17.76923077],0
b1,1,0.099436,2.714567,[23 31] ; [37 27],[27.45762712 26.54237288] ; [32.54237288 31.45762712],0
p12,1,0.116346,2.465827,[ 4 50] ; [ 1 63],[ 2.28813559 51.71186441] ; [ 2.71186441 61.28813559],0
s4,1,0.118475,2.437365,[ 9 43] ; [ 5 59],[ 6.27586207 45.72413793] ; [ 7.72413793 56.27586207],0
n1,1,0.121582,2.39682,[11  7] ; [11 18],[8.42553191 9.57446809] ; [13.57446809 15.42553191],0
b5,1,0.122485,2.385257,[33 21] ; [30 34],[28.83050847 25.16949153] ; [34.16949153 29.83050847],0
n5,1,0.145555,2.118226,[38 15] ; [37 26],[34.26724138 18.73275862] ; [40.73275862 22.26724138],0
v1,1,0.148874,2.083749,[16 37] ; [12 52],[12.68376068 40.31623932] ; [15.31623932 48.68376068],0
p6,1,0.156011,2.01247,[ 9 45] ; [ 5 57],[ 6.51724138 47.48275862] ; [ 7.48275862 54.51724138],0
d2,1,0.169981,1.883108,[21 32] ; [33 30],[24.67241379 28.32758621] ; [29.32758621 33.67241379],0
s6,1,0.173842,1.8495,[20 34] ; [16 47],[16.61538462 37.38461538] ; [19.38461538 43.61538462],0
v3,1,0.190283,1.715422,[19 32] ; [16 46],[15.79646018 35.20353982] ; [19.20353982 42.79646018],0
p5,1,0.198851,1.650794,[ 6 48] ; [ 3 60],[ 4.15384615 49.84615385] ; [ 4.84615385 58.15384615],0
u2,1,0.215159,1.536371,[12  9] ; [11 17],[ 9.85714286 11.14285714] ; [13.14285714 14.85714286],0
v2,1,0.223236,1.483445,[23 28] ; [21 41],[19.85840708 31.14159292] ; [24.14159292 37.85840708],0
p4,1,0.259177,1.273147,[15 38] ; [12 50],[12.44347826 40.55652174] ; [14.55652174 47.44347826],0
a5,1,0.264545,1.244816,[35 19] ; [35 29],[32.03389831 21.96610169] ; [37.96610169 26.03389831],0
a7,1,0.308466,1.037234,[35 19] ; [35 28],[32.30769231 21.69230769] ; [37.69230769 25.30769231],0
n6,1,0.323007,0.976731,[37 17] ; [37 25],[34.44827586 19.55172414] ; [39.55172414 22.44827586],0
a8,1,0.332621,0.938667,[ 6 44] ; [ 4 56],[ 4.54545455 45.45454545] ; [ 5.45454545 54.54545455],0
d3,1,0.347375,0.883022,[30 24] ; [30 34],[27.45762712 26.54237288] ; [32.54237288 31.45762712],0
a1,1,0.361848,0.83147,[ 4 50] ; [ 8 56],[ 5.49152542 48.50847458] ; [ 6.50847458 57.49152542],0
s1,1,0.421963,0.644841,[ 3 51] ; [ 6 57],[ 4.15384615 49.84615385] ; [ 4.84615385 58.15384615],0
p7,1,0.444233,0.585323,[15 37] ; [14 48],[13.22807018 38.77192982] ; [15.77192982 46.22807018],0
a3,1,0.464906,0.534057,[33 20] ; [35 28],[31.06896552 21.93103448] ; [36.93103448 26.06896552],0
a6,1,0.481741,0.49492,[33 21] ; [35 29],[31.11864407 22.88135593] ; [36.88135593 27.11864407],0
r2,1,0.521547,0.410832,[45  8] ; [49 12],[43.70175439  9.29824561] ; [50.29824561 10.70175439],0
r1,1,0.640297,0.218354,[34 20] ; [37 26],[32.76923077 21.23076923] ; [38.23076923 24.76923077],0
b4,1,0.675727,0.174975,[30 24] ; [38 26],[31.11864407 22.88135593] ; [36.88135593 27.11864407],0
n4,1,0.744825,0.105931,[35 19] ; [39 24],[34.15384615 19.84615385] ; [39.84615385 23.15384615],0
b2,1,0.747379,0.103747,[13 21] ; [18 25],[13.68831169 20.31168831] ; [17.31168831 25.68831169],0
b3,1,0.747379,0.103747,[13 21] ; [18 25],[13.68831169 20.31168831] ; [17.31168831 25.68831169],0
s7,1,0.771165,0.084595,[11 40] ; [12 50],[10.38053097 40.61946903] ; [12.61946903 49.38053097],0
s5,1,0.800134,0.064097,[ 8 42] ; [ 9 54],[ 7.52212389 42.47787611] ; [ 9.47787611 53.52212389],0
s3,1,0.812055,0.056537,[10 43] ; [13 50],[10.50862069 42.49137931] ; [12.49137931 50.50862069],0
a2,1,0.850619,0.035468,[10 44] ; [11 53],[ 9.61016949 44.38983051] ; [11.38983051 52.61016949],0
d4,1,0.857313,0.032326,[38 16] ; [46 18],[38.44067797 15.55932203] ; [45.55932203 18.44067797],0
d5,1,0.901597,0.015288,[34 20] ; [41 23],[34.3220339 19.6779661] ; [40.6779661 23.3220339],0
d1,1,0.914894,0.011421,[25 29] ; [29 35],[24.71186441 29.28813559] ; [29.28813559 34.71186441],0
u3,1,0.963404,0.002105,[10 11] ; [14 15],[10.08 10.92] ; [13.92 15.08],0
a4,1,0.979178,0.000681,[22 31] ; [26 37],[21.93103448 31.06896552] ; [26.06896552 36.93103448],0
p1,1,0.982812,0.000464,[ 5 49] ; [ 6 58],[ 5.03389831 48.96610169] ; [ 5.96610169 58.03389831],0
