Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.052409,[167  77] ; [78 99],[141.99524941 102.00475059] ; [103.00475059  73.99524941],1
v3,1,1e-06,24.395931,[131 114] ; [ 53 127],[106.07058824 138.92941176] ; [ 77.92941176 102.07058824],1
s5,1,8.2e-05,15.503062,[141 103] ; [ 67 108],[121.12649165 122.87350835] ; [86.87350835 88.12649165],1
s8,1,0.000375,12.650448,[175  79] ; [96 88],[157.15525114  96.84474886] ; [113.84474886  70.15525114],1
p5,1,0.000534,11.994683,[ 45 206] ; [ 12 171],[ 32.96543779 218.03456221] ; [ 24.03456221 158.96543779],1
n5,1,0.000964,10.895638,[211  42] ; [129  55],[196.84210526  56.15789474] ; [143.15789474  40.84210526],1
a5,1,0.017945,5.601537,[203  53] ; [127  56],[192.43735763  63.56264237] ; [137.56264237  45.43735763],0
s4,1,0.021434,5.291144,[ 53 201] ; [ 55 125],[ 63.20737327 190.79262673] ; [ 44.79262673 135.20737327],0
p9,1,0.028969,4.769481,[228  23] ; [151  29],[220.71693735  30.28306265] ; [158.28306265  21.71693735],0
p12,1,0.034109,4.489247,[ 34 218] ; [ 13 170],[ 27.22758621 224.77241379] ; [ 19.77241379 163.22758621],0
r4,1,0.035588,4.416715,[246  10] ; [168  16],[240.87272727  15.12727273] ; [173.12727273  10.87272727],0
p4,1,0.040536,4.195321,[174  78] ; [109  74],[163.94482759  88.05517241] ; [119.05517241  63.94482759],0
p3,1,0.043105,4.091299,[143 110] ; [85 97],[132.60689655 120.39310345] ; [95.39310345 86.60689655],0
p6,1,0.044148,4.050906,[119 129] ; [ 70 113],[108.75174014 139.24825986] ; [ 80.24825986 102.75174014],0
u4,1,0.049834,3.847045,[ 11 245] ; [  2 182],[  7.56363636 248.43636364] ; [  5.43636364 178.56363636],0
n4,1,0.057351,3.61237,[207  47] ; [136  48],[198.9086758  55.0913242] ; [144.0913242  39.9086758],0
a8,1,0.059857,3.541349,[ 43 194] ; [ 19 149],[ 36.28148148 200.71851852] ; [ 25.71851852 142.28148148],0
d5,1,0.065853,3.383487,[218  36] ; [144  38],[210.88990826  43.11009174] ; [151.11009174  30.88990826],0
d4,1,0.070459,3.272295,[226  28] ; [151  31],[219.62844037  34.37155963] ; [157.37155963  24.62844037],0
p10,1,0.075764,3.153496,[221  30] ; [150  33],[214.56451613  36.43548387] ; [156.43548387  26.56451613],0
a3,1,0.094643,2.793565,[199  56] ; [130  53],[191.54109589  63.45890411] ; [137.45890411  45.54109589],0
