Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,43.454294,[ 42 105] ; [183 113],[74.66139955 72.33860045] ; [150.33860045 145.66139955],1
r3,1,1.3e-05,18.977645,[134  15] ; [299   4],[142.73672566   6.26327434] ; [290.26327434  12.73672566],1
d4,1,0.00371,8.4204,[113  35] ; [264  39],[123.71618625  24.28381375] ; [253.28381375  49.71618625],0
d1,1,0.003712,8.419611,[78 71] ; [202 102],[92.09713024 56.90286976] ; [187.90286976 116.09713024],0
s4,1,0.007855,7.066153,[ 33 114] ; [ 38 262],[ 23.34899329 123.65100671] ; [ 47.65100671 252.34899329],0
d3,1,0.011481,6.389325,[94 55] ; [226  77],[105.48672566  43.51327434] ; [214.51327434  88.48672566],0
b1,1,0.012775,6.200052,[69 80] ; [104 200],[56.90286976 92.09713024] ; [116.09713024 187.90286976],0
r4,1,0.019159,5.486905,[135  14] ; [292  12],[140.44812362   8.55187638] ; [286.55187638  17.44812362],0
p3,1,0.020465,5.371816,[72 76] ; [180 119],[83.43624161 64.56375839] ; [168.56375839 130.43624161],0
s7,1,0.02229,5.223014,[63 76] ; [165 124],[74.04672897 64.95327103] ; [153.95327103 135.04672897],0
p2,1,0.024105,5.087087,[119  29] ; [265  35],[126.85714286  21.14285714] ; [257.14285714  42.85714286],0
p6,1,0.027475,4.860728,[53 94] ; [138 155],[63.81136364 83.18863636] ; [127.18863636 165.81136364],0
a6,1,0.037493,4.327861,[90 59] ; [212  90],[99.77383592 49.22616408] ; [202.22616408  99.77383592],0
p7,1,0.042494,4.115436,[90 56] ; [208  84],[99.33333333 46.66666667] ; [198.66666667  93.33333333],0
v4,1,0.101283,2.685226,[141   7] ; [297   6],[143.73392461   4.26607539] ; [294.26607539   8.73392461],0
a5,1,0.106275,2.608763,[108  41] ; [241  63],[114.79249448  34.20750552] ; [234.20750552  69.79249448],0
p11,1,0.112474,2.519104,[112  37] ; [248  56],[118.41059603  30.58940397] ; [241.58940397  62.41059603],0
n6,1,0.11824,2.440482,[123  26] ; [263  36],[128.37946429  20.62053571] ; [257.62053571  41.37946429],0
u1,1,0.11965,2.421898,[ 24 125] ; [ 68 236],[ 30.26048565 118.73951435] ; [ 61.73951435 242.26048565],0
p10,1,0.130684,2.284366,[118  29] ; [255  42],[123.49324324  23.50675676] ; [249.50675676  47.49324324],0
s8,1,0.131828,2.270848,[67 81] ; [158 141],[74.4966443 73.5033557] ; [150.5033557 148.4966443],0
d5,1,0.146733,2.10589,[118  30] ; [258  45],[123.38802661  24.61197339] ; [252.61197339  50.38802661],0
p9,1,0.150075,2.071489,[125  23] ; [265  32],[129.70786517  18.29213483] ; [260.29213483  36.70786517],0
s1,1,0.159717,1.9769,[  7 138] ; [  7 292],[  4.57207207 140.42792793] ; [  9.42792793 289.57207207],0
d2,1,0.182023,1.781026,[68 81] ; [158 144],[74.66518847 74.33481153] ; [151.33481153 150.66518847],0
a7,1,0.192391,1.69921,[103  46] ; [227  76],[108.78318584  40.21681416] ; [221.21681416  81.78318584],0
r1,1,0.207132,1.59136,[121  26] ; [263  40],[125.44  21.56] ; [258.56  44.44],0
a3,1,0.240605,1.377045,[104  43] ; [230  73],[109.10666667  37.89333333] ; [224.89333333  78.10666667],0
p8,1,0.242954,1.363372,[80 68] ; [176 118],[85.71945701 62.28054299] ; [170.28054299 123.71945701],0
a2,1,0.272856,1.202332,[ 34 115] ; [ 84 220],[ 38.81236203 110.18763797] ; [ 79.18763797 224.81236203],0
p4,1,0.292571,1.107752,[92 57] ; [199  99],[97. 52.] ; [194. 104.],0
p12,1,0.311868,1.022748,[ 11 137] ; [ 31 267],[ 13.93721973 134.06278027] ; [ 28.06278027 269.93721973],0
n1,1,0.36131,0.833333,[18 14] ; [22 26],[16. 16.] ; [24. 24.],0
s2,1,0.370912,0.800606,[76 71] ; [168 131],[80.42152466 66.57847534] ; [163.57847534 135.42152466],0
n2,1,0.424428,0.638021,[27  5] ; [37 11],[25.6  6.4] ; [38.4  9.6],0
b4,1,0.438304,0.600718,[87 62] ; [189 115],[90.78145695 58.21854305] ; [185.21854305 118.78145695],0
u4,1,0.444704,0.584115,[  3 146] ; [ 10 294],[  4.27593819 144.72406181] ; [  8.72406181 295.27593819],0
a4,1,0.473848,0.512989,[67 80] ; [149 154],[70.56 76.44] ; [145.44 157.56],0
u2,1,0.495659,0.464218,[23 22] ; [42 31],[24.78813559 20.21186441] ; [40.21186441 32.78813559],0
n5,1,0.525913,0.402282,[119  30] ; [247  53],[121.45657016  27.54342984] ; [244.54342984  55.45657016],0
n4,1,0.530566,0.393307,[118  30] ; [249  54],[120.4345898  27.5654102] ; [246.5654102  56.4345898],0
a8,1,0.589868,0.290551,[ 20 116] ; [ 45 223],[ 21.88118812 114.11881188] ; [ 43.11881188 224.88118812],0
s3,1,0.615582,0.252126,[85 61] ; [166 132],[82.53603604 63.46396396] ; [168.46396396 129.53603604],0
p1,1,0.621479,0.243795,[ 16 133] ; [ 28 274],[ 14.53658537 134.46341463] ; [ 29.46341463 272.53658537],0
s6,1,0.646001,0.21098,[101  44] ; [211  83],[103.0523918  41.9476082] ; [208.9476082  85.0523918],0
n3,1,0.65281,0.202376,[22  9] ; [37 12],[22.8625  8.1375] ; [36.1375 12.8625],0
b5,1,0.668565,0.183286,[93 56] ; [196 108],[95.05739514 53.94260486] ; [193.94260486 110.05739514],0
p5,1,0.680049,0.170071,[ 22 124] ; [ 41 260],[ 20.57718121 125.42281879] ; [ 42.42281879 258.57718121],0
a1,1,0.68978,0.159324,[  7 142] ; [ 17 287],[  7.89403974 141.10596026] ; [ 16.10596026 287.89403974],0
s5,1,0.74157,0.108751,[57 84] ; [114 180],[55.42758621 85.57241379] ; [115.57241379 178.42758621],0
b3,1,0.960482,0.002455,[42 59] ; [ 80 111],[42.19863014 58.80136986] ; [ 79.80136986 111.19863014],0
b2,1,0.960482,0.002455,[42 59] ; [ 80 111],[42.19863014 58.80136986] ; [ 79.80136986 111.19863014],0
u3,1,0.994772,4.3e-05,[28 17] ; [46 28],[27.98319328 17.01680672] ; [46.01680672 27.98319328],0
