Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7.5e-05,15.68,[13  3] ; [23 57],[ 6. 10.] ; [30. 50.],1
s4,1,0.012983,6.171429,[ 5 11] ; [ 7 73],[ 2. 14.] ; [10. 70.],0
s2,1,0.023844,5.105934,[8 8] ; [18 62],[ 4.33333333 11.66666667] ; [21.66666667 58.33333333],0
a6,1,0.034765,4.456692,[ 5 11] ; [48 32],[8.83333333 7.16666667] ; [44.16666667 35.83333333],0
n1,1,0.046313,3.970159,[4 3] ; [ 6 24],[1.89189189 5.10810811] ; [ 8.10810811 21.89189189],0
n4,1,0.061943,3.484574,[ 3 13] ; [35 45],[6.33333333 9.66666667] ; [31.66666667 48.33333333],0
s7,1,0.079659,3.071845,[6 9] ; [14 59],[ 3.40909091 11.59090909] ; [16.59090909 56.40909091],0
s3,1,0.084117,2.983495,[9 7] ; [26 52],[ 5.95744681 10.04255319] ; [29.04255319 48.95744681],0
d4,1,0.09769,2.742857,[15  1] ; [60 20],[12.5  3.5] ; [62.5 17.5],0
n6,1,0.12061,2.409379,[11  5] ; [38 42],[8.16666667 7.83333333] ; [40.83333333 39.16666667],0
b5,1,0.138523,2.194286,[12  4] ; [44 36],[9.33333333 6.66666667] ; [46.66666667 33.33333333],0
d2,1,0.163309,1.94332,[9 7] ; [30 50],[6.5 9.5] ; [32.5 47.5],0
d5,1,0.175244,1.8375,[13  3] ; [51 29],[10.66666667  5.33333333] ; [53.33333333 26.66666667],0
r2,1,0.176943,1.823113,[15  1] ; [62 16],[13.10638298  2.89361702] ; [63.89361702 14.10638298],0
p4,1,0.231506,1.431585,[8 8] ; [27 52],[ 5.89473684 10.10526316] ; [29.10526316 49.89473684],0
u2,1,0.262943,1.253197,[2 6] ; [15 17],[3.4 4.6] ; [13.6 18.4],0
p1,1,0.264773,1.243629,[ 2 14] ; [ 4 75],[ 1.01052632 14.98947368] ; [ 4.98947368 74.01052632],0
p9,1,0.292392,1.108575,[6 9] ; [21 58],[ 4.30851064 10.69148936] ; [22.69148936 56.30851064],0
p3,1,0.298261,1.081953,[7 9] ; [24 55],[ 5.22105263 10.77894737] ; [25.77894737 53.22105263],0
v4,1,0.368587,0.808421,[14  2] ; [62 18],[12.66666667  3.33333333] ; [63.33333333 16.66666667],0
a7,1,0.40292,0.699595,[8 8] ; [49 31],[9.5 6.5] ; [47.5 32.5],0
n3,1,0.43115,0.619722,[4 3] ; [21  8],[4.86111111 2.13888889] ; [20.13888889  8.86111111],0
a1,1,0.431287,0.619355,[ 1 15] ; [ 2 78],[ 0.5 15.5] ; [ 2.5 77.5],0
v2,1,0.461478,0.542308,[9 7] ; [36 42],[7.65957447 8.34042553] ; [37.34042553 40.65957447],0
a5,1,0.463652,0.537063,[10  6] ; [42 38],[8.66666667 7.33333333] ; [43.33333333 36.66666667],0
v3,1,0.467366,0.528196,[ 5 10] ; [18 56],[ 3.87640449 11.12359551] ; [19.12359551 54.87640449],0
u3,1,0.476782,0.506214,[3 5] ; [17 16],[3.90243902 4.09756098] ; [16.09756098 16.90243902],0
r1,1,0.506806,0.440656,[9 7] ; [52 28],[10.16666667  5.83333333] ; [50.83333333 29.16666667],0
s8,1,0.604949,0.267596,[ 3 13] ; [11 69],[ 2.33333333 13.66666667] ; [11.66666667 68.33333333],0
r4,1,0.619167,0.247041,[12  4] ; [55 25],[11.16666667  4.83333333] ; [55.83333333 24.16666667],0
u1,1,0.638515,0.22069,[ 2 14] ; [ 7 73],[ 1.5 14.5] ; [ 7.5 72.5],0
n2,1,0.643563,0.214113,[5 2] ; [18 11],[4.47222222 2.52777778] ; [18.52777778 10.47222222],0
b1,1,0.648006,0.208424,[7 9] ; [40 40],[7.83333333 8.16666667] ; [39.16666667 40.83333333],0
p11,1,0.648006,0.208424,[7 9] ; [40 40],[7.83333333 8.16666667] ; [39.16666667 40.83333333],0
a3,1,0.696597,0.152036,[8 7] ; [47 33],[8.68421053 6.31578947] ; [46.31578947 33.68421053],0
d3,1,0.708895,0.139383,[9 7] ; [49 31],[9.66666667 6.33333333] ; [48.33333333 31.66666667],0
p2,1,0.708895,0.139383,[9 7] ; [49 31],[9.66666667 6.33333333] ; [48.33333333 31.66666667],0
v1,1,0.73632,0.113388,[6 9] ; [28 51],[5.42553191 9.57446809] ; [28.57446809 50.42553191],0
p7,1,0.780394,0.077733,[7 9] ; [32 48],[6.5 9.5] ; [32.5 47.5],0
b4,1,0.8531,0.034286,[9 7] ; [47 33],[9.33333333 6.66666667] ; [46.66666667 33.33333333],0
b2,1,0.855004,0.033393,[ 3 10] ; [11 32],[3.25 9.75] ; [10.75 32.25],0
b3,1,0.855004,0.033393,[ 3 10] ; [11 32],[3.25 9.75] ; [10.75 32.25],0
p6,1,0.874648,0.024887,[ 3 13] ; [13 63],[ 2.7826087 13.2173913] ; [13.2173913 62.7826087],0
a2,1,0.886054,0.020535,[ 2 14] ; [ 9 71],[ 1.83333333 14.16666667] ; [ 9.16666667 70.83333333],0
p8,1,0.945045,0.004751,[ 5 11] ; [24 55],[ 4.88421053 11.11578947] ; [24.11578947 54.88421053],0
a8,1,0.94799,0.004255,[ 1 13] ; [ 5 70],[ 0.94382022 13.05617978] ; [ 5.05617978 69.94382022],0
s1,1,1.0,0.0,[ 1 15] ; [ 5 75],[ 1. 15.] ; [ 5. 75.],0
d1,1,1.0,0.0,[7 9] ; [35 45],[7. 9.] ; [35. 45.],0
a4,1,1.0,0.0,[ 5 11] ; [25 55],[ 5. 11.] ; [25. 55.],0
