Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.2e-05,16.78201,[ 8 17] ; [92 32],[16.77852349  8.22147651] ; [83.22147651 40.77852349],1
a5,1,0.000549,11.942328,[10 15] ; [93 31],[17.28187919  7.71812081] ; [85.71812081 38.28187919],1
r4,1,0.006082,7.525937,[19  6] ; [116   8],[22.65100671  2.34899329] ; [112.34899329  11.65100671],0
p11,1,0.008888,6.845269,[13 12] ; [96 28],[18.2885906  6.7114094] ; [90.7114094 33.2885906],0
r2,1,0.009739,6.68199,[21  4] ; [120   4],[23.65771812  1.34228188] ; [117.34228188   6.65771812],0
p10,1,0.01294,6.177362,[16  8] ; [108  16],[20.10810811  3.89189189] ; [103.89189189  20.10810811],0
u2,1,0.014805,5.939492,[8 2] ; [14 24],[4.58333333 5.41666667] ; [17.41666667 20.58333333],0
p9,1,0.015064,5.908972,[17  7] ; [110  13],[20.73469388  3.26530612] ; [106.26530612  16.73469388],0
n4,1,0.019337,5.470749,[11 14] ; [85 39],[16.10738255  8.89261745] ; [79.89261745 44.10738255],0
p6,1,0.029719,4.725499,[15 10] ; [45 78],[10.13513514 14.86486486] ; [49.86486486 73.13513514],0
r1,1,0.042557,4.112895,[15 10] ; [98 26],[18.95973154  6.04026846] ; [94.04026846 29.95973154],0
u3,1,0.05892,3.567522,[9 1] ; [22 16],[6.45833333 3.54166667] ; [24.54166667 13.45833333],0
b1,1,0.059971,3.538183,[13 12] ; [40 84],[ 8.89261745 16.10738255] ; [44.10738255 79.89261745],0
a2,1,0.112534,2.518263,[ 2 23] ; [27 97],[ 4.86577181 20.13422819] ; [24.13422819 99.86577181],0
s6,1,0.117593,2.449093,[18  6] ; [104  15],[20.47552448  3.52447552] ; [101.52447552  17.47552448],0
a7,1,0.149179,2.080625,[14 11] ; [87 36],[17.06081081  7.93918919] ; [83.93918919 39.06081081],0
p8,1,0.157552,1.997568,[ 9 15] ; [65 57],[12.16438356 11.83561644] ; [61.83561644 60.16438356],0
v1,1,0.176538,1.82653,[ 9 16] ; [63 61],[12.08053691 12.91946309] ; [59.91946309 64.08053691],0
p4,1,0.189837,1.718883,[12 13] ; [77 47],[14.93288591 10.06711409] ; [74.06711409 49.93288591],0
n2,1,0.211011,1.564477,[10  1] ; [21  8],[8.525 2.475] ; [22.475  6.525],0
v4,1,0.245527,1.348579,[22  2] ; [120   4],[23.02702703  0.97297297] ; [118.97297297   5.02702703],0
v3,1,0.2772,1.180767,[ 5 19] ; [39 83],[ 7.23287671 16.76712329] ; [36.76712329 85.23287671],0
n1,1,0.281325,1.160678,[5 6] ; [ 8 21],[3.575 7.425] ; [ 9.425 19.575],0
d1,1,0.316483,1.003426,[12 13] ; [73 51],[14.26174497 10.73825503] ; [70.73825503 53.26174497],0
u1,1,0.340625,0.908076,[ 3 22] ; [25 99],[ 4.69798658 20.30201342] ; [ 23.30201342 100.69798658],0
b3,1,0.348713,0.878136,[ 5 11] ; [13 51],[ 3.6 12.4] ; [14.4 49.6],0
b2,1,0.348713,0.878136,[ 5 11] ; [13 51],[ 3.6 12.4] ; [14.4 49.6],0
p5,1,0.358795,0.842108,[ 1 24] ; [ 12 112],[ 2.18120805 22.81879195] ; [ 10.81879195 113.18120805],0
a3,1,0.361178,0.833792,[15 10] ; [86 38],[16.94630872  8.05369128] ; [84.05369128 39.94630872],0
s3,1,0.373859,0.790798,[20  5] ; [87 35],[18.19727891  6.80272109] ; [88.80272109 33.19727891],0
d2,1,0.488032,0.480863,[10 15] ; [59 65],[11.57718121 13.42281879] ; [57.42281879 66.57718121],0
v2,1,0.501964,0.450783,[10 14] ; [59 61],[11.5 12.5] ; [57.5 62.5],0
d4,1,0.516436,0.421005,[21  4] ; [97 27],[19.79865772  5.20134228] ; [98.20134228 25.79865772],0
p7,1,0.559288,0.340939,[15 10] ; [80 41],[16.26712329  8.73287671] ; [78.73287671 42.26712329],0
s7,1,0.57765,0.31005,[15  8] ; [72 50],[13.8  9.2] ; [73.2 48.8],0
a4,1,0.581919,0.303143,[ 9 16] ; [52 72],[10.23489933 14.76510067] ; [50.76510067 73.23489933],0
b5,1,0.621722,0.243454,[14 11] ; [76 48],[15.10067114  9.89932886] ; [74.89932886 49.10067114],0
p1,1,0.624727,0.23928,[ 3 22] ; [ 11 113],[ 2.34899329 22.65100671] ; [ 11.65100671 112.34899329],0
a6,1,0.62865,0.233895,[17  8] ; [78 46],[15.93959732  9.06040268] ; [79.06040268 44.93959732],0
b4,1,0.676664,0.173905,[14 11] ; [75 49],[14.93288591 10.06711409] ; [74.06711409 49.93288591],0
p3,1,0.688671,0.160527,[14 11] ; [64 60],[13.08724832 11.91275168] ; [64.91275168 59.08724832],0
s8,1,0.741659,0.108674,[12 13] ; [64 60],[12.75167785 12.24832215] ; [63.24832215 60.75167785],0
s2,1,0.75884,0.094251,[17  8] ; [86 35],[17.6369863  7.3630137] ; [85.3630137 35.6369863],0
s5,1,0.762745,0.091131,[11 11] ; [61 53],[11.64705882 10.35294118] ; [60.35294118 53.64705882],0
p2,1,0.776812,0.080359,[20  5] ; [96 28],[19.46308725  5.53691275] ; [96.53691275 27.46308725],0
d3,1,0.837373,0.042129,[18  7] ; [91 32],[18.41216216  6.58783784] ; [90.58783784 32.41216216],0
n3,1,0.838007,0.041797,[8 3] ; [22  7],[8.25 2.75] ; [21.75  7.25],0
a8,1,0.868789,0.02729,[ 1 22] ; [  6 110],[ 1.15827338 21.84172662] ; [  5.84172662 110.15827338],0
