Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.974403,[ 7 22] ; [28  4],[16.63934426 12.36065574] ; [18.36065574 13.63934426],1
p11,1,4.8e-05,16.543175,[ 9 21] ; [26  6],[16.93548387 13.06451613] ; [18.06451613 13.93548387],1
r3,1,0.001761,9.783228,[15 15] ; [27  4],[20.6557377  9.3442623] ; [21.3442623  9.6557377],0
p8,1,0.007162,7.231856,[ 5 24] ; [16 16],[ 9.98360656 19.01639344] ; [11.01639344 20.98360656],0
n5,1,0.022084,5.239181,[14 16] ; [24  8],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
n2,1,0.032981,4.546777,[6 9] ; [9 2],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
r4,1,0.039966,4.219309,[ 3 27] ; [10 22],[ 6.29032258 23.70967742] ; [ 6.70967742 25.29032258],0
p7,1,0.040001,4.217825,[10 20] ; [19 13],[14.03225806 15.96774194] ; [14.96774194 17.03225806],0
p2,1,0.043165,4.088928,[14 16] ; [23  9],[17.90322581 12.09677419] ; [19.09677419 12.90322581],0
v3,1,0.071038,3.258875,[ 3 27] ; [ 9 23],[ 5.80645161 24.19354839] ; [ 6.19354839 25.80645161],0
r1,1,0.089599,2.881572,[ 7 23] ; [14 18],[10.16129032 19.83870968] ; [10.83870968 21.16129032],0
s7,1,0.093121,2.81958,[ 3 23] ; [ 9 21],[ 5.57142857 20.42857143] ; [ 6.42857143 23.57142857],0
s6,1,0.099736,2.709764,[ 8 22] ; [15 17],[11.12903226 18.87096774] ; [11.87096774 20.12903226],0
u2,1,0.10439,2.637153,[ 6 10] ; [10  5],[8.25806452 7.74193548] ; [7.74193548 7.25806452],0
s2,1,0.11128,2.535949,[ 5 25] ; [11 21],[ 7.74193548 22.25806452] ; [ 8.25806452 23.74193548],0
a5,1,0.12731,2.325,[12 18] ; [19 13],[15. 15.] ; [16. 16.],0
p4,1,0.18383,1.766382,[10 20] ; [16 16],[12.58064516 17.41935484] ; [13.41935484 18.58064516],0
s4,1,0.203918,1.614087,[ 3 27] ; [ 7 25],[ 4.83870968 25.16129032] ; [ 5.16129032 26.83870968],0
v1,1,0.204809,1.607745,[ 6 24] ; [11 21],[ 8.22580645 21.77419355] ; [ 8.77419355 23.22580645],0
v4,1,0.212769,1.552484,[15 15] ; [21 11],[17.41935484 12.58064516] ; [18.58064516 13.41935484],0
d4,1,0.212968,1.551133,[16 14] ; [22 10],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
p6,1,0.24716,1.339286,[ 3 25] ; [ 7 25],[ 4.66666667 23.33333333] ; [ 5.33333333 26.66666667],0
a2,1,0.270816,1.212608,[ 3 27] ; [ 1 31],[ 1.93548387 28.06451613] ; [ 2.06451613 29.93548387],0
b5,1,0.277365,1.179955,[20 10] ; [17 15],[17.90322581 12.09677419] ; [19.09677419 12.90322581],0
d5,1,0.300631,1.071395,[18 12] ; [15 17],[15.96774194 14.03225806] ; [17.03225806 14.96774194],0
b4,1,0.300631,1.071395,[18 12] ; [15 17],[15.96774194 14.03225806] ; [17.03225806 14.96774194],0
v2,1,0.331789,0.941902,[ 9 21] ; [13 18],[10.81967213 19.18032787] ; [11.18032787 19.81967213],0
p5,1,0.350371,0.872112,[ 1 28] ; [ 3 29],[ 1.90163934 27.09836066] ; [ 2.09836066 29.90163934],0
n1,1,0.352704,0.863705,[ 3 12] ; [4 7],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
u3,1,0.353755,0.859941,[ 3 13] ; [ 5 10],[ 4.12903226 11.87096774] ; [ 3.87096774 11.12903226],0
n6,1,0.374626,0.788263,[16 14] ; [20 11],[17.70491803 12.29508197] ; [18.29508197 12.70491803],0
b2,1,0.442068,0.590909,[ 7 14] ; [ 4 14],[ 5.92307692 15.07692308] ; [ 5.07692308 12.92307692],0
b3,1,0.442068,0.590909,[ 7 14] ; [ 4 14],[ 5.92307692 15.07692308] ; [ 5.07692308 12.92307692],0
p1,1,0.516041,0.421798,[ 2 28] ; [ 1 31],[ 1.4516129 28.5483871] ; [ 1.5483871 30.4516129],0
a8,1,0.555757,0.347104,[ 5 22] ; [ 4 27],[ 4.18965517 22.81034483] ; [ 4.81034483 26.18965517],0
a1,1,0.587869,0.293684,[ 3 27] ; [ 2 30],[ 2.41935484 27.58064516] ; [ 2.58064516 29.41935484],0
s3,1,0.592319,0.286737,[10 19] ; [ 9 23],[ 9.03278689 19.96721311] ; [ 9.96721311 22.03278689],0
a7,1,0.611267,0.258333,[14 16] ; [17 15],[15. 15.] ; [16. 16.],0
a4,1,0.691125,0.15787,[ 8 22] ; [10 22],[ 8.70967742 21.29032258] ; [ 9.29032258 22.70967742],0
a3,1,0.705191,0.143128,[14 15] ; [17 15],[14.73770492 14.26229508] ; [16.26229508 15.73770492],0
p3,1,0.723691,0.124984,[ 7 22] ; [ 9 23],[ 7.60655738 21.39344262] ; [ 8.39344262 23.60655738],0
d3,1,0.792961,0.068889,[14 16] ; [16 16],[14.51612903 15.48387097] ; [15.48387097 16.51612903],0
a6,1,0.817609,0.053186,[14 16] ; [14 18],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
n3,1,0.850646,0.035455,[9 6] ; [7 4],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
d1,1,0.897647,0.016547,[ 8 22] ; [ 9 23],[ 8.22580645 21.77419355] ; [ 8.77419355 23.22580645],0
d2,1,0.897647,0.016547,[ 8 22] ; [ 9 23],[ 8.22580645 21.77419355] ; [ 8.77419355 23.22580645],0
b1,1,0.930983,0.007501,[20 10] ; [21 11],[19.83870968 10.16129032] ; [21.16129032 10.83870968],0
s1,1,0.933705,0.00692,[ 3 27] ; [ 3 29],[ 2.90322581 27.09677419] ; [ 3.09677419 28.90322581],0
p12,1,0.94679,0.004454,[ 2 28] ; [ 2 30],[ 1.93548387 28.06451613] ; [ 2.06451613 29.93548387],0
n4,1,0.986891,0.00027,[16 14] ; [17 15],[15.96774194 14.03225806] ; [17.03225806 14.96774194],0
