Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,54.82803,[ 56 102] ; [184  70],[92.03883495 65.96116505] ; [147.96116505 106.03883495],1
a4,1,0.0,49.841408,[ 25 134] ; [127 126],[ 58.66019417 100.33980583] ; [ 93.33980583 159.66019417],1
d1,1,0.0,44.621064,[ 41 119] ; [151 104],[74.02409639 85.97590361] ; [117.97590361 137.02409639],1
d5,1,0.0,37.907977,[88 71] ; [212  43],[115.2173913  43.7826087] ; [184.7826087  70.2173913],1
d2,1,0.0,34.145958,[ 32 127] ; [123 129],[59.96350365 99.03649635] ; [ 95.03649635 156.96350365],1
a6,1,0.0,33.981361,[80 80] ; [198  57],[107.18072289  52.81927711] ; [170.81927711  84.18072289],1
d4,1,1e-06,24.904927,[99 60] ; [214  41],[120.21014493  38.78985507] ; [192.78985507  62.21014493],1
u1,1,1e-05,19.462475,[  3 157] ; [ 39 216],[ 16.19277108 143.80722892] ; [ 25.80722892 229.19277108],1
r1,1,2.8e-05,17.538559,[91 69] ; [192  59],[110.1703163  49.8296837] ; [172.8296837  78.1703163],1
p4,1,6.6e-05,15.929859,[ 49 107] ; [130 122],[68.44117647 87.55882353] ; [110.55882353 141.44117647],1
d3,1,0.00013,14.63618,[80 78] ; [177  78],[98.31961259 59.68038741] ; [158.68038741  96.31961259],1
n4,1,0.000136,14.550913,[86 73] ; [184  70],[103.94673123  55.05326877] ; [166.05326877  87.94673123],1
r4,1,0.000308,13.023501,[111  49] ; [215  40],[125.68674699  34.31325301] ; [200.31325301  54.68674699],1
a7,1,0.0004,12.533375,[94 64] ; [193  61],[110.0631068  47.9368932] ; [176.9368932  77.0631068],1
p10,1,0.001326,10.305314,[91 64] ; [185  65],[105.62962963  49.37037037] ; [170.37037037  79.62962963],0
p8,1,0.001985,9.563733,[ 51 107] ; [119 130],[65.995086 92.004914] ; [104.004914 144.995086],0
p3,1,0.006246,7.47789,[ 41 118] ; [ 98 154],[ 53.77372263 105.22627737] ; [ 85.22627737 166.77372263],0
v1,1,0.007241,7.21217,[ 55 102] ; [121 128],[68.0591133 88.9408867] ; [107.9408867 141.0591133],0
r2,1,0.010602,6.530815,[134  25] ; [229  19],[141.81081081  17.18918919] ; [221.18918919  26.81081081],0
v2,1,0.015158,5.897965,[61 91] ; [127 114],[72.71246819 79.28753181] ; [115.28753181 125.71246819],0
n5,1,0.035946,4.399651,[94 63] ; [177  76],[103.77317073  53.22682927] ; [167.22682927  85.77317073],0
p9,1,0.048107,3.906248,[104  51] ; [191  60],[112.62315271  42.37684729] ; [182.37684729  68.62315271],0
p2,1,0.051399,3.795225,[107  51] ; [192  59],[115.50611247  42.49388753] ; [183.49388753  67.50611247],0
r3,1,0.058898,3.568147,[134  25] ; [228  24],[140.04379562  18.95620438] ; [221.95620438  30.04379562],0
s6,1,0.06274,3.463434,[58 98] ; [116 133],[67.02222222 88.97777778] ; [106.97777778 142.02222222],0
n6,1,0.074118,3.189383,[112  46] ; [199  54],[119.55717762  38.44282238] ; [191.44282238  61.55717762],0
s5,1,0.090031,2.873813,[ 24 132] ; [ 55 192],[ 30.58064516 125.41935484] ; [ 48.41935484 198.58064516],0
s3,1,0.093639,2.810666,[59 96] ; [ 75 175],[ 51.28395062 103.71604938] ; [ 82.71604938 167.28395062],0
v4,1,0.094546,2.795214,[136  23] ; [229  23],[141.20437956  17.79562044] ; [223.79562044  28.20437956],0
p11,1,0.102911,2.659836,[106  54] ; [188  67],[113.34939759  46.65060241] ; [180.65060241  74.34939759],0
b2,1,0.115386,2.478862,[20 62] ; [46 87],[25.17209302 56.82790698] ; [40.82790698 92.17209302],0
b3,1,0.115386,2.478862,[20 62] ; [46 87],[25.17209302 56.82790698] ; [40.82790698 92.17209302],0
p5,1,0.127317,2.324914,[  7 151] ; [ 21 231],[ 10.7902439 147.2097561] ; [ 17.2097561 234.7902439],0
v3,1,0.130317,2.28872,[ 37 118] ; [ 75 168],[ 43.61809045 111.38190955] ; [ 68.38190955 174.61809045],0
s1,1,0.266928,1.232464,[  6 151] ; [  5 246],[  4.23284314 152.76715686] ; [  6.76715686 244.23284314],0
p1,1,0.321607,0.982399,[ 10 148] ; [ 23 231],[ 12.65533981 145.34466019] ; [ 20.34466019 233.65533981],0
u3,1,0.333535,0.935122,[46 57] ; [36 33],[49.10465116 53.89534884] ; [32.89534884 36.10465116],0
a1,1,0.334736,0.930488,[  6 154] ; [ 15 240],[  8.09638554 151.90361446] ; [ 12.90361446 242.09638554],0
p12,1,0.341498,0.904801,[  5 153] ; [ 13 240],[  6.91970803 151.08029197] ; [ 11.08029197 241.91970803],0
p7,1,0.346071,0.887812,[74 79] ; [133 117],[78.58808933 74.41191067] ; [128.41191067 121.58808933],0
n2,1,0.499435,0.456137,[32 17] ; [47 19],[33.66086957 15.33913043] ; [45.33913043 20.66086957],0
b5,1,0.544782,0.366749,[102  58] ; [155 100],[99.08433735 60.91566265] ; [157.91566265  97.08433735],0
n3,1,0.78623,0.073554,[35 15] ; [47 18],[35.65217391 14.34782609] ; [46.34782609 18.65217391],0
a8,1,0.793158,0.068755,[ 15 136] ; [ 21 209],[ 14.26771654 136.73228346] ; [ 21.73228346 208.26771654],0
b1,1,0.836378,0.042654,[ 58 102] ; [ 95 160],[ 58.98795181 101.01204819] ; [ 94.01204819 160.98795181],0
u4,1,0.849538,0.035989,[  1 159] ; [  2 252],[  1.15942029 158.84057971] ; [  1.84057971 252.15942029],0
s2,1,0.885632,0.020688,[ 39 120] ; [ 60 191],[ 38.39268293 120.60731707] ; [ 60.60731707 190.39268293],0
s4,1,0.931797,0.007325,[ 20 137] ; [ 31 218],[ 19.72167488 137.27832512] ; [ 31.27832512 217.72167488],0
n1,1,0.931876,0.007308,[16 34] ; [20 44],[15.78947368 34.21052632] ; [20.21052632 43.78947368],0
p6,1,0.936092,0.006429,[ 34 122] ; [ 53 194],[ 33.67741935 122.32258065] ; [ 53.32258065 193.67741935],0
b4,1,0.948866,0.004113,[94 66] ; [149 106],[93.68674699 66.31325301] ; [149.31325301 105.68674699],0
u2,1,0.991346,0.000118,[48 54] ; [33 37],[48.03488372 53.96511628] ; [32.96511628 37.03488372],0
