Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,7e-05,15.816966,[33 34] ; [35  5],[42.57943925 24.42056075] ; [25.42056075 14.57943925],1
p4,1,0.000521,12.040369,[21 45] ; [26 13],[29.54285714 36.45714286] ; [17.45714286 21.54285714],1
p6,1,0.00053,12.005285,[11 54] ; [19 20],[18.75 46.25] ; [11.25 27.75],1
p10,1,0.000944,10.934135,[29 36] ; [31  9],[37.14285714 27.85714286] ; [22.85714286 17.14285714],1
v4,1,0.000945,10.933001,[47 19] ; [38  1],[53.42857143 12.57142857] ; [31.57142857  7.42857143],1
s8,1,0.00129,10.356522,[11 56] ; [18 22],[18.1588785 48.8411215] ; [10.8411215 29.1588785],0
s7,1,0.003518,8.517479,[13 49] ; [19 20],[19.64356436 42.35643564] ; [12.35643564 26.64356436],0
p7,1,0.004454,8.088889,[28 37] ; [28 11],[35. 30.] ; [21. 18.],0
p3,1,0.0119,6.325681,[12 55] ; [16 24],[17.53271028 49.46728972] ; [10.46728972 29.53271028],0
n4,1,0.014287,6.00231,[38 29] ; [32  8],[43.8317757 23.1682243] ; [26.1682243 13.8317757],0
p9,1,0.022018,5.244369,[36 29] ; [31  9],[41.47619048 23.52380952] ; [25.52380952 14.47619048],0
p11,1,0.028564,4.793701,[36 31] ; [30 10],[41.3271028 25.6728972] ; [24.6728972 15.3271028],0
s4,1,0.036833,4.3581,[ 9 58] ; [12 28],[13.14953271 53.85046729] ; [ 7.85046729 32.14953271],0
s6,1,0.03762,4.322139,[26 40] ; [23 15],[31.09615385 34.90384615] ; [17.90384615 20.09615385],0
s5,1,0.039556,4.236825,[11 51] ; [14 25],[15.34653465 46.65346535] ; [ 9.65346535 29.34653465],0
n6,1,0.0594,3.554061,[40 27] ; [31  9],[44.45794393 22.54205607] ; [26.54205607 13.45794393],0
p5,1,0.126946,2.329457,[ 4 62] ; [ 6 34],[ 6.22641509 59.77358491] ; [ 3.77358491 36.22641509],0
n5,1,0.135119,2.232684,[42 24] ; [31  9],[45.45283019 20.54716981] ; [27.54716981 12.45283019],0
r4,1,0.137263,2.208376,[39 28] ; [29 11],[42.57943925 24.42056075] ; [25.42056075 14.57943925],0
v3,1,0.14924,2.08,[12 53] ; [12 27],[15. 50.] ; [ 9. 30.],0
n1,1,0.153686,2.035282,[ 8 18] ; [8 7],[10.14634146 15.85365854] ; [5.85365854 9.14634146],0
r3,1,0.154544,2.026814,[49 18] ; [34  6],[51.97196262 15.02803738] ; [31.02803738  8.97196262],0
v1,1,0.167242,1.907491,[24 42] ; [20 20],[27.39622642 38.60377358] ; [16.60377358 23.39622642],0
b5,1,0.219524,1.507479,[40 27] ; [19 21],[36.94392523 30.05607477] ; [22.05607477 17.94392523],0
u2,1,0.289073,1.123933,[17 23] ; [14 11],[19.07692308 20.92307692] ; [11.92307692 13.07692308],0
d5,1,0.327925,0.957076,[27 40] ; [20 20],[29.42990654 37.57009346] ; [17.57009346 22.42990654],0
b3,1,0.347994,0.880759,[11 30] ; [ 4 20],[ 9.46153846 31.53846154] ; [ 5.53846154 18.46153846],0
b2,1,0.347994,0.880759,[11 30] ; [ 4 20],[ 9.46153846 31.53846154] ; [ 5.53846154 18.46153846],0
p1,1,0.386431,0.750144,[ 5 62] ; [ 5 35],[ 6.26168224 60.73831776] ; [ 3.73831776 36.26168224],0
s3,1,0.389245,0.7413,[31 34] ; [22 17],[33.125 31.875] ; [19.875 19.125],0
d2,1,0.391709,0.733629,[22 45] ; [10 30],[20.03738318 46.96261682] ; [11.96261682 28.03738318],0
a1,1,0.410591,0.677087,[ 4 63] ; [ 1 39],[ 3.13084112 63.86915888] ; [ 1.86915888 38.13084112],0
r2,1,0.414929,0.664632,[50 17] ; [31  7],[51.68571429 15.31428571] ; [29.31428571  8.68571429],0
d4,1,0.422834,0.642424,[35 31] ; [18 22],[33. 33.] ; [20. 20.],0
v2,1,0.442463,0.589886,[21 40] ; [16 22],[22.7979798 38.2020202] ; [14.2020202 23.7979798],0
n2,1,0.443002,0.588495,[16 10] ; [11  4],[17.12195122  8.87804878] ; [9.87804878 5.12195122],0
b4,1,0.466607,0.53,[40 27] ; [21 19],[38.19626168 28.80373832] ; [22.80373832 17.19626168],0
a6,1,0.48404,0.489747,[21 46] ; [10 30],[19.41121495 47.58878505] ; [11.58878505 28.41121495],0
s2,1,0.487825,0.481321,[22 44] ; [16 24],[23.66037736 42.33962264] ; [14.33962264 25.66037736],0
p12,1,0.523427,0.407136,[ 3 63] ; [ 3 37],[ 3.73584906 62.26415094] ; [ 2.26415094 37.73584906],0
b1,1,0.532653,0.389328,[31 36] ; [21 19],[32.56074766 34.43925234] ; [19.43925234 20.56074766],0
a4,1,0.544976,0.366395,[15 52] ; [ 7 33],[13.77570093 53.22429907] ; [ 8.22429907 31.77570093],0
a8,1,0.563534,0.333622,[ 5 60] ; [ 4 32],[ 5.79207921 59.20792079] ; [ 3.20792079 32.79207921],0
d1,1,0.668749,0.183069,[14 53] ; [ 7 33],[13.14953271 53.85046729] ; [ 7.85046729 32.14953271],0
u1,1,0.709679,0.138598,[ 1 66] ; [ 1 39],[ 1.25233645 65.74766355] ; [ 0.74766355 39.25233645],0
a3,1,0.727961,0.120992,[27 39] ; [15 25],[26.1509434 39.8490566] ; [15.8490566 24.1509434],0
r1,1,0.781803,0.076713,[35 32] ; [22 18],[35.69158879 31.30841121] ; [21.30841121 18.69158879],0
s1,1,0.804627,0.061189,[ 4 61] ; [ 2 38],[ 3.71428571 61.28571429] ; [ 2.28571429 37.71428571],0
n3,1,0.837046,0.042302,[13 13] ; [8 7],[13.31707317 12.68292683] ; [7.68292683 7.31707317],0
u3,1,0.905423,0.014117,[17 23] ; [11 14],[17.23076923 22.76923077] ; [10.76923077 14.23076923],0
d3,1,0.931587,0.00737,[24 43] ; [14 26],[23.79439252 43.20560748] ; [14.20560748 25.79439252],0
