Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.370208,[85 14] ; [12 16],[75.61417323 23.38582677] ; [21.38582677  6.61417323],1
p9,1,6e-06,20.580145,[89 10] ; [14 13],[80.92857143 18.07142857] ; [22.07142857  4.92857143],1
v4,1,2.3e-05,17.91179,[95  4] ; [20  9],[88.9453125 10.0546875] ; [26.0546875  2.9453125],1
p7,1,3.7e-05,16.999209,[72 27] ; [ 8 19],[62.85714286 36.14285714] ; [17.14285714  9.85714286],1
r3,1,3.8e-05,16.976103,[98  2] ; [22  7],[93.02325581  6.97674419] ; [26.97674419  2.02325581],1
r4,1,0.00029,13.131631,[92  8] ; [19 10],[86.04651163 13.95348837] ; [24.95348837  4.04651163],1
p8,1,0.000519,12.046615,[59 38] ; [ 7 22],[50.80952381 46.19047619] ; [15.19047619 13.80952381],1
p11,1,0.000519,12.045325,[83 17] ; [15 14],[75.96899225 24.03100775] ; [22.03100775  6.96899225],1
n5,1,0.001182,10.518244,[83 16] ; [16 13],[76.5703125 22.4296875] ; [22.4296875  6.5703125],0
n6,1,0.0028,8.93344,[88 11] ; [19 10],[82.7578125 16.2421875] ; [24.2421875  4.7578125],0
n4,1,0.004999,7.879856,[87 12] ; [19 10],[81.984375 17.015625] ; [24.015625  4.984375],0
p3,1,0.005897,7.581409,[60 40] ; [ 9 20],[53.48837209 46.51162791] ; [15.51162791 13.48837209],0
r1,1,0.013013,6.167275,[81 19] ; [17 12],[75.96899225 24.03100775] ; [22.03100775  6.96899225],0
a5,1,0.0145,5.976223,[88 12] ; [20  9],[83.72093023 16.27906977] ; [24.27906977  4.72093023],0
p4,1,0.015974,5.805726,[64 35] ; [11 17],[58.46456693 40.53543307] ; [16.53543307 11.46456693],0
a6,1,0.045388,4.004152,[41 59] ; [ 6 23],[36.43410853 63.56589147] ; [10.56589147 18.43410853],0
n1,1,0.048259,3.900929,[ 7 14] ; [10  5],[ 9.91666667 11.08333333] ; [7.08333333 7.91666667],0
p5,1,0.070812,3.264092,[17 83] ; [ 1 27],[14.0625 85.9375] ; [ 3.9375 24.0625],0
b5,1,0.07677,3.131982,[46 54] ; [ 8 21],[41.86046512 58.13953488] ; [12.13953488 16.86046512],0
