Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.00368,8.435212,[ 1 14] ; [5 3],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
b2,1,0.00368,8.435212,[ 1 14] ; [5 3],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
s6,1,0.011526,6.382418,[27  5] ; [8 8],[23.33333333  8.66666667] ; [11.66666667  4.33333333],0
a5,1,0.012907,6.181818,[26  8] ; [ 7 10],[22. 12.] ; [11.  6.],0
a6,1,0.01729,5.666667,[22 12] ; [ 5 12],[18. 16.] ; [9. 8.],0
a3,1,0.01891,5.509821,[27  7] ; [8 9],[23.33333333 10.66666667] ; [11.66666667  5.33333333],0
n3,1,0.021985,5.246983,[12  1] ; [5 5],[9.60869565 3.39130435] ; [7.39130435 2.60869565],0
r4,1,0.04603,3.980488,[30  4] ; [11  6],[27.33333333  6.66666667] ; [13.66666667  3.33333333],0
d3,1,0.069523,3.294255,[29  5] ; [10  6],[26.52  7.48] ; [12.48  3.52],0
s3,1,0.101347,2.684211,[24 10] ; [8 9],[21.33333333 12.66666667] ; [10.66666667  6.33333333],0
s8,1,0.104713,2.632258,[16 18] ; [ 4 13],[13.33333333 20.66666667] ; [ 6.66666667 10.33333333],0
a7,1,0.145544,2.118347,[26  8] ; [9 7],[23.8 10.2] ; [11.2  4.8],0
a2,1,0.173412,1.853198,[ 7 27] ; [ 1 16],[ 5.33333333 28.66666667] ; [ 2.66666667 14.33333333],0
p10,1,0.208156,1.584207,[21 11] ; [8 9],[18.93877551 13.06122449] ; [10.06122449  6.93877551],0
p8,1,0.241909,1.369437,[11 22] ; [ 3 14],[ 9.24 23.76] ; [ 4.76 12.24],0
v2,1,0.275633,1.188498,[17 16] ; [ 6 11],[15.18 17.82] ; [7.82 9.18],0
u2,1,0.280425,1.165029,[2 5] ; [5 4],[3.0625 3.9375] ; [3.9375 5.0625],0
d5,1,0.313659,1.015207,[31  3] ; [13  3],[29.92  4.08] ; [14.08  1.92],0
d1,1,0.3175,0.999216,[21 13] ; [8 9],[19.33333333 14.66666667] ; [9.66666667 7.33333333],0
v4,1,0.356552,0.85,[31  3] ; [14  3],[30.  4.] ; [15.  2.],0
r2,1,0.379981,0.770763,[32  2] ; [13  2],[31.2244898  2.7755102] ; [13.7755102  1.2244898],0
v1,1,0.412685,0.671053,[14 20] ; [ 5 12],[12.66666667 21.33333333] ; [ 6.33333333 10.66666667],0
n4,1,0.428203,0.627692,[18 16] ; [ 7 10],[16.66666667 17.33333333] ; [8.33333333 8.66666667],0
b1,1,0.428203,0.627692,[16 18] ; [10  7],[17.33333333 16.66666667] ; [8.66666667 8.33333333],0
s7,1,0.463101,0.538388,[16 13] ; [7 9],[14.82222222 14.17777778] ; [8.17777778 7.82222222],0
p7,1,0.488203,0.480484,[17 16] ; [ 7 10],[15.84 17.16] ; [8.16 8.84],0
r3,1,0.496398,0.462628,[27  5] ; [13  4],[26.12244898  5.87755102] ; [13.87755102  3.12244898],0
u3,1,0.515305,0.42328,[5 2] ; [5 4],[4.375 2.625] ; [5.625 3.375],0
p9,1,0.527089,0.4,[21 11] ; [9 7],[20. 12.] ; [10.  6.],0
p2,1,0.534217,0.386364,[23 11] ; [10  7],[22. 12.] ; [11.  6.],0
s2,1,0.534217,0.386364,[23 11] ; [10  7],[22. 12.] ; [11.  6.],0
d2,1,0.546136,0.364286,[19 15] ; [11  6],[20. 14.] ; [10.  7.],0
b4,1,0.551764,0.354167,[17 17] ; [10  7],[18. 16.] ; [9. 8.],0
p4,1,0.551764,0.354167,[17 17] ; [ 7 10],[16. 18.] ; [8. 9.],0
a4,1,0.551764,0.354167,[17 17] ; [ 7 10],[16. 18.] ; [8. 9.],0
n1,1,0.559847,0.33997,[4 9] ; [2 8],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
u1,1,0.586078,0.296512,[ 6 28] ; [ 2 15],[ 5.33333333 28.66666667] ; [ 2.66666667 14.33333333],0
n6,1,0.669538,0.182143,[24 10] ; [11  6],[23.33333333 10.66666667] ; [11.66666667  5.33333333],0
n5,1,0.690648,0.158385,[16 18] ; [ 7 10],[15.33333333 18.66666667] ; [7.66666667 9.33333333],0
d4,1,0.809759,0.057955,[27  7] ; [13  4],[26.66666667  7.33333333] ; [13.33333333  3.66666667],0
b5,1,0.839289,0.041129,[21 13] ; [10  7],[20.66666667 13.33333333] ; [10.33333333  6.66666667],0
p6,1,0.889728,0.019223,[11 22] ; [ 6 11],[11.22 21.78] ; [ 5.78 11.22],0
v3,1,0.911944,0.012229,[ 9 25] ; [ 4 12],[ 8.84 25.16] ; [ 4.16 11.84],0
s5,1,0.920183,0.010041,[16 15] ; [7 7],[15.84444444 15.15555556] ; [7.15555556 6.84444444],0
n2,1,0.940259,0.005617,[8 5] ; [6 4],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
s1,1,0.979942,0.000632,[ 2 31] ; [ 1 16],[ 1.98 31.02] ; [ 1.02 15.98],0
p1,1,1.0,0.0,[ 4 30] ; [ 2 15],[ 4. 30.] ; [ 2. 15.],0
p3,1,1.0,0.0,[14 20] ; [ 7 10],[14. 20.] ; [ 7. 10.],0
p5,1,1.0,0.0,[ 2 32] ; [ 1 16],[ 2. 32.] ; [ 1. 16.],0
