Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00617,7.5,[5 5] ; [ 3 27],[2. 8.] ; [ 6. 24.],0
s8,1,0.013095,6.156255,[3 7] ; [ 1 30],[0.97560976 9.02439024] ; [ 3.02439024 27.97560976],0
s6,1,0.013724,6.073309,[5 5] ; [ 4 27],[2.19512195 7.80487805] ; [ 6.80487805 24.19512195],0
s2,1,0.026698,4.91022,[4 6] ; [ 3 28],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
u2,1,0.099481,2.713846,[2 1] ; [ 3 12],[0.83333333 2.16666667] ; [ 4.16666667 10.83333333],0
r4,1,0.11387,2.499677,[3 7] ; [ 3 28],[1.46341463 8.53658537] ; [ 4.53658537 26.46341463],0
p8,1,0.125047,2.352941,[3 7] ; [ 3 27],[1.5 8.5] ; [ 4.5 25.5],0
s7,1,0.199053,1.649306,[3 5] ; [ 5 25],[1.68421053 6.31578947] ; [ 6.31578947 23.68421053],0
a2,1,0.209284,1.576373,[2 8] ; [ 2 29],[0.97560976 9.02439024] ; [ 3.02439024 27.97560976],0
p3,1,0.211522,1.560979,[3 7] ; [ 4 27],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
p1,1,0.211522,1.560979,[3 7] ; [ 4 27],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
p9,1,0.227844,1.454269,[4 6] ; [ 6 23],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
d2,1,0.270912,1.212121,[4 6] ; [18 12],[5.5 4.5] ; [16.5 13.5],0
r2,1,0.274895,1.192157,[7 3] ; [14 14],[5.52631579 4.47368421] ; [15.47368421 12.52631579],0
a3,1,0.355842,0.852515,[7 3] ; [16 14],[5.75 4.25] ; [17.25 12.75],0
u3,1,0.396144,0.72,[1 2] ; [ 2 13],[0.5 2.5] ; [ 2.5 12.5],0
d1,1,0.397435,0.716074,[3 7] ; [14 17],[4.14634146 5.85365854] ; [12.85365854 18.14634146],0
n5,1,0.413206,0.669556,[5 5] ; [20 11],[6.09756098 3.90243902] ; [18.90243902 12.09756098],0
d3,1,0.413206,0.669556,[5 5] ; [11 20],[3.90243902 6.09756098] ; [12.09756098 18.90243902],0
b1,1,0.414335,0.666329,[6 4] ; [14 17],[4.87804878 5.12195122] ; [15.12195122 15.87804878],0
b4,1,0.501078,0.452653,[7 3] ; [18 13],[6.09756098 3.90243902] ; [18.90243902 12.09756098],0
p10,1,0.511936,0.430108,[3 7] ; [ 6 24],[2.25 7.75] ; [ 6.75 23.25],0
n4,1,0.516923,0.420028,[6 4] ; [22  9],[6.82926829 3.17073171] ; [21.17073171  9.82926829],0
a5,1,0.52293,0.408111,[6 4] ; [15 16],[5.12195122 4.87804878] ; [15.87804878 15.12195122],0
p4,1,0.580874,0.304823,[2 8] ; [ 4 27],[1.46341463 8.53658537] ; [ 4.53658537 26.46341463],0
a1,1,0.580874,0.304823,[2 8] ; [ 4 27],[1.46341463 8.53658537] ; [ 4.53658537 26.46341463],0
a8,1,0.63349,0.227358,[1 9] ; [ 5 26],[1.46341463 8.53658537] ; [ 4.53658537 26.46341463],0
r1,1,0.653484,0.201536,[4 6] ; [10 21],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
a6,1,0.654991,0.199665,[5 5] ; [13 18],[4.3902439 5.6097561] ; [13.6097561 17.3902439],0
v2,1,0.67329,0.177778,[3 7] ; [ 7 23],[2.5 7.5] ; [ 7.5 22.5],0
d4,1,0.750492,0.101118,[7 3] ; [20 11],[6.58536585 3.41463415] ; [20.41463415 10.58536585],0
r3,1,0.774896,0.081783,[4 6] ; [14 17],[4.3902439 5.6097561] ; [13.6097561 17.3902439],0
b5,1,0.774896,0.081783,[4 6] ; [14 17],[4.3902439 5.6097561] ; [13.6097561 17.3902439],0
s1,1,0.777268,0.080022,[2 8] ; [ 5 26],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
d5,1,0.78961,0.071192,[5 5] ; [17 14],[5.36585366 4.63414634] ; [16.63414634 14.36585366],0
a7,1,0.78961,0.071192,[5 5] ; [14 17],[4.63414634 5.36585366] ; [14.36585366 16.63414634],0
s4,1,0.807262,0.059516,[1 9] ; [ 4 27],[1.2195122 8.7804878] ; [ 3.7804878 27.2195122],0
a4,1,0.84547,0.037987,[3 7] ; [10 20],[3.25 6.75] ; [ 9.75 20.25],0
n2,1,0.892295,0.018333,[1 1] ; [ 9 11],[0.90909091 1.09090909] ; [ 9.09090909 10.90909091],0
p11,1,0.893852,0.017804,[3 7] ; [10 21],[3.17073171 6.82926829] ; [ 9.82926829 21.17073171],0
b2,1,0.916528,0.010985,[2 3] ; [ 9 15],[1.89655172 3.10344828] ; [ 9.10344828 14.89655172],0
b3,1,0.916528,0.010985,[2 3] ; [ 9 15],[1.89655172 3.10344828] ; [ 9.10344828 14.89655172],0
p7,1,0.964295,0.002004,[2 8] ; [ 6 25],[1.95121951 8.04878049] ; [ 6.04878049 24.95121951],0
n6,1,1.0,0.0,[4 6] ; [12 18],[4. 6.] ; [12. 18.],0
s3,1,1.0,0.0,[3 7] ; [ 9 21],[3. 7.] ; [ 9. 21.],0
