Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.648043,[33  7] ; [ 5 19],[23.75 16.25] ; [14.25  9.75],1
a4,1,0.000478,12.197647,[28 12] ; [ 6 18],[21.25 18.75] ; [12.75 11.25],1
d2,1,0.001374,10.24,[31  9] ; [ 9 15],[25. 15.] ; [15.  9.],0
a2,1,0.002869,8.888889,[15 25] ; [ 1 23],[10. 30.] ; [ 6. 18.],0
a5,1,0.002869,8.888889,[35  5] ; [13 11],[30. 10.] ; [18.  6.],0
a7,1,0.004201,8.194709,[28 12] ; [ 8 16],[22.5 17.5] ; [13.5 10.5],0
a6,1,0.01438,5.990838,[29 11] ; [10 14],[24.375 15.625] ; [14.625  9.375],0
v4,1,0.109599,2.56,[39  1] ; [21  3],[37.5  2.5] ; [22.5  1.5],0
p1,1,0.121098,2.403065,[ 2 38] ; [ 4 20],[ 3.75 36.25] ; [ 2.25 21.75],0
a3,1,0.163734,1.939394,[30 10] ; [14 10],[27.5 12.5] ; [16.5  7.5],0
r1,1,0.172645,1.859829,[34  6] ; [17  7],[31.875  8.125] ; [19.125  4.875],0
p9,1,0.216225,1.52925,[34  5] ; [18  6],[32.19047619  6.80952381] ; [19.80952381  4.19047619],0
p7,1,0.257745,1.280829,[12 26] ; [11 13],[14.09677419 23.90322581] ; [ 8.90322581 15.09677419],0
v2,1,0.275914,1.187105,[23 14] ; [11 12],[20.96666667 16.03333333] ; [13.03333333  9.96666667],0
p3,1,0.286122,1.137778,[17 23] ; [ 7 17],[15. 25.] ; [ 9. 15.],0
b4,1,0.286122,1.137778,[27 13] ; [13 11],[25. 15.] ; [15.  9.],0
n3,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
a8,1,0.305583,1.049669,[ 3 34] ; [ 4 20],[ 4.24590164 32.75409836] ; [ 2.75409836 21.24590164],0
s3,1,0.341431,0.905051,[28 12] ; [14 10],[26.25 13.75] ; [15.75  8.25],0
s7,1,0.367771,0.811181,[31  7] ; [15  6],[29.62711864  8.37288136] ; [16.37288136  4.62711864],0
n6,1,0.374063,0.790123,[35  5] ; [19  5],[33.75  6.25] ; [20.25  3.75],0
s6,1,0.398003,0.714351,[34  5] ; [19  5],[32.80952381  6.19047619] ; [20.19047619  3.80952381],0
n5,1,0.401977,0.702404,[32  8] ; [17  7],[30.625  9.375] ; [18.375  5.625],0
p6,1,0.403395,0.698182,[14 26] ; [ 6 18],[12.5 27.5] ; [ 7.5 16.5],0
v1,1,0.409002,0.681701,[19 19] ; [14  9],[20.55737705 17.44262295] ; [12.44262295 10.55737705],0
p8,1,0.434967,0.609524,[10 30] ; [ 4 20],[ 8.75 31.25] ; [ 5.25 18.75],0
b5,1,0.459352,0.547473,[27 13] ; [14 10],[25.625 14.375] ; [15.375  8.625],0
s4,1,0.550985,0.355556,[ 9 31] ; [ 7 17],[10. 30.] ; [ 6. 18.],0
a1,1,0.593803,0.284444,[ 3 37] ; [ 1 23],[ 2.5 37.5] ; [ 1.5 22.5],0
u2,1,0.605577,0.266667,[8 2] ; [7 3],[7.5 2.5] ; [7.5 2.5],0
u3,1,0.605577,0.266667,[8 2] ; [7 3],[7.5 2.5] ; [7.5 2.5],0
p11,1,0.666683,0.185507,[28 12] ; [18  6],[28.75 11.25] ; [17.25  6.75],0
p10,1,0.677392,0.173077,[31  8] ; [18  6],[30.33333333  8.66666667] ; [18.66666667  5.33333333],0
n1,1,0.750679,0.100962,[9 5] ; [4 3],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
p12,1,0.783182,0.075721,[ 4 35] ; [ 3 21],[ 4.33333333 34.66666667] ; [ 2.66666667 21.33333333],0
p5,1,0.790602,0.070505,[ 4 33] ; [ 2 21],[ 3.7 33.3] ; [ 2.3 20.7],0
b1,1,0.794679,0.067725,[22 18] ; [14 10],[22.5 17.5] ; [13.5 10.5],0
n4,1,0.819202,0.052245,[31  9] ; [18  6],[30.625  9.375] ; [18.375  5.625],0
s5,1,0.822436,0.050361,[15 22] ; [10 13],[15.41666667 21.58333333] ; [ 9.58333333 13.41666667],0
v3,1,0.852727,0.034462,[15 19] ; [10 14],[14.65517241 19.34482759] ; [10.34482759 13.65517241],0
r3,1,0.87864,0.023315,[38  2] ; [23  1],[38.125  1.875] ; [22.875  1.125],0
s2,1,0.891896,0.01847,[26 14] ; [16  8],[26.25 13.75] ; [15.75  8.25],0
r4,1,0.904275,0.014463,[37  3] ; [22  2],[36.875  3.125] ; [22.125  1.875],0
p4,1,0.947893,0.004271,[17 23] ; [10 14],[16.875 23.125] ; [10.125 13.875],0
b2,1,1.0,0.0,[12 24] ; [ 6 12],[12. 24.] ; [ 6. 12.],0
b3,1,1.0,0.0,[12 24] ; [ 6 12],[12. 24.] ; [ 6. 12.],0
