Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.005163,7.821437,[12  5] ; [ 6 17],[7.65 9.35] ; [10.35 12.65],0
s6,1,0.01502,5.91407,[ 7 10] ; [ 2 21],[ 3.825 13.175] ; [ 5.175 17.825],0
r4,1,0.028193,4.816208,[ 5 12] ; [ 1 22],[ 2.55 14.45] ; [ 3.45 19.55],0
v2,1,0.032822,4.555056,[ 5 12] ; [ 1 21],[ 2.61538462 14.38461538] ; [ 3.38461538 18.61538462],0
a1,1,0.054974,3.682864,[ 1 16] ; [ 7 16],[ 3.4 13.6] ; [ 4.6 18.4],0
s2,1,0.069776,3.288272,[ 4 13] ; [ 1 22],[ 2.125 14.875] ; [ 2.875 20.125],0
n5,1,0.096519,2.762148,[15  2] ; [15  8],[12.75  4.25] ; [17.25  5.75],0
a4,1,0.119551,2.423188,[ 4 11] ; [12 11],[6.31578947 8.68421053] ; [ 9.68421053 13.31578947],0
p4,1,0.144783,2.126378,[ 3 13] ; [ 1 22],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
a2,1,0.165012,1.927687,[ 1 16] ; [ 5 18],[ 2.55 14.45] ; [ 3.45 19.55],0
s5,1,0.165746,1.921,[ 3 14] ; [ 1 22],[ 1.7 15.3] ; [ 2.3 20.7],0
a7,1,0.18384,1.766308,[ 6 11] ; [13 10],[8.075 8.925] ; [10.925 12.075],0
d2,1,0.194916,1.680067,[ 5 11] ; [12 11],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
s3,1,0.198203,1.655568,[ 2 13] ; [ 7 15],[ 3.64864865 11.35135135] ; [ 5.35135135 16.64864865],0
a6,1,0.217594,1.520169,[ 7 10] ; [14  9],[8.925 8.075] ; [12.075 10.925],0
b2,1,0.224592,1.474786,[4 9] ; [9 8],[5.63333333 7.36666667] ; [7.36666667 9.63333333],0
b3,1,0.224592,1.474786,[4 9] ; [9 8],[5.63333333 7.36666667] ; [7.36666667 9.63333333],0
p8,1,0.226346,1.463677,[ 5 12] ; [ 3 19],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
p3,1,0.276588,1.183778,[ 1 16] ; [ 4 19],[ 2.125 14.875] ; [ 2.875 20.125],0
b5,1,0.283006,1.1526,[8 9] ; [ 7 16],[ 6.375 10.625] ; [ 8.625 14.375],0
n2,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
s8,1,0.378645,0.775097,[ 2 15] ; [ 1 22],[ 1.275 15.725] ; [ 1.725 21.275],0
s4,1,0.397422,0.716113,[ 3 14] ; [ 2 21],[ 2.125 14.875] ; [ 2.875 20.125],0
p11,1,0.397422,0.716113,[ 3 14] ; [ 2 21],[ 2.125 14.875] ; [ 2.875 20.125],0
p5,1,0.401484,0.703877,[ 2 15] ; [ 1 21],[ 1.30769231 15.69230769] ; [ 1.69230769 20.30769231],0
d4,1,0.428016,0.628201,[11  6] ; [12 11],[9.775 7.225] ; [13.225  9.775],0
d3,1,0.428016,0.628201,[ 6 11] ; [11 12],[7.225 9.775] ; [ 9.775 13.225],0
b4,1,0.428016,0.628201,[11  6] ; [12 11],[9.775 7.225] ; [13.225  9.775],0
r1,1,0.433357,0.613811,[8 9] ; [ 8 15],[ 6.8 10.2] ; [ 9.2 13.8],0
u3,1,0.437558,0.602679,[2 5] ; [1 7],[1.4 5.6] ; [1.6 6.4],0
n1,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
u2,1,0.604773,0.267857,[1 6] ; [2 6],[1.4 5.6] ; [1.6 6.4],0
d5,1,0.616065,0.251437,[9 8] ; [14  9],[9.775 7.225] ; [13.225  9.775],0
p10,1,0.635454,0.224737,[ 5 12] ; [ 5 17],[ 4.35897436 12.64102564] ; [ 5.64102564 16.35897436],0
n3,1,0.678044,0.172336,[3 4] ; [4 8],[2.57894737 4.42105263] ; [4.42105263 7.57894737],0
s1,1,0.686884,0.162479,[ 3 14] ; [ 3 20],[ 2.55 14.45] ; [ 3.45 19.55],0
s7,1,0.715128,0.133209,[ 3 13] ; [ 3 18],[ 2.59459459 13.40540541] ; [ 3.40540541 17.59459459],0
r2,1,0.715478,0.132867,[10  6] ; [15  7],[10.52631579  5.47368421] ; [14.47368421  7.52631579],0
a3,1,0.715478,0.132867,[10  6] ; [15  7],[10.52631579  5.47368421] ; [14.47368421  7.52631579],0
v3,1,0.815914,0.054198,[ 5 12] ; [ 6 17],[ 4.675 12.325] ; [ 6.325 16.675],0
a5,1,0.821963,0.050634,[9 8] ; [13 10],[9.35 7.65] ; [12.65 10.35],0
v1,1,0.853493,0.034101,[ 4 13] ; [ 6 17],[ 4.25 12.75] ; [ 5.75 17.25],0
d1,1,0.89611,0.01705,[ 7 10] ; [ 9 14],[ 6.8 10.2] ; [ 9.2 13.8],0
b1,1,0.89611,0.01705,[10  7] ; [14  9],[10.2  6.8] ; [13.8  9.2],0
p7,1,0.918507,0.010468,[ 2 14] ; [ 3 19],[ 2.10526316 13.89473684] ; [ 2.89473684 19.10526316],0
n4,1,0.944356,0.004872,[12  5] ; [16  7],[11.9  5.1] ; [16.1  6.9],0
p9,1,0.96749,0.001661,[ 4 11] ; [ 6 16],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
p1,1,0.98321,0.000443,[ 3 14] ; [ 4 19],[ 2.975 14.025] ; [ 4.025 18.975],0
