Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.004186,8.20131,[18 71] ; [16 19],[24.40322581 64.59677419] ; [ 9.59677419 25.40322581],0
p4,1,0.004355,8.129544,[23 66] ; [18 16],[29.66666667 59.33333333] ; [11.33333333 22.66666667],0
s8,1,0.004438,8.095265,[ 5 85] ; [ 8 27],[ 9.36 80.64] ; [ 3.64 31.36],0
r4,1,0.004485,8.076281,[50 40] ; [29  6],[56.88 33.12] ; [22.12 12.88],0
s5,1,0.010214,6.597151,[ 9 80] ; [10 25],[13.63709677 75.36290323] ; [ 5.36290323 29.63709677],0
u3,1,0.012257,6.273368,[17 25] ; [13  4],[21.3559322 20.6440678] ; [8.6440678 8.3559322],0
r3,1,0.026487,4.923957,[61 27] ; [31  4],[65.82113821 22.17886179] ; [26.17886179  8.82113821],0
p7,1,0.028653,4.788314,[29 59] ; [19 16],[34.34146341 53.65853659] ; [13.65853659 21.34146341],0
n6,1,0.033431,4.523593,[47 41] ; [26  9],[52.22764228 35.77235772] ; [20.77235772 14.22764228],0
a7,1,0.035556,4.418293,[50 38] ; [27  8],[55.08943089 32.91056911] ; [21.91056911 13.08943089],0
b5,1,0.03634,4.381061,[43 47] ; [24 11],[48.24 41.76] ; [18.76 16.24],0
s7,1,0.072167,3.23303,[12 71] ; [10 25],[15.47457627 67.52542373] ; [ 6.52542373 28.47457627],0
s4,1,0.086084,2.946128,[ 8 82] ; [ 7 28],[10.8 79.2] ; [ 4.2 30.8],0
r1,1,0.104143,2.640926,[55 34] ; [27  8],[58.85483871 30.14516129] ; [23.14516129 11.85483871],0
b1,1,0.113229,2.508569,[45 45] ; [23 12],[48.96 41.04] ; [19.04 15.96],0
a8,1,0.114648,2.488949,[ 4 80] ; [ 4 26],[ 5.89473684 78.10526316] ; [ 2.10526316 27.89473684],0
p8,1,0.134265,2.242483,[19 70] ; [12 23],[22.25 66.75] ; [ 8.75 26.25],0
p5,1,0.134265,2.242483,[ 1 88] ; [ 2 33],[ 2.15322581 86.84677419] ; [ 0.84677419 34.15322581],0
v4,1,0.148853,2.083963,[64 23] ; [30  5],[67.03278689 19.96721311] ; [26.96721311  8.03278689],0
d4,1,0.149081,2.081627,[56 32] ; [27  8],[59.38211382 28.61788618] ; [23.61788618 11.38211382],0
n3,1,0.154664,2.025638,[21 17] ; [8 2],[22.95833333 15.04166667] ; [6.04166667 3.95833333],0
