Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-05,18.142602,[17  6] ; [29 78],[ 8.13846154 14.86153846] ; [37.86153846 69.13846154],1
a1,1,0.002163,9.405654,[ 3 20] ; [  1 107],[ 0.70229008 22.29770992] ; [  3.29770992 104.70229008],0
s2,1,0.002546,9.107303,[ 8 15] ; [11 96],[ 3.36153846 19.63846154] ; [15.63846154 91.36153846],0
p1,1,0.010974,6.469471,[ 3 20] ; [  2 106],[ 0.8778626 22.1221374] ; [  4.1221374 103.8778626],0
p12,1,0.020082,5.404747,[ 2 20] ; [  1 107],[ 0.50769231 21.49230769] ; [  2.49230769 105.50769231],0
s8,1,0.02592,4.961342,[ 7 16] ; [13 95],[ 3.51145038 19.48854962] ; [16.48854962 91.51145038],0
n6,1,0.070092,3.280858,[19  4] ; [68 40],[15.27480916  7.72519084] ; [71.72519084 36.27480916],0
p6,1,0.070851,3.2632,[ 8 14] ; [20 86],[ 4.8125 17.1875] ; [23.1875 82.8125],0
p4,1,0.073519,3.202653,[12 10] ; [37 71],[ 8.29230769 13.70769231] ; [40.70769231 67.29230769],0
a4,1,0.089876,2.876592,[ 9 14] ; [24 84],[ 5.79389313 17.20610687] ; [27.20610687 80.79389313],0
d2,1,0.092128,2.836783,[10 13] ; [28 80],[ 6.67175573 16.32824427] ; [31.32824427 76.67175573],0
p3,1,0.101553,2.680976,[10 12] ; [30 78],[ 6.76923077 15.23076923] ; [33.23076923 74.76923077],0
b5,1,0.106922,2.599141,[11 12] ; [71 37],[14.39694656  8.60305344] ; [67.60305344 40.39694656],0
s7,1,0.120809,2.406803,[ 7 14] ; [19 85],[ 4.368 16.632] ; [21.632 82.368],0
b2,1,0.147053,2.102556,[ 1 11] ; [15 38],[2.95384615 9.04615385] ; [13.04615385 39.95384615],0
b3,1,0.147053,2.102556,[ 1 11] ; [15 38],[2.95384615 9.04615385] ; [13.04615385 39.95384615],0
n5,1,0.152505,2.047018,[ 5 18] ; [40 67],[ 7.96153846 15.03846154] ; [37.03846154 69.96153846],0
u1,1,0.197379,1.661664,[ 3 20] ; [  6 102],[ 1.58015267 21.41984733] ; [  7.41984733 100.58015267],0
d4,1,0.202899,1.621383,[19  4] ; [75 33],[16.50381679  6.49618321] ; [77.49618321 30.50381679],0
d1,1,0.239893,1.381221,[12 11] ; [42 66],[ 9.48091603 13.51908397] ; [44.51908397 63.48091603],0
r3,1,0.252515,1.309333,[21  2] ; [88 20],[19.13740458  3.86259542] ; [89.86259542 18.13740458],0
d3,1,0.328816,0.953554,[17  6] ; [67 39],[14.97674419  8.02325581] ; [69.02325581 36.97674419],0
v2,1,0.368566,0.808492,[12 11] ; [44 61],[10.0625 12.9375] ; [45.9375 59.0625],0
b1,1,0.395077,0.723257,[ 8 15] ; [48 60],[ 9.83206107 13.16793893] ; [46.16793893 61.83206107],0
s4,1,0.411173,0.675406,[ 5 18] ; [16 92],[ 3.6870229 19.3129771] ; [17.3129771 90.6870229],0
r2,1,0.416843,0.659199,[20  3] ; [86 22],[18.61068702  4.38931298] ; [87.38931298 20.61068702],0
r4,1,0.445331,0.582509,[18  5] ; [76 32],[16.50381679  6.49618321] ; [77.49618321 30.50381679],0
v1,1,0.496274,0.462896,[ 7 16] ; [41 67],[ 8.42748092 14.57251908] ; [39.57251908 68.42748092],0
p10,1,0.512909,0.428128,[15  7] ; [65 42],[13.64341085  8.35658915] ; [66.35658915 40.64341085],0
p5,1,0.529394,0.395554,[ 2 20] ; [  6 102],[ 1.35384615 20.64615385] ; [  6.64615385 101.35384615],0
b4,1,0.530546,0.393346,[14  9] ; [58 50],[12.64122137 10.35877863] ; [59.35877863 48.64122137],0
a3,1,0.531872,0.390813,[12 11] ; [64 44],[13.34351145  9.65648855] ; [62.65648855 45.34351145],0
p8,1,0.535827,0.383328,[ 8 14] ; [47 61],[ 9.30769231 12.69230769] ; [45.69230769 62.30769231],0
n1,1,0.537047,0.381041,[3 7] ; [ 9 34],[2.26415094 7.73584906] ; [ 9.73584906 33.26415094],0
u2,1,0.589084,0.291777,[5 6] ; [24 20],[5.8 5.2] ; [23.2 20.8],0
d5,1,0.591764,0.287598,[17  6] ; [73 34],[15.92307692  7.07692308] ; [74.07692308 32.92307692],0
p9,1,0.599134,0.276304,[16  6] ; [71 35],[14.953125  7.046875] ; [72.046875 33.953125],0
r1,1,0.622331,0.242606,[13 10] ; [67 41],[14.04580153  8.95419847] ; [65.95419847 42.04580153],0
p2,1,0.636632,0.223174,[16  6] ; [73 35],[15.06153846  6.93846154] ; [73.93846154 34.06153846],0
n3,1,0.639938,0.218824,[5 5] ; [25 18],[5.66037736 4.33962264] ; [24.33962264 18.66037736],0
v4,1,0.647711,0.208798,[21  2] ; [95 13],[20.36641221  2.63358779] ; [95.63358779 12.36641221],0
s1,1,0.691096,0.157901,[ 1 22] ; [  3 105],[ 0.70229008 22.29770992] ; [  3.29770992 104.70229008],0
a7,1,0.712081,0.136208,[15  8] ; [74 33],[15.74615385  7.25384615] ; [73.25384615 33.74615385],0
p11,1,0.720211,0.128291,[14  9] ; [70 38],[14.7480916  8.2519084] ; [69.2519084 38.7480916],0
a5,1,0.743793,0.106821,[13 10] ; [57 51],[12.29007634 10.70992366] ; [57.70992366 50.29007634],0
a2,1,0.791582,0.069832,[ 3 20] ; [12 96],[ 2.63358779 20.36641221] ; [12.36641221 95.63358779],0
p7,1,0.817659,0.053156,[10 12] ; [52 56],[10.49230769 11.50769231] ; [51.50769231 56.49230769],0
v3,1,0.907645,0.013458,[ 5 18] ; [24 81],[ 5.2109375 17.7890625] ; [23.7890625 81.2109375],0
n2,1,0.911402,0.012381,[6 4] ; [26 16],[6.15384615 3.84615385] ; [25.84615385 16.15384615],0
a6,1,0.932498,0.007174,[13 10] ; [60 48],[12.81679389 10.18320611] ; [60.18320611 47.81679389],0
a8,1,0.985641,0.000324,[ 1 20] ; [ 5 98],[ 1.01612903 19.98387097] ; [ 4.98387097 98.01612903],0
u3,1,1.0,0.0,[6 5] ; [24 20],[6. 5.] ; [24. 20.],0
