Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.014756,5.945323,[ 4 42] ; [2 2],[ 5.52 40.48] ; [0.48 3.52],0
s7,1,0.039225,4.25108,[ 5 38] ; [2 2],[ 6.40425532 36.59574468] ; [0.59574468 3.40425532],0
p4,1,0.044431,4.040098,[12 33] ; [3 1],[13.7755102 31.2244898] ; [1.2244898 2.7755102],0
p12,1,0.095274,2.782917,[ 2 44] ; [1 3],[ 2.76 43.24] ; [0.24 3.76],0
v3,1,0.104135,2.641041,[11 35] ; [2 1],[12.20408163 33.79591837] ; [0.79591837 2.20408163],0
r1,1,0.111956,2.52639,[16 30] ; [3 1],[17.48 28.52] ; [1.52 2.48],0
d5,1,0.136303,2.219203,[29 17] ; [1 3],[27.6 18.4] ; [2.4 1.6],0
p2,1,0.146636,2.106906,[17 28] ; [3 1],[18.36734694 26.63265306] ; [1.63265306 2.36734694],0
p9,1,0.170001,1.882935,[17 26] ; [3 1],[18.29787234 24.70212766] ; [1.70212766 2.29787234],0
p10,1,0.206571,1.595296,[19 26] ; [3 1],[20.20408163 24.79591837] ; [1.79591837 2.20408163],0
s6,1,0.253915,1.301636,[11 35] ; [2 2],[11.96 34.04] ; [1.04 2.96],0
a5,1,0.297147,1.086957,[24 22] ; [1 3],[23. 23.] ; [2. 2.],0
n6,1,0.316771,1.002231,[22 23] ; [3 1],[22.95918367 22.04081633] ; [2.04081633 1.95918367],0
p8,1,0.362806,0.828157,[13 33] ; [2 2],[13.8 32.2] ; [1.2 2.8],0
b5,1,0.4248,0.636999,[21 25] ; [1 3],[20.24 25.76] ; [1.76 2.24],0
b4,1,0.4248,0.636999,[25 21] ; [3 1],[25.76 20.24] ; [2.24 1.76],0
s5,1,0.508599,0.436949,[ 6 40] ; [1 3],[ 6.44 39.56] ; [0.56 3.44],0
b1,1,0.523186,0.407609,[27 19] ; [3 1],[27.6 18.4] ; [2.4 1.6],0
a7,1,0.523186,0.407609,[19 27] ; [1 3],[18.4 27.6] ; [1.6 2.4],0
d2,1,0.555158,0.348158,[18 27] ; [1 3],[17.44897959 27.55102041] ; [1.55102041 2.44897959],0
n1,1,0.5891,0.291752,[ 9 14] ; [1 3],[ 8.51851852 14.48148148] ; [1.48148148 2.51851852],0
r2,1,0.589639,0.290909,[28 16] ; [2 2],[27.5 16.5] ; [2.5 1.5],0
u3,1,0.599126,0.276316,[ 6 13] ; [1 1],[ 6.33333333 12.66666667] ; [0.66666667 1.33333333],0
a3,1,0.696566,0.152069,[27 18] ; [2 2],[26.63265306 18.36734694] ; [2.36734694 1.63265306],0
v1,1,0.754357,0.097906,[15 31] ; [1 3],[14.72 31.28] ; [1.28 2.72],0
n4,1,0.801011,0.063523,[26 20] ; [2 2],[25.76 20.24] ; [2.24 1.76],0
d4,1,0.801011,0.063523,[26 20] ; [2 2],[25.76 20.24] ; [2.24 1.76],0
n2,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
n5,1,0.820029,0.05176,[32 14] ; [3 1],[32.2 13.8] ; [2.8 1.2],0
p11,1,0.820029,0.05176,[14 32] ; [1 3],[13.8 32.2] ; [1.2 2.8],0
a6,1,0.933476,0.006968,[22 24] ; [2 2],[22.08 23.92] ; [1.92 2.08],0
p3,1,0.980246,0.000613,[11 34] ; [1 3],[11.02040816 33.97959184] ; [0.97959184 3.02040816],0
d3,1,1.0,0.0,[23 23] ; [2 2],[23. 23.] ; [2. 2.],0
