Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.382185,[112  21] ; [16 20],[100.73372781  32.26627219] ; [27.26627219  8.73372781],1
s8,1,2.5e-05,17.786792,[78 54] ; [ 7 29],[66.78571429 65.21428571] ; [18.21428571 17.78571429],1
s7,1,0.000137,14.545455,[80 48] ; [ 8 24],[70.4 57.6] ; [17.6 14.4],1
r4,1,0.00021,13.742295,[121  12] ; [24 12],[114.11242604  18.88757396] ; [30.88757396  5.11242604],1
n6,1,0.001221,10.458952,[111  22] ; [21 15],[103.8816568  29.1183432] ; [28.1183432  7.8816568],0
b5,1,0.001252,10.412603,[94 39] ; [15 21],[85.78106509 47.21893491] ; [23.21893491 12.78106509],0
r3,1,0.002855,8.897678,[127   6] ; [29  7],[122.76923077  10.23076923] ; [33.23076923  2.76923077],0
v4,1,0.005005,7.877512,[126   7] ; [28  7],[121.91666667  11.08333333] ; [32.08333333  2.91666667],0
p9,1,0.005407,7.73804,[111  20] ; [23 13],[105.11377246  25.88622754] ; [28.88622754  7.11377246],0
b4,1,0.017481,5.647452,[88 45] ; [16 20],[81.84615385 51.15384615] ; [22.15384615 13.84615385],0
a2,1,0.026565,4.918864,[34 99] ; [ 3 33],[ 29.1183432 103.8816568] ; [ 7.8816568 28.1183432],0
u2,1,0.030944,4.656085,[22 11] ; [ 5 10],[18.5625 14.4375] ; [8.4375 6.5625],0
r1,1,0.03867,4.275311,[106  26] ; [23 13],[101.35714286  30.64285714] ; [27.64285714  8.35714286],0
d5,1,0.04687,3.950032,[109  24] ; [24 12],[104.66863905  28.33136095] ; [28.33136095  7.66863905],0
s5,1,0.047218,3.937613,[45 82] ; [ 5 25],[40.44585987 86.55414013] ; [ 9.55414013 20.44585987],0
p4,1,0.050016,3.84092,[65 68] ; [11 25],[59.81065089 73.18934911] ; [16.18934911 19.81065089],0
a3,1,0.058892,3.568322,[99 34] ; [21 15],[94.43786982 38.56213018] ; [25.56213018 10.43786982],0
u3,1,0.068655,3.314882,[25  9] ; [7 8],[22.20408163 11.79591837] ; [9.79591837 5.20408163],0
p2,1,0.076172,3.144751,[101  32] ; [22 14],[96.79881657 36.20118343] ; [26.20118343  9.79881657],0
b1,1,0.080684,3.051065,[42 91] ; [17 19],[46.43195266 86.56804734] ; [12.56804734 23.43195266],0
d4,1,0.099197,2.718414,[112  21] ; [26 10],[108.6035503  24.3964497] ; [29.3964497  6.6035503],0
v2,1,0.130349,2.288348,[64 60] ; [13 22],[60.05031447 63.94968553] ; [16.94968553 18.05031447],0
a1,1,0.155981,2.01276,[  2 131] ; [ 2 34],[  3.14792899 129.85207101] ; [ 0.85207101 35.14792899],0
u1,1,0.176812,1.824215,[ 28 105] ; [ 4 32],[ 25.18343195 107.81656805] ; [ 6.81656805 29.18343195],0
p11,1,0.1879,1.734008,[93 40] ; [21 15],[89.71597633 43.28402367] ; [24.28402367 11.71597633],0
v3,1,0.203229,1.619017,[45 80] ; [ 8 25],[41.93037975 83.06962025] ; [11.06962025 21.93037975],0
d2,1,0.252879,1.30733,[77 56] ; [17 19],[73.97633136 59.02366864] ; [20.02366864 15.97633136],0
a6,1,0.276273,1.185335,[87 46] ; [20 16],[84.20710059 48.79289941] ; [22.79289941 13.20710059],0
