Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000118,14.822584,[88 72] ; [75 20],[102.2745098  57.7254902] ; [60.7254902 34.2745098],1
p3,1,0.000144,14.444717,[ 36 124] ; [43 52],[ 49.56862745 110.43137255] ; [29.43137255 65.56862745],1
v3,1,0.00056,11.904471,[ 33 121] ; [38 52],[ 44.81147541 109.18852459] ; [26.18852459 63.81147541],1
p4,1,0.000662,11.59377,[ 42 117] ; [45 50],[ 54.46062992 104.53937008] ; [32.53937008 62.46062992],1
p11,1,0.002096,9.463399,[99 62] ; [76 19],[110.05859375  50.94140625] ; [64.94140625 30.05859375],0
r1,1,0.002897,8.870953,[99 62] ; [74 19],[109.65748031  51.34251969] ; [63.34251969 29.65748031],0
v2,1,0.003524,8.514027,[56 96] ; [52 41],[67.00408163 84.99591837] ; [40.99591837 52.00408163],0
p9,1,0.004413,8.105604,[92 65] ; [71 22],[102.364  54.636] ; [60.636 32.364],0
p7,1,0.005778,7.618118,[ 56 102] ; [50 44],[66.46031746 91.53968254] ; [39.53968254 54.46031746],0
r3,1,0.006727,7.344531,[125  35] ; [85  8],[132.80632411  27.19367589] ; [77.19367589 15.80632411],0
r4,1,0.006907,7.297024,[107  54] ; [78 17],[116.34765625  44.65234375] ; [68.65234375 26.34765625],0
a5,1,0.010108,6.615774,[91 70] ; [69 26],[100.625  60.375] ; [59.375 35.625],0
p5,1,0.011812,6.338832,[  3 156] ; [ 8 85],[  6.94047619 152.05952381] ; [ 4.05952381 88.94047619],0
u3,1,0.012767,6.201156,[24 42] ; [18 10],[29.4893617 36.5106383] ; [12.5106383 15.4893617],0
n5,1,0.01626,5.774554,[91 68] ; [68 26],[99.92490119 59.07509881] ; [59.07509881 34.92490119],0
p10,1,0.025461,4.992276,[94 64] ; [69 25],[102.1984127  55.8015873] ; [60.8015873 33.1984127],0
a4,1,0.034421,4.473684,[ 56 104] ; [46 49],[64. 96.] ; [38. 57.],0
s5,1,0.040364,4.202528,[ 11 146] ; [14 79],[ 15.7 141.3] ; [ 9.3 83.7],0
n4,1,0.042231,4.125931,[98 63] ; [69 25],[105.43921569  55.56078431] ; [61.56078431 32.43921569],0
n3,1,0.043,4.095417,[32 26] ; [14  3],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
b4,1,0.04516,4.012636,[97 64] ; [45 50],[89.3046875 71.6953125] ; [52.6953125 42.3046875],0
r2,1,0.046516,3.962802,[130  28] ; [85  8],[135.33864542  22.66135458] ; [79.66135458 13.33864542],0
s8,1,0.052525,3.758967,[ 18 143] ; [19 76],[ 23.26953125 137.73046875] ; [13.73046875 81.26953125],0
