Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.715909,[ 2 16] ; [75 14],[12.95327103  5.04672897] ; [64.04672897 24.95327103],1
r3,1,0.0,30.571563,[ 5 12] ; [79 10],[13.47169811  3.52830189] ; [70.52830189 18.47169811],1
a1,1,7e-06,20.095758,[ 5 13] ; [ 1 88],[ 1.00934579 16.99065421] ; [ 4.99065421 84.00934579],1
r2,1,0.00012,14.799824,[10  8] ; [81  8],[15.30841121  2.69158879] ; [75.69158879 13.30841121],1
n3,1,0.000148,14.4,[3 7] ; [27  3],[7.5 2.5] ; [22.5  7.5],1
p11,1,0.000361,12.721841,[ 4 14] ; [60 29],[10.76635514  7.23364486] ; [53.23364486 35.76635514],1
n2,1,0.005338,7.76107,[4 6] ; [27  5],[7.38095238 2.61904762] ; [23.61904762  8.38095238],0
r1,1,0.00568,7.649266,[ 5 13] ; [55 32],[10.28571429  7.71428571] ; [49.71428571 37.28571429],0
n6,1,0.00799,7.035651,[9 9] ; [71 18],[13.45794393  4.54205607] ; [66.54205607 22.45794393],0
u3,1,0.008309,6.965719,[ 1 10] ; [20 17],[4.8125 6.1875] ; [16.1875 20.8125],0
p10,1,0.011015,6.462861,[ 5 12] ; [54 32],[9.73786408 7.26213592] ; [49.26213592 36.73786408],0
p2,1,0.012838,6.191308,[ 7 11] ; [62 27],[11.60747664  6.39252336] ; [57.39252336 31.60747664],0
s6,1,0.013605,6.088688,[ 4 13] ; [50 39],[8.66037736 8.33962264] ; [45.33962264 43.66037736],0
d1,1,0.019232,5.480329,[ 2 16] ; [ 1 88],[ 0.5046729 17.4953271] ; [ 2.4953271 86.5046729],0
u2,1,0.02664,4.914005,[ 1 10] ; [17 20],[4.125 6.875] ; [13.875 23.125],0
n4,1,0.030072,4.705187,[16  2] ; [55 33],[12.05660377  5.94339623] ; [58.94339623 29.05660377],0
p7,1,0.035323,4.429473,[ 3 15] ; [38 50],[ 6.96226415 11.03773585] ; [34.03773585 53.96226415],0
n5,1,0.040044,4.216038,[17  1] ; [63 25],[13.58490566  4.41509434] ; [66.41509434 21.58490566],0
s3,1,0.04264,4.109623,[ 5 13] ; [47 40],[8.91428571 9.08571429] ; [43.08571429 43.91428571],0
s8,1,0.046885,3.949506,[ 2 16] ; [31 58],[ 5.55140187 12.44859813] ; [27.44859813 61.55140187],0
p9,1,0.047081,3.942484,[ 7 10] ; [58 29],[10.625  6.375] ; [54.375 32.625],0
p4,1,0.073977,3.192499,[ 4 14] ; [40 49],[ 7.40186916 10.59813084] ; [36.59813084 52.40186916],0
d5,1,0.100948,2.690495,[ 6 12] ; [48 40],[9.16981132 8.83018868] ; [44.83018868 43.16981132],0
p1,1,0.104069,2.64206,[ 3 15] ; [ 5 84],[ 1.34579439 16.65420561] ; [ 6.65420561 82.34579439],0
p3,1,0.153365,2.038454,[ 3 15] ; [30 59],[ 5.55140187 12.44859813] ; [27.44859813 61.55140187],0
a2,1,0.166468,1.914463,[ 3 15] ; [ 6 83],[ 1.51401869 16.48598131] ; [ 7.48598131 81.51401869],0
a3,1,0.189556,1.721068,[ 7 10] ; [52 37],[9.46226415 7.53773585] ; [49.53773585 39.46226415],0
v1,1,0.198624,1.652462,[ 5 13] ; [38 48],[ 7.44230769 10.55769231] ; [35.55769231 50.44230769],0
s7,1,0.222479,1.488306,[ 3 14] ; [27 56],[ 5.1 11.9] ; [24.9 58.1],0
v2,1,0.304904,1.052623,[ 4 13] ; [31 54],[ 5.83333333 11.16666667] ; [29.16666667 55.83333333],0
n1,1,0.311136,1.025848,[5 5] ; [10 21],[3.65853659 6.34146341] ; [11.34146341 19.65853659],0
s5,1,0.316807,1.002084,[ 1 16] ; [13 74],[ 2.28846154 14.71153846] ; [11.71153846 75.28846154],0
b5,1,0.317109,1.000835,[ 8 10] ; [51 38],[9.92523364 8.07476636] ; [49.07476636 39.92523364],0
