Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,64.626469,[112  20] ; [15 44],[87.76963351 44.23036649] ; [39.23036649 19.76963351],1
p11,1,1.1e-05,19.371677,[100  33] ; [25 34],[86.58854167 46.41145833] ; [38.41145833 20.58854167],1
v4,1,3.6e-05,17.062801,[122   9] ; [41 17],[112.97883598  18.02116402] ; [50.02116402  7.97883598],1
p2,1,9.7e-05,15.203569,[104  28] ; [30 29],[92.60732984 39.39267016] ; [41.39267016 17.60732984],1
r4,1,0.000123,14.746237,[106  27] ; [31 28],[94.90104167 38.09895833] ; [42.09895833 16.90104167],1
p8,1,0.000125,14.715933,[52 79] ; [ 7 52],[40.67894737 90.32105263] ; [18.32105263 40.67894737],1
r3,1,0.000157,14.290425,[122  11] ; [41 17],[113.5026178  19.4973822] ; [49.4973822  8.5026178],1
v1,1,0.004236,8.179678,[56 72] ; [13 46],[47.22994652 80.77005348] ; [21.77005348 37.22994652],0
s2,1,0.004737,7.977389,[58 74] ; [13 45],[49.32631579 82.67368421] ; [21.67368421 36.32631579],0
s3,1,0.005977,7.557352,[74 56] ; [20 37],[65.34759358 64.65240642] ; [28.65240642 28.34759358],0
r2,1,0.007085,7.25126,[118  14] ; [43 15],[111.85263158  20.14736842] ; [49.14736842  8.85263158],0
d3,1,0.012475,6.242065,[80 53] ; [24 35],[72.04166667 60.95833333] ; [31.95833333 27.04166667],0
a7,1,0.020502,5.368661,[90 43] ; [29 29],[82.86387435 50.13612565] ; [36.13612565 21.86387435],0
b4,1,0.038203,4.295974,[76 57] ; [43 16],[82.43229167 50.56770833] ; [36.56770833 22.43229167],0
a4,1,0.040522,4.195885,[ 27 105] ; [ 5 54],[ 22.11518325 109.88481675] ; [ 9.88481675 49.11518325],0
b1,1,0.045154,4.012872,[43 90] ; [28 31],[49.18229167 83.81770833] ; [21.81770833 37.18229167],0
s6,1,0.046866,3.950189,[72 60] ; [23 36],[65.65445026 66.34554974] ; [29.34554974 29.65445026],0
d2,1,0.064089,3.428267,[ 27 106] ; [19 39],[ 32.03141361 100.96858639] ; [13.96858639 44.03141361],0
n6,1,0.076168,3.144835,[104  29] ; [39 20],[99.05729167 33.94270833] ; [43.94270833 15.05729167],0
p7,1,0.093686,2.809862,[60 69] ; [19 38],[54.79032258 74.20967742] ; [24.20967742 32.79032258],0
p5,1,0.136798,2.213615,[  9 121] ; [ 1 58],[  6.87830688 123.12169312] ; [ 3.12169312 55.87830688],0
p4,1,0.142077,2.155324,[51 81] ; [16 42],[46.54736842 85.45263158] ; [20.45263158 37.54736842],0
s5,1,0.172692,1.859421,[28 99] ; [ 8 51],[ 24.58064516 102.41935484] ; [11.41935484 47.58064516],0
n2,1,0.198945,1.650106,[22  9] ; [13 11],[19.72727273 11.27272727] ; [15.27272727  8.72727273],0
n5,1,0.219068,1.510464,[84 48] ; [32 27],[80.16753927 51.83246073] ; [35.83246073 23.16753927],0
s8,1,0.230439,1.43815,[38 95] ; [12 47],[34.63541667 98.36458333] ; [15.36458333 43.63541667],0
n3,1,0.245204,1.350423,[22  9] ; [14 11],[19.92857143 11.07142857] ; [16.07142857  8.92857143],0
s7,1,0.258592,1.276281,[38 91] ; [12 44],[34.86486486 94.13513514] ; [15.13513514 40.86486486],0
p3,1,0.269541,1.21908,[42 91] ; [14 45],[38.79166667 94.20833333] ; [17.20833333 41.79166667],0
s1,1,0.287532,1.131143,[  6 125] ; [ 5 54],[  7.58421053 123.41578947] ; [ 3.41578947 55.58421053],0
a6,1,0.317855,0.997753,[69 64] ; [26 33],[65.80729167 67.19270833] ; [29.19270833 29.80729167],0
s4,1,0.363098,0.82715,[ 22 111] ; [13 46],[ 24.24479167 108.75520833] ; [10.75520833 48.24479167],0
a8,1,0.379456,0.772462,[ 12 112] ; [ 3 50],[ 10.50847458 113.49152542] ; [ 4.49152542 48.50847458],0
b5,1,0.386567,0.749714,[81 52] ; [32 27],[78.27604167 54.72395833] ; [34.72395833 24.27604167],0
v2,1,0.414029,0.667201,[50 74] ; [19 37],[47.53333333 76.46666667] ; [21.46666667 34.53333333],0
n4,1,0.443221,0.58793,[80 53] ; [32 27],[77.58333333 55.41666667] ; [34.41666667 24.58333333],0
u1,1,0.448124,0.575391,[  5 128] ; [ 1 58],[  4.15625 128.84375] ; [ 1.84375 57.15625],0
d4,1,0.448964,0.573265,[87 46] ; [34 23],[84.7 48.3] ; [36.3 20.7],0
d1,1,0.492411,0.471254,[45 88] ; [17 42],[42.94791667 90.05208333] ; [19.05208333 39.94791667],0
p1,1,0.540511,0.374593,[  8 124] ; [ 5 54],[  8.98429319 123.01570681] ; [ 4.01570681 54.98429319],0
u2,1,0.550517,0.356392,[41 36] ; [17 19],[39.52212389 37.47787611] ; [18.47787611 17.52212389],0
a3,1,0.608602,0.262216,[54 77] ; [22 37],[52.4 78.6] ; [23.6 35.4],0
a1,1,0.648904,0.207284,[  3 130] ; [ 2 57],[  3.46354167 129.53645833] ; [ 1.53645833 57.46354167],0
n1,1,0.672487,0.178707,[ 9 22] ; [ 6 19],[ 8.30357143 22.69642857] ; [ 6.69642857 18.30357143],0
v3,1,0.673693,0.177312,[35 90] ; [18 40],[36.20218579 88.79781421] ; [16.79781421 41.20218579],0
u3,1,0.684509,0.165095,[39 39] ; [20 17],[40.0173913 37.9826087] ; [18.9826087 18.0173913],0
r1,1,0.884623,0.021057,[82 50] ; [36 23],[81.54973822 50.45026178] ; [36.45026178 22.54973822],0
b2,1,0.894811,0.017482,[13 52] ; [ 7 30],[12.74509804 52.25490196] ; [ 7.25490196 29.74509804],0
b3,1,0.894811,0.017482,[13 52] ; [ 7 30],[12.74509804 52.25490196] ; [ 7.25490196 29.74509804],0
d5,1,0.992059,9.9e-05,[79 54] ; [35 24],[78.96875 54.03125] ; [35.03125 23.96875],0
