Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,18.00371,[20 39] ; [29  8],[30.11458333 28.88541667] ; [18.88541667 18.11458333],1
s8,1,0.000122,14.757284,[23 37] ; [29  8],[32.16494845 27.83505155] ; [19.83505155 17.16494845],1
p5,1,0.001125,10.609535,[ 5 54] ; [13 24],[11.0625 47.9375] ; [ 6.9375 30.0625],0
v1,1,0.002326,9.272376,[29 30] ; [29  7],[36.02105263 22.97894737] ; [21.97894737 14.02105263],0
n4,1,0.003203,8.688304,[41 18] ; [35  2],[46.70833333 12.29166667] ; [29.29166667  7.70833333],0
p8,1,0.003229,8.673106,[26 33] ; [27  9],[32.91578947 26.08421053] ; [20.08421053 15.91578947],0
p4,1,0.004374,8.121706,[29 30] ; [29  8],[35.64583333 23.35416667] ; [22.35416667 14.64583333],0
s2,1,0.005707,7.640477,[32 28] ; [30  7],[38.35051546 21.64948454] ; [23.64948454 13.35051546],0
s7,1,0.00573,7.633396,[29 30] ; [28  8],[35.4 23.6] ; [21.6 14.4],0
p7,1,0.01315,6.148798,[39 20] ; [32  4],[44.09473684 14.90526316] ; [26.90526316  9.09473684],0
s3,1,0.020637,5.357204,[35 25] ; [30  7],[40.20618557 19.79381443] ; [24.79381443 12.20618557],0
r4,1,0.035134,4.438651,[50 10] ; [36  1],[53.19587629  6.80412371] ; [32.80412371  4.19587629],0
p3,1,0.046347,3.96895,[31 28] ; [27 10],[35.64583333 23.35416667] ; [22.35416667 14.64583333],0
a3,1,0.057774,3.600151,[39 20] ; [31  6],[43.02083333 15.97916667] ; [26.97916667 10.02083333],0
d5,1,0.06234,3.474013,[46 14] ; [33  3],[49.375 10.625] ; [29.625  6.375],0
a1,1,0.064391,3.420521,[ 3 57] ; [ 6 31],[ 5.56701031 54.43298969] ; [ 3.43298969 33.56701031],0
a5,1,0.064495,3.41786,[40 20] ; [31  6],[43.91752577 16.08247423] ; [27.08247423  9.91752577],0
n5,1,0.073711,3.198392,[43 15] ; [33  4],[46.4 11.6] ; [29.6  7.4],0
r1,1,0.087193,2.925443,[45 15] ; [33  4],[48.24742268 11.75257732] ; [29.75257732  7.24742268],0
b5,1,0.113454,2.505436,[24 36] ; [ 9 28],[20.41237113 39.58762887] ; [12.58762887 24.41237113],0
n3,1,0.134481,2.24,[7 8] ; [7 2],[8.75 6.25] ; [5.25 3.75],0
n6,1,0.145453,2.119301,[47 11] ; [34  3],[49.45263158  8.54736842] ; [31.54736842  5.45263158],0
r3,1,0.177295,1.820154,[54  6] ; [36  1],[55.67010309  4.32989691] ; [34.32989691  2.67010309],0
b4,1,0.18423,1.763169,[42 18] ; [21 16],[38.96907216 21.03092784] ; [24.03092784 12.96907216],0
u3,1,0.214193,1.542857,[13  8] ; [2 4],[11.66666667  9.33333333] ; [3.33333333 2.66666667],0
p2,1,0.29789,1.083618,[46 13] ; [32  5],[47.9375 11.0625] ; [30.0625  6.9375],0
v4,1,0.391082,0.735574,[56  4] ; [36  1],[56.90721649  3.09278351] ; [35.09278351  1.90721649],0
u1,1,0.391082,0.735574,[ 4 56] ; [ 1 36],[ 3.09278351 56.90721649] ; [ 1.90721649 35.09278351],0
p9,1,0.393868,0.726966,[47 12] ; [32  5],[48.55208333 10.44791667] ; [30.44791667  6.55208333],0
d1,1,0.393975,0.726639,[32 28] ; [23 14],[34.02061856 25.97938144] ; [20.97938144 16.02061856],0
p11,1,0.400011,0.708292,[46 14] ; [31  6],[47.62886598 12.37113402] ; [29.37113402  7.62886598],0
a2,1,0.430489,0.621504,[ 8 52] ; [ 3 34],[ 6.80412371 53.19587629] ; [ 4.19587629 32.80412371],0
n1,1,0.470989,0.519655,[9 8] ; [3 5],[8.16 8.84] ; [3.84 4.16],0
b1,1,0.479652,0.499654,[28 32] ; [20 17],[29.69072165 30.30927835] ; [18.30927835 18.69072165],0
d3,1,0.479652,0.499654,[28 32] ; [20 17],[29.69072165 30.30927835] ; [18.30927835 18.69072165],0
a4,1,0.479652,0.499654,[32 28] ; [17 20],[30.30927835 29.69072165] ; [18.69072165 18.30927835],0
p10,1,0.486247,0.48482,[46 13] ; [31  6],[47.32291667 11.67708333] ; [29.67708333  7.32291667],0
p12,1,0.50291,0.44879,[ 4 54] ; [ 4 33],[ 4.88421053 53.11578947] ; [ 3.11578947 33.88421053],0
a6,1,0.519231,0.415421,[22 38] ; [16 21],[23.50515464 36.49484536] ; [14.49484536 22.50515464],0
s1,1,0.580453,0.305503,[ 3 57] ; [ 1 36],[ 2.4742268 57.5257732] ; [ 1.5257732 35.4742268],0
r2,1,0.588288,0.293025,[55  5] ; [35  2],[55.67010309  4.32989691] ; [34.32989691  2.67010309],0
s6,1,0.649187,0.206927,[48  9] ; [29  7],[47.19354839  9.80645161] ; [29.80645161  6.19354839],0
p6,1,0.6962,0.152455,[25 33] ; [17 19],[25.91489362 32.08510638] ; [16.08510638 19.91489362],0
s4,1,0.714926,0.133407,[18 41] ; [10 27],[17.20833333 41.79166667] ; [10.79166667 26.20833333],0
b2,1,0.796359,0.066596,[20 23] ; [10 10],[20.47619048 22.52380952] ; [ 9.52380952 10.47619048],0
b3,1,0.796359,0.066596,[20 23] ; [10 10],[20.47619048 22.52380952] ; [ 9.52380952 10.47619048],0
d2,1,0.801352,0.063301,[34 26] ; [20 17],[33.40206186 26.59793814] ; [20.59793814 16.40206186],0
d4,1,0.881293,0.0223,[51  9] ; [31  5],[51.25  8.75] ; [30.75  5.25],0
p1,1,0.898495,0.016272,[ 6 54] ; [ 4 33],[ 6.18556701 53.81443299] ; [ 3.81443299 33.18556701],0
a8,1,0.920255,0.010022,[ 6 53] ; [ 4 33],[ 6.14583333 52.85416667] ; [ 3.85416667 33.14583333],0
u2,1,1.0,0.0,[10 10] ; [3 3],[10. 10.] ; [3. 3.],0
