Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.471318,[11 22] ; [74 12],[23.57142857  9.42857143] ; [61.42857143 24.57142857],1
s6,1,5.1e-05,16.39517,[20 13] ; [78  7],[27.40677966  5.59322034] ; [70.59322034 14.40677966],1
d1,1,0.010443,6.5578,[16 17] ; [63 23],[21.90756303 11.09243697] ; [57.09243697 28.90756303],0
p2,1,0.023703,5.116233,[17 16] ; [63 23],[22.18487395 10.81512605] ; [57.81512605 28.18487395],0
r4,1,0.037043,4.348429,[27  6] ; [81  5],[29.94957983  3.05042017] ; [78.05042017  7.94957983],0
v3,1,0.039094,4.256781,[18 13] ; [28 49],[13.2037037 17.7962963] ; [32.7962963 44.2037037],0
b5,1,0.067902,3.333026,[18 15] ; [62 24],[22.18487395 10.81512605] ; [57.81512605 28.18487395],0
r2,1,0.07618,3.144577,[29  4] ; [82  3],[31.04237288  1.95762712] ; [79.95762712  5.04237288],0
d5,1,0.085559,2.956016,[25  8] ; [76 10],[28.00840336  4.99159664] ; [72.99159664 13.00840336],0
p3,1,0.086482,2.93866,[10 23] ; [41 45],[14.14285714 18.85714286] ; [36.85714286 49.14285714],0
p1,1,0.08726,2.924211,[ 1 32] ; [12 74],[ 3.60504202 29.39495798] ; [ 9.39495798 76.60504202],0
p11,1,0.090292,2.869151,[18 15] ; [61 25],[21.90756303 11.09243697] ; [57.09243697 28.90756303],0
a1,1,0.099607,2.711828,[ 3 30] ; [ 2 84],[ 1.38655462 31.61344538] ; [ 3.61344538 82.38655462],0
n1,1,0.16018,1.972522,[4 7] ; [16 10],[5.94594595 5.05405405] ; [14.05405405 11.94594595],0
u2,1,0.182989,1.773181,[8 1] ; [13  7],[6.51724138 2.48275862] ; [14.48275862  5.51724138],0
a6,1,0.189853,1.718758,[18 15] ; [58 28],[21.07563025 11.92436975] ; [54.92436975 31.07563025],0
s4,1,0.196687,1.666808,[ 3 30] ; [16 69],[ 5.31355932 27.68644068] ; [13.68644068 71.31355932],0
p9,1,0.198597,1.652659,[26  7] ; [74 10],[28.20512821  4.79487179] ; [71.79487179 12.20512821],0
p6,1,0.206172,1.598103,[11 22] ; [19 67],[ 8.31932773 24.68067227] ; [21.68067227 64.31932773],0
n5,1,0.222425,1.48866,[21 11] ; [66 20],[23.59322034  8.40677966] ; [63.40677966 22.59322034],0
a7,1,0.22554,1.468771,[20 13] ; [62 24],[22.7394958 10.2605042] ; [59.2605042 26.7394958],0
