Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.653066,[52 27] ; [92  5],[64.63636364 14.36363636] ; [79.36363636 17.63636364],1
p2,1,3e-06,22.053122,[37 43] ; [77 19],[51.81818182 28.18181818] ; [62.18181818 33.81818182],1
p10,1,5e-06,20.767343,[27 50] ; [67 29],[41.83815029 35.16184971] ; [52.16184971 43.83815029],1
v4,1,1.9e-05,18.310901,[53 26] ; [88  7],[64.01724138 14.98275862] ; [76.98275862 18.01724138],1
p9,1,2.8e-05,17.535842,[34 43] ; [73 24],[47.35057471 29.64942529] ; [59.64942529 37.35057471],1
p7,1,3.7e-05,16.99883,[24 55] ; [57 35],[37.42105263 41.57894737] ; [43.57894737 48.42105263],1
r4,1,3.8e-05,16.980781,[42 38] ; [79 18],[54.68926554 25.31073446] ; [66.31073446 30.68926554],1
p8,1,0.000642,11.648849,[17 62] ; [44 51],[27.6954023 51.3045977] ; [33.3045977 61.6954023],1
s8,1,0.000747,11.367882,[11 69] ; [35 62],[20.79096045 59.20903955] ; [25.20903955 71.79096045],1
p4,1,0.000907,11.009099,[20 60] ; [47 48],[30.62857143 49.37142857] ; [36.37142857 58.62857143],1
n2,1,0.002549,9.10478,[20 19] ; [22  3],[25.59375 13.40625] ; [16.40625  8.59375],0
s6,1,0.017703,5.625299,[29 50] ; [53 44],[36.80681818 42.19318182] ; [45.19318182 51.80681818],0
b5,1,0.020729,5.349404,[39 41] ; [64 33],[46.55367232 33.44632768] ; [56.44632768 40.55367232],0
v2,1,0.055361,3.671181,[26 49] ; [45 46],[32.07831325 42.92168675] ; [38.92168675 52.07831325],0
d2,1,0.088236,2.906265,[36 43] ; [32 65],[30.52272727 48.47727273] ; [37.47727273 59.52272727],0
v1,1,0.095248,2.78336,[27 53] ; [43 50],[32.3699422 47.6300578] ; [37.6300578 55.3699422],0
u3,1,0.09601,2.770601,[15 16] ; [24 11],[18.31818182 12.68181818] ; [20.68181818 14.31818182],0
u2,1,0.097968,2.738311,[17 14] ; [26  9],[20.1969697 10.8030303] ; [22.8030303 12.1969697],0
s1,1,0.111475,2.53319,[ 7 72] ; [ 3 91],[ 4.56647399 74.43352601] ; [ 5.43352601 88.56647399],0
a4,1,0.115084,2.482983,[33 47] ; [29 68],[28.02259887 51.97740113] ; [33.97740113 63.02259887],0
n4,1,0.121107,2.402943,[36 44] ; [55 42],[41.1299435 38.8700565] ; [49.8700565 47.1299435],0
a1,1,0.121693,2.395389,[ 8 72] ; [ 4 93],[ 5.42372881 74.57627119] ; [ 6.57627119 90.42372881],0
r1,1,0.139584,2.18254,[50 30] ; [70 26],[54.54545455 25.45454545] ; [65.45454545 30.54545455],0
p6,1,0.148269,2.089965,[13 65] ; [24 69],[16.87719298 61.12280702] ; [20.12280702 72.87719298],0
a2,1,0.165761,1.920865,[15 65] ; [11 86],[11.75141243 68.24858757] ; [14.24858757 82.75141243],0
p3,1,0.177076,1.821999,[22 57] ; [36 60],[26.18285714 52.81714286] ; [31.81714286 64.18285714],0
n1,1,0.179253,1.803805,[12 27] ; [11 12],[14.46774194 24.53225806] ; [ 8.53225806 14.46774194],0
s7,1,0.210004,1.571396,[18 54] ; [31 60],[21.64417178 50.35582822] ; [27.35582822 63.64417178],0
a5,1,0.219101,1.510246,[43 37] ; [61 36],[47.00564972 32.99435028] ; [56.99435028 40.00564972],0
s3,1,0.228514,1.450088,[36 43] ; [52 43],[39.95402299 39.04597701] ; [48.04597701 46.95402299],0
s2,1,0.281466,1.159998,[27 53] ; [40 56],[30.45454545 49.54545455] ; [36.54545455 59.45454545],0
b1,1,0.301484,1.067617,[45 35] ; [47 50],[41.5819209 38.4180791] ; [50.4180791 46.5819209],0
n5,1,0.380476,0.769163,[31 48] ; [44 52],[33.85714286 45.14285714] ; [41.14285714 54.85714286],0
b2,1,0.450982,0.568182,[14 30] ; [14 42],[12.32 31.68] ; [15.68 40.32],0
b3,1,0.450982,0.568182,[14 30] ; [14 42],[12.32 31.68] ; [15.68 40.32],0
r2,1,0.453831,0.561066,[64 15] ; [81 14],[65.83333333 13.16666667] ; [79.16666667 15.83333333],0
n3,1,0.494671,0.46635,[22 15] ; [17  8],[23.27419355 13.72580645] ; [15.72580645  9.27419355],0
p1,1,0.521693,0.410545,[ 8 72] ; [ 7 89],[ 6.81818182 73.18181818] ; [ 8.18181818 87.81818182],0
s5,1,0.528328,0.397607,[12 62] ; [19 76],[13.5739645 60.4260355] ; [17.4260355 77.5739645],0
u1,1,0.543252,0.369545,[ 4 76] ; [ 7 90],[ 4.97175141 75.02824859] ; [ 6.02824859 90.97175141],0
s4,1,0.561961,0.33632,[15 65] ; [15 82],[13.55932203 66.44067797] ; [16.44067797 80.55932203],0
a3,1,0.666882,0.185271,[48 31] ; [62 35],[49.375 29.625] ; [60.625 36.375],0
a6,1,0.710382,0.137896,[50 29] ; [64 33],[51.17045455 27.82954545] ; [62.82954545 34.17045455],0
a8,1,0.805613,0.06056,[ 7 70] ; [ 9 79],[ 7.46666667 69.53333333] ; [ 8.53333333 79.46666667],0
d5,1,0.826706,0.04793,[55 24] ; [69 28],[55.65909091 23.34090909] ; [68.34090909 28.65909091],0
a7,1,0.845622,0.037911,[50 30] ; [62 35],[50.62146893 29.37853107] ; [61.37853107 35.62146893],0
d4,1,0.863623,0.029503,[57 21] ; [72 25],[57.49714286 20.50285714] ; [71.50285714 25.49714286],0
d3,1,0.912622,0.012041,[46 32] ; [58 39],[46.35428571 31.64571429] ; [57.64571429 39.35428571],0
d1,1,0.951965,0.003629,[35 45] ; [42 55],[34.80225989 45.19774011] ; [42.19774011 54.80225989],0
b4,1,0.984983,0.000354,[43 37] ; [52 45],[42.93785311 37.06214689] ; [52.06214689 44.93785311],0
v3,1,0.991286,0.000119,[18 55] ; [23 70],[18.03012048 54.96987952] ; [22.96987952 70.03012048],0
