Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.872727,[ 2 29] ; [78 15],[20. 11.] ; [60. 33.],1
v4,1,1e-06,23.898216,[14 17] ; [80 11],[23.8852459  7.1147541] ; [70.1147541 20.8852459],1
r1,1,3.1e-05,17.330236,[11 20] ; [71 22],[20.5 10.5] ; [61.5 31.5],1
r2,1,7.9e-05,15.590873,[17 12] ; [84  9],[24.00819672  4.99180328] ; [76.99180328 16.00819672],1
p2,1,0.000124,14.724261,[ 6 25] ; [55 38],[15.25 15.75] ; [45.75 47.25],1
p11,1,0.000543,11.961733,[ 5 26] ; [48 45],[13.25 17.75] ; [39.75 53.25],1
a1,1,0.000734,11.402299,[ 6 25] ; [ 2 91],[ 2. 29.] ; [ 6. 87.],1
n6,1,0.003627,8.461726,[11 19] ; [62 31],[17.80487805 12.19512195] ; [55.19512195 37.80487805],0
n5,1,0.005062,7.857106,[23  8] ; [42 51],[16.25 14.75] ; [48.75 44.25],0
p4,1,0.006789,7.328071,[ 4 26] ; [37 55],[10.08196721 19.91803279] ; [30.91803279 61.08196721],0
p3,1,0.007161,7.232086,[ 2 29] ; [28 64],[ 7.56097561 23.43902439] ; [22.43902439 69.56097561],0
a7,1,0.007546,7.138252,[13 18] ; [64 29],[19.25 11.75] ; [57.75 35.25],0
v1,1,0.008063,7.019369,[ 3 28] ; [32 61],[ 8.75 22.25] ; [26.25 66.75],0
n3,1,0.014478,5.978875,[ 7 11] ; [23  8],[11.02040816  6.97959184] ; [18.97959184 12.02040816],0
b5,1,0.022251,5.226054,[11 20] ; [55 38],[16.5 14.5] ; [49.5 43.5],0
v2,1,0.024866,5.033193,[ 6 25] ; [38 53],[11.18032787 19.81967213] ; [32.81967213 58.18032787],0
s6,1,0.026487,4.923957,[ 4 27] ; [31 61],[ 8.82113821 22.17886179] ; [26.17886179 65.82113821],0
d3,1,0.029246,4.753064,[11 20] ; [54 39],[16.25 14.75] ; [48.75 44.25],0
p7,1,0.033711,4.509285,[ 7 23] ; [42 51],[11.95121951 18.04878049] ; [37.04878049 55.95121951],0
s3,1,0.043868,4.061625,[ 4 26] ; [30 63],[ 8.29268293 21.70731707] ; [25.70731707 67.29268293],0
u3,1,0.051757,3.783595,[ 4 11] ; [24 19],[7.24137931 7.75862069] ; [20.75862069 22.24137931],0
a6,1,0.057107,3.619459,[14 17] ; [60 33],[18.5 12.5] ; [55.5 37.5],0
d4,1,0.062698,3.464547,[17 14] ; [67 25],[21.17073171  9.82926829] ; [62.82926829 29.17073171],0
p8,1,0.085058,2.965511,[ 4 26] ; [27 66],[ 7.56097561 22.43902439] ; [23.43902439 69.56097561],0
p6,1,0.093553,2.812143,[ 2 28] ; [18 73],[ 4.95867769 25.04132231] ; [15.04132231 75.95867769],0
s8,1,0.124125,2.36448,[ 1 30] ; [12 80],[ 3.27642276 27.72357724] ; [ 9.72357724 82.27642276],0
b2,1,0.128024,2.316301,[10 13] ; [14 40],[ 7.16883117 15.83116883] ; [16.83116883 37.16883117],0
b3,1,0.128024,2.316301,[10 13] ; [14 40],[ 7.16883117 15.83116883] ; [16.83116883 37.16883117],0
s7,1,0.152413,2.047934,[ 3 27] ; [19 68],[ 5.64102564 24.35897436] ; [16.35897436 70.64102564],0
s4,1,0.152436,2.047706,[ 6 25] ; [ 9 84],[ 3.75 27.25] ; [11.25 81.75],0
u1,1,0.160633,1.968254,[ 1 30] ; [11 82],[ 3. 28.] ; [ 9. 84.],0
a5,1,0.174873,1.840668,[14 17] ; [55 38],[17.25 13.75] ; [51.75 41.25],0
d5,1,0.183205,1.771429,[18 13] ; [66 27],[21. 10.] ; [63. 30.],0
n2,1,0.197513,1.660667,[ 8 11] ; [20 13],[10.23076923  8.76923077] ; [17.76923077 15.23076923],0
v3,1,0.235881,1.405044,[ 5 26] ; [24 66],[ 7.42975207 23.57024793] ; [21.57024793 68.42975207],0
s1,1,0.274784,1.192706,[ 3 28] ; [ 4 87],[ 1.77868852 29.22131148] ; [ 5.22131148 85.77868852],0
s5,1,0.35609,0.851635,[ 3 28] ; [15 76],[ 4.57377049 26.42622951] ; [13.42622951 77.57377049],0
a8,1,0.390497,0.737394,[ 1 28] ; [ 7 79],[ 2.0173913 26.9826087] ; [ 5.9826087 80.0173913],0
d1,1,0.400591,0.706553,[11 20] ; [41 52],[13. 18.] ; [39. 54.],0
p12,1,0.415456,0.663132,[ 1 30] ; [ 1 91],[ 0.50406504 30.49593496] ; [ 1.49593496 90.50406504],0
b4,1,0.519586,0.414716,[18 13] ; [60 33],[19.5 11.5] ; [58.5 34.5],0
p1,1,0.559552,0.340481,[ 3 28] ; [ 6 86],[ 2.26829268 28.73170732] ; [ 6.73170732 85.26829268],0
a2,1,0.572843,0.317949,[ 4 27] ; [16 77],[ 5. 26.] ; [15. 78.],0
a4,1,0.605303,0.267072,[12 18] ; [32 60],[10.81967213 19.18032787] ; [33.18032787 58.81967213],0
