Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,26.251785,[ 8 71] ; [11  6],[15.63541667 63.36458333] ; [ 3.36458333 13.63541667],1
a3,1,0.000873,11.079954,[36 46] ; [15  2],[42.24242424 39.75757576] ; [8.75757576 8.24242424],1
p4,1,0.002276,9.312403,[22 61] ; [11  6],[27.39 55.61] ; [ 5.61 11.39],0
n6,1,0.008336,6.959828,[50 32] ; [16  1],[54.66666667 27.33333333] ; [11.33333333  5.66666667],0
v3,1,0.014023,6.035202,[17 65] ; [8 8],[20.91836735 61.08163265] ; [ 4.08163265 11.91836735],0
p3,1,0.015471,5.862048,[20 64] ; [9 8],[24.11881188 59.88118812] ; [ 4.88118812 12.11881188],0
p5,1,0.015808,5.824078,[ 1 82] ; [ 2 14],[ 2.51515152 80.48484848] ; [ 0.48484848 15.51515152],0
s2,1,0.023149,5.157271,[14 70] ; [ 7 10],[17.46534653 66.53465347] ; [ 3.53465347 13.46534653],0
n1,1,0.027737,4.844349,[10 19] ; [5 1],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
p8,1,0.059512,3.550933,[24 58] ; [9 8],[27.33333333 54.66666667] ; [ 5.66666667 11.33333333],0
p6,1,0.068736,3.312942,[17 66] ; [ 7 10],[19.92 63.08] ; [ 4.08 12.92],0
p12,1,0.07293,3.215804,[ 2 81] ; [ 2 15],[ 3.32 79.68] ; [ 0.68 16.32],0
b3,1,0.091375,2.849987,[19 34] ; [8 5],[21.68181818 31.31818182] ; [5.31818182 7.68181818],0
b2,1,0.091375,2.849987,[19 34] ; [8 5],[21.68181818 31.31818182] ; [5.31818182 7.68181818],0
p10,1,0.092212,2.835323,[40 43] ; [12  5],[43.16 39.84] ; [8.84 8.16],0
v2,1,0.159687,1.977183,[25 54] ; [8 8],[27.44210526 51.55789474] ; [ 5.55789474 10.44210526],0
p2,1,0.161282,1.962169,[49 35] ; [13  4],[51.56435644 32.43564356] ; [10.43564356  6.56435644],0
p11,1,0.161282,1.962169,[49 35] ; [13  4],[51.56435644 32.43564356] ; [10.43564356  6.56435644],0
p9,1,0.166423,1.914869,[48 34] ; [13  4],[50.52525253 31.47474747] ; [10.47474747  6.52525253],0
p7,1,0.203103,1.619921,[37 45] ; [10  6],[39.32653061 42.67346939] ; [7.67346939 8.32653061],0
a8,1,0.211359,1.562091,[ 6 71] ; [ 3 14],[ 7.37234043 69.62765957] ; [ 1.62765957 15.37234043],0
d2,1,0.220602,1.50045,[18 66] ; [ 6 11],[19.96039604 64.03960396] ; [ 4.03960396 12.96039604],0
v4,1,0.254464,1.298627,[62 20] ; [15  2],[63.77777778 18.22222222] ; [13.22222222  3.77777778],0
p1,1,0.326851,0.961333,[ 8 76] ; [ 3 14],[ 9.14851485 74.85148515] ; [ 1.85148515 15.14851485],0
a7,1,0.326857,0.961311,[38 45] ; [10  7],[39.84 43.16] ; [8.16 8.84],0
a5,1,0.343174,0.898539,[34 50] ; [9 8],[35.76237624 48.23762376] ; [7.23762376 9.76237624],0
r4,1,0.346094,0.887727,[49 35] ; [12  5],[50.73267327 33.26732673] ; [10.26732673  6.73267327],0
s5,1,0.354819,0.856147,[ 5 78] ; [ 2 14],[ 5.86868687 77.13131313] ; [ 1.13131313 14.86868687],0
