Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.11193,[20  7] ; [ 9 37],[10.7260274 16.2739726] ; [18.2739726 27.7260274],1
u2,1,0.038867,4.266667,[5 1] ; [3 7],[3. 3.] ; [5. 5.],0
s8,1,0.096024,2.77037,[16 11] ; [18 28],[12.57534247 14.42465753] ; [21.42465753 24.57534247],0
d1,1,0.096024,2.77037,[11 16] ; [28 18],[14.42465753 12.57534247] ; [24.57534247 21.42465753],0
s4,1,0.104652,2.633172,[ 6 21] ; [ 4 42],[ 3.69863014 23.30136986] ; [ 6.30136986 39.69863014],0
r4,1,0.134965,2.234444,[23  4] ; [32 14],[20.34246575  6.65753425] ; [34.65753425 11.34246575],0
a2,1,0.179841,1.798935,[ 3 24] ; [11 35],[ 5.17808219 21.82191781] ; [ 8.82191781 37.17808219],0
v4,1,0.181799,1.782857,[26  1] ; [39  6],[24.375  2.625] ; [40.625  4.375],0
u3,1,0.182422,1.777778,[5 1] ; [5 5],[3.75 2.25] ; [6.25 3.75],0
n3,1,0.260531,1.265934,[2 2] ; [11  3],[2.88888889 1.11111111] ; [10.11111111  3.88888889],0
d5,1,0.275754,1.187897,[18  9] ; [36 10],[19.97260274  7.02739726] ; [34.02739726 11.97260274],0
n1,1,0.279642,1.168831,[1 2] ; [10  5],[1.83333333 1.16666667] ; [9.16666667 5.83333333],0
a4,1,0.282673,1.154195,[10 17] ; [23 23],[12.20547945 14.79452055] ; [20.79452055 25.20547945],0
r2,1,0.289015,1.124206,[25  1] ; [40  5],[23.8028169  2.1971831] ; [41.1971831  3.8028169],0
a5,1,0.324951,0.968916,[17 10] ; [34 12],[18.8630137  8.1369863] ; [32.1369863 13.8630137],0
a7,1,0.332775,0.93807,[20  7] ; [29 17],[18.12328767  8.87671233] ; [30.87671233 15.12328767],0
d2,1,0.345179,0.8911,[11 16] ; [24 22],[12.94520548 14.05479452] ; [22.05479452 23.94520548],0
b5,1,0.345179,0.8911,[16 11] ; [22 24],[14.05479452 12.94520548] ; [23.94520548 22.05479452],0
p4,1,0.348114,0.880321,[14 13] ; [29 17],[15.90410959 11.09589041] ; [27.09589041 18.90410959],0
u1,1,0.383613,0.759091,[ 7 20] ; [ 8 38],[ 5.54794521 21.45205479] ; [ 9.45205479 36.54794521],0
n6,1,0.404968,0.693524,[20  6] ; [39  7],[21.30555556  4.69444444] ; [37.69444444  8.30555556],0
p9,1,0.43061,0.621176,[22  5] ; [33 12],[20.625  6.375] ; [34.375 10.625],0
d4,1,0.450118,0.570355,[21  6] ; [39  7],[22.19178082  4.80821918] ; [37.80821918  8.19178082],0
p2,1,0.468174,0.526282,[23  4] ; [36 10],[21.82191781  5.17808219] ; [37.17808219  8.82191781],0
p10,1,0.468174,0.526282,[23  4] ; [36 10],[21.82191781  5.17808219] ; [37.17808219  8.82191781],0
p7,1,0.478032,0.50335,[18  8] ; [28 18],[16.61111111  9.38888889] ; [29.38888889 16.61111111],0
p8,1,0.523666,0.406668,[12 15] ; [24 22],[13.31506849 13.68493151] ; [22.68493151 23.31506849],0
p11,1,0.525946,0.402217,[20  7] ; [37  9],[21.08219178  5.91780822] ; [35.91780822 10.08219178],0
v1,1,0.53331,0.38808,[11 15] ; [22 22],[12.25714286 13.74285714] ; [20.74285714 23.25714286],0
n5,1,0.548017,0.360881,[20  7] ; [31 15],[18.8630137  8.1369863] ; [32.1369863 13.8630137],0
p3,1,0.593712,0.284585,[13 13] ; [26 20],[14.08333333 11.91666667] ; [24.91666667 21.08333333],0
b4,1,0.608737,0.262018,[13 14] ; [25 21],[14.05479452 12.94520548] ; [23.94520548 22.05479452],0
b2,1,0.615824,0.251781,[10  7] ; [18 17],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
b3,1,0.615824,0.251781,[10  7] ; [18 17],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
