Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,104.488079,[250   5] ; [18 19],[234.04109589  20.95890411] ; [33.95890411  3.04109589],1
s5,1,2.7e-05,17.589167,[121 121] ; [ 4 30],[109.60144928 132.39855072] ; [15.39855072 18.60144928],1
p11,1,7.6e-05,15.649421,[219  36] ; [22 15],[210.46232877  44.53767123] ; [30.53767123  6.46232877],1
a5,1,0.000606,11.756221,[208  47] ; [21 16],[199.98287671  55.01712329] ; [29.01712329  7.98287671],1
p7,1,0.001891,9.652214,[219  32] ; [25 12],[212.65277778  38.34722222] ; [31.34722222  5.65277778],0
s6,1,0.002386,9.225908,[193  52] ; [20 16],[185.71174377  59.28825623] ; [27.28825623  8.71174377],0
p2,1,0.002594,9.073231,[234  21] ; [28  9],[228.80136986  26.19863014] ; [33.19863014  3.80136986],0
p4,1,0.005269,7.784838,[214  41] ; [24 13],[207.84246575  47.15753425] ; [30.15753425  6.84246575],0
v1,1,0.006742,7.340387,[164  88] ; [15 21],[156.625  95.375] ; [22.375 13.625],0
r4,1,0.010397,6.565619,[242  13] ; [31  6],[238.40753425  16.59246575] ; [34.59246575  2.40753425],0
p3,1,0.014198,6.013397,[176  79] ; [18 19],[169.41780822  85.58219178] ; [24.58219178 12.41780822],0
d5,1,0.031316,4.63558,[214  39] ; [26 11],[209.37931034  43.62068966] ; [30.62068966  6.37931034],0
a3,1,0.031715,4.613823,[198  55] ; [23 14],[192.80344828  60.19655172] ; [28.19655172  8.80344828],0
n5,1,0.043979,4.057351,[219  36] ; [27 10],[214.82876712  40.17123288] ; [31.17123288  5.82876712],0
v3,1,0.046231,3.973168,[113 136] ; [10 26],[107.46315789 141.53684211] ; [15.53684211 20.46315789],0
n4,1,0.053489,3.728561,[228  27] ; [29  8],[224.43493151  30.56506849] ; [32.56506849  4.43493151],0
s8,1,0.088231,2.906353,[151 103] ; [16 20],[146.26896552 107.73103448] ; [20.73103448 15.26896552],0
d4,1,0.094379,2.798048,[219  35] ; [28  9],[215.59450172  38.40549828] ; [31.40549828  5.59450172],0
u4,1,0.094975,2.787964,[  7 247] ; [ 3 34],[  8.72852234 245.27147766] ; [ 1.27147766 35.72852234],0
p5,1,0.106548,2.604683,[ 57 198] ; [ 4 33],[ 53.27054795 201.72945205] ; [ 7.72945205 29.27054795],0
s4,1,0.109331,2.563864,[ 48 201] ; [ 3 33],[ 44.55789474 204.44210526] ; [ 6.44210526 29.55789474],0
b5,1,0.121838,2.393539,[145 110] ; [26 11],[149.33219178 105.66780822] ; [21.66780822 15.33219178],0
b1,1,0.122005,2.391385,[ 97 158] ; [19 18],[101.30136986 153.69863014] ; [14.69863014 22.30136986],0
p8,1,0.130103,2.291276,[182  72] ; [22 15],[178.06185567  75.93814433] ; [25.93814433 11.06185567],0
n3,1,0.175136,1.838426,[31 14] ; [9 1],[32.72727273 12.27272727] ; [7.27272727 2.72727273],0
s2,1,0.185858,1.750151,[158  94] ; [19 18],[154.33910035  97.66089965] ; [22.66089965 14.33910035],0
