Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.003999,8.284091,[17 10] ; [16 38],[11. 16.] ; [22. 32.],0
p11,1,0.01613,5.788606,[15 14] ; [44 13],[19.89534884  9.10465116] ; [39.10465116 17.89534884],0
s2,1,0.025768,4.9715,[22  7] ; [29 28],[17.19767442 11.80232558] ; [33.80232558 23.19767442],0
b5,1,0.039169,4.253528,[21  8] ; [28 29],[16.52325581 12.47674419] ; [32.47674419 24.52325581],0
d3,1,0.043224,4.086612,[26  3] ; [40 17],[22.25581395  6.74418605] ; [43.74418605 13.25581395],0
r1,1,0.061173,3.505293,[18 11] ; [46 11],[21.58139535  7.41860465] ; [42.41860465 14.58139535],0
p6,1,0.070837,3.263508,[15 14] ; [17 37],[11.18072289 17.81927711] ; [20.81927711 33.18072289],0
s6,1,0.073915,3.193873,[25  4] ; [39 18],[21.58139535  7.41860465] ; [42.41860465 14.58139535],0
p1,1,0.075235,3.16495,[ 5 24] ; [ 3 53],[ 2.72941176 26.27058824] ; [ 5.27058824 50.72941176],0
n4,1,0.110343,2.549304,[11 18] ; [32 25],[14.5 14.5] ; [28.5 28.5],0
u1,1,0.126837,2.330792,[ 8 21] ; [ 8 49],[ 5.39534884 23.60465116] ; [10.60465116 46.39534884],0
d5,1,0.129048,2.303918,[27  2] ; [46 11],[24.61627907  4.38372093] ; [48.38372093  8.61627907],0
b1,1,0.234593,1.412792,[ 7 22] ; [21 36],[ 9.44186047 19.55813953] ; [18.55813953 38.44186047],0
d1,1,0.253861,1.301928,[19 10] ; [30 27],[16.52325581 12.47674419] ; [32.47674419 24.52325581],0
p2,1,0.308363,1.037674,[20  9] ; [45 12],[21.91860465  7.08139535] ; [43.08139535 13.91860465],0
s3,1,0.311149,1.025791,[21  8] ; [35 22],[18.88372093 10.11627907] ; [37.11627907 19.88372093],0
r2,1,0.339716,0.911502,[28  1] ; [50  5],[26.92857143  2.07142857] ; [51.07142857  3.92857143],0
r4,1,0.378062,0.776994,[24  5] ; [51  6],[25.29069767  3.70930233] ; [49.70930233  7.29069767],0
v2,1,0.414701,0.665282,[14 15] ; [30 22],[15.75308642 13.24691358] ; [28.24691358 23.75308642],0
n2,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
a4,1,0.473958,0.512733,[13 16] ; [21 36],[11.46511628 17.53488372] ; [22.53488372 34.46511628],0
d4,1,0.490894,0.474567,[26  3] ; [48  9],[24.95348837  4.04651163] ; [49.04651163  7.95348837],0
d2,1,0.493798,0.46824,[16 13] ; [27 30],[14.5 14.5] ; [28.5 28.5],0
p10,1,0.536703,0.381684,[23  6] ; [41 15],[21.83529412  7.16470588] ; [42.16470588 13.83529412],0
u3,1,0.548893,0.359304,[7 1] ; [10  3],[6.47619048 1.52380952] ; [10.52380952  2.47619048],0
a6,1,0.555815,0.347001,[18 11] ; [39 18],[19.22093023  9.77906977] ; [37.77906977 19.22093023],0
p9,1,0.572702,0.318182,[23  5] ; [43 13],[22.  6.] ; [44. 12.],0
p8,1,0.580204,0.305904,[11 17] ; [26 31],[12.18823529 15.81176471] ; [24.81176471 32.18823529],0
n6,1,0.593588,0.284775,[18 11] ; [38 18],[19.10588235  9.89411765] ; [36.89411765 19.10588235],0
p4,1,0.595701,0.281529,[13 16] ; [29 28],[14.1627907 14.8372093] ; [27.8372093 29.1627907],0
a7,1,0.625746,0.237874,[21  8] ; [44 13],[21.91860465  7.08139535] ; [43.08139535 13.91860465],0
a3,1,0.625746,0.237874,[21  8] ; [44 13],[21.91860465  7.08139535] ; [43.08139535 13.91860465],0
u2,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
p7,1,0.680152,0.169954,[18 10] ; [34 23],[17.12941176 10.87058824] ; [34.87058824 22.12941176],0
a2,1,0.687834,0.16144,[ 6 23] ; [14 43],[ 6.74418605 22.25581395] ; [13.25581395 43.74418605],0
p3,1,0.697339,0.151255,[14 15] ; [25 32],[13.15116279 15.84883721] ; [25.84883721 31.15116279],0
v3,1,0.704477,0.143856,[ 8 20] ; [17 35],[ 8.75 19.25] ; [16.25 35.75],0
b4,1,0.707005,0.141287,[20  9] ; [37 20],[19.22093023  9.77906977] ; [37.77906977 19.22093023],0
n1,1,0.733701,0.115741,[4 5] ; [ 6 10],[3.6 5.4] ; [6.4 9.6],0
v4,1,0.773158,0.083086,[25  3] ; [52  5],[25.36470588  2.63529412] ; [51.63529412  5.36470588],0
a5,1,0.774723,0.081912,[20  9] ; [41 16],[20.56976744  8.43023256] ; [40.43023256 16.56976744],0
v1,1,0.830827,0.045643,[13 16] ; [26 29],[13.46428571 15.53571429] ; [25.53571429 29.46428571],0
n3,1,0.896743,0.016842,[7 2] ; [12  3],[7.125 1.875] ; [11.875  3.125],0
s8,1,0.931902,0.007302,[16 13] ; [32 25],[16.18604651 12.81395349] ; [31.81395349 25.18604651],0
b3,1,0.968933,0.001517,[ 8 12] ; [15 23],[ 7.93103448 12.06896552] ; [15.06896552 22.93103448],0
b2,1,0.968933,0.001517,[ 8 12] ; [15 23],[ 7.93103448 12.06896552] ; [15.06896552 22.93103448],0
r3,1,0.988467,0.000209,[28  1] ; [55  2],[27.98837209  1.01162791] ; [55.01162791  1.98837209],0
