Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.345302,[25 32] ; [55 10],[37.37704918 19.62295082] ; [42.62295082 22.37704918],1
u3,1,0.001333,10.296251,[10 28] ; [19 10],[16.44776119 21.55223881] ; [12.55223881 16.44776119],0
a5,1,0.002336,9.264698,[16 41] ; [36 29],[24.29508197 32.70491803] ; [27.70491803 37.29508197],0
r2,1,0.005252,7.790389,[38 19] ; [57  8],[44.3852459 12.6147541] ; [50.6147541 14.3852459],0
v4,1,0.008251,6.978205,[40 17] ; [58  7],[45.78688525 11.21311475] ; [52.21311475 12.78688525],0
a4,1,0.0176,5.635529,[ 7 50] ; [19 44],[12.35 44.65] ; [13.65 49.35],0
a3,1,0.018017,5.594488,[19 37] ; [35 28],[25.41176471 30.58823529] ; [28.58823529 34.41176471],0
p11,1,0.024621,5.050373,[30 27] ; [47 18],[35.97540984 21.02459016] ; [41.02459016 23.97540984],0
a2,1,0.026091,4.949988,[ 1 56] ; [ 8 57],[ 4.20491803 52.79508197] ; [ 4.79508197 60.20491803],0
v1,1,0.027885,4.835165,[11 44] ; [25 40],[16.5 38.5] ; [19.5 45.5],0
r3,1,0.030774,4.665548,[37 19] ; [54 11],[42.11570248 13.88429752] ; [48.88429752 16.11570248],0
s1,1,0.043828,4.063185,[ 2 55] ; [ 9 55],[ 5.18181818 51.81818182] ; [ 5.81818182 58.18181818],0
s7,1,0.049785,3.848684,[14 43] ; [25 35],[19. 38.] ; [20. 40.],0
s6,1,0.051443,3.793784,[22 35] ; [35 27],[27.30252101 29.69747899] ; [29.69747899 32.30252101],0
b1,1,0.086738,2.933887,[21 36] ; [34 31],[25.69672131 31.30327869] ; [29.30327869 35.69672131],0
n4,1,0.086935,2.930232,[29 28] ; [43 22],[33.63934426 23.36065574] ; [38.36065574 26.63934426],0
u2,1,0.09578,2.77444,[12 26] ; [15 14],[15.31343284 22.68656716] ; [11.68656716 17.31343284],0
s3,1,0.114612,2.489444,[23 33] ; [35 28],[27.29411765 28.70588235] ; [30.70588235 32.29411765],0
p10,1,0.117066,2.45614,[30 27] ; [42 21],[34.2 22.8] ; [37.8 25.2],0
s8,1,0.118292,2.439788,[10 47] ; [19 45],[13.66115702 43.33884298] ; [15.33884298 48.66115702],0
a7,1,0.143251,2.142688,[24 33] ; [36 29],[28.03278689 28.96721311] ; [31.96721311 33.03278689],0
d3,1,0.166454,1.914595,[16 41] ; [26 39],[19.62295082 37.37704918] ; [22.37704918 42.62295082],0
s5,1,0.182129,1.780168,[10 47] ; [17 44],[13.04237288 43.95762712] ; [13.95762712 47.04237288],0
d4,1,0.195414,1.676322,[24 33] ; [35 30],[27.56557377 29.43442623] ; [31.43442623 33.56557377],0
a6,1,0.195414,1.676322,[24 33] ; [35 30],[27.56557377 29.43442623] ; [31.43442623 33.56557377],0
d1,1,0.221363,1.495516,[ 1 56] ; [ 4 61],[ 2.33606557 54.66393443] ; [ 2.66393443 62.33606557],0
p4,1,0.223223,1.483531,[20 37] ; [29 34],[23.275 33.725] ; [25.725 37.275],0
n2,1,0.22654,1.462455,[12  8] ; [17  5],[13.80952381  6.19047619] ; [15.19047619  6.80952381],0
b2,1,0.242719,1.364731,[11 24] ; [17 21],[13.42465753 21.57534247] ; [14.57534247 23.42465753],0
b3,1,0.242719,1.364731,[11 24] ; [17 21],[13.42465753 21.57534247] ; [14.57534247 23.42465753],0
s2,1,0.316577,1.003036,[19 38] ; [27 37],[21.66942149 35.33057851] ; [24.33057851 39.66942149],0
p6,1,0.346017,0.888011,[11 45] ; [17 46],[13.17647059 42.82352941] ; [14.82352941 48.17647059],0
n1,1,0.392919,0.72989,[ 6 14] ; [ 9 12],[ 7.31707317 12.68292683] ; [ 7.68292683 13.31707317],0
a8,1,0.472937,0.515106,[ 5 50] ; [ 8 52],[ 6.2173913 48.7826087] ; [ 6.7826087 53.2173913],0
n3,1,0.507335,0.43956,[14  6] ; [12  8],[13.  7.] ; [13.  7.],0
p12,1,0.52977,0.394832,[ 3 53] ; [ 2 63],[ 2.31404959 53.68595041] ; [ 2.68595041 62.31404959],0
p7,1,0.562607,0.33521,[25 30] ; [32 31],[26.56779661 28.43220339] ; [30.43220339 32.56779661],0
a1,1,0.580985,0.304645,[ 5 52] ; [ 4 61],[ 4.20491803 52.79508197] ; [ 4.79508197 60.20491803],0
b5,1,0.596262,0.280671,[36 21] ; [38 27],[34.57377049 22.42622951] ; [39.42622951 25.57377049],0
p2,1,0.598939,0.276599,[36 21] ; [44 21],[37.37704918 19.62295082] ; [42.62295082 22.37704918],0
d2,1,0.640577,0.217989,[12 45] ; [16 49],[13.08196721 43.91803279] ; [14.91803279 50.08196721],0
n6,1,0.654196,0.200651,[37 20] ; [44 20],[38.15702479 18.84297521] ; [42.84297521 21.15702479],0
p5,1,0.714393,0.133929,[ 5 51] ; [ 7 57],[ 5.6 50.4] ; [ 6.4 57.6],0
s4,1,0.729301,0.119754,[10 47] ; [13 52],[10.74590164 46.25409836] ; [12.25409836 52.74590164],0
v3,1,0.776676,0.080459,[10 47] ; [10 54],[ 9.4214876 47.5785124] ; [10.5785124 53.4214876],0
p3,1,0.887551,0.019995,[16 41] ; [19 46],[16.35245902 40.64754098] ; [18.64754098 46.35245902],0
p8,1,0.894105,0.017719,[22 34] ; [24 39],[21.64705882 34.35294118] ; [24.35294118 38.64705882],0
p9,1,0.916459,0.011003,[38 18] ; [44 20],[38.26666667 17.73333333] ; [43.73333333 20.26666667],0
n5,1,0.94042,0.005586,[36 21] ; [40 24],[35.80165289 21.19834711] ; [40.19834711 23.80165289],0
b4,1,0.952397,0.003564,[31 26] ; [35 30],[30.83606557 26.16393443] ; [35.16393443 29.83606557],0
p1,1,0.996386,2.1e-05,[ 7 50] ; [ 8 57],[ 7.00819672 49.99180328] ; [ 7.99180328 57.00819672],0
