Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.006067,7.530284,[ 7 87] ; [3 5],[ 9.21568627 84.78431373] ; [0.78431373 7.21568627],0
s7,1,0.032422,4.576026,[11 75] ; [3 4],[12.94623656 73.05376344] ; [1.05376344 5.94623656],0
b4,1,0.041354,4.161458,[47 47] ; [7 1],[49.76470588 44.23529412] ; [4.23529412 3.76470588],0
s2,1,0.041793,4.143574,[11 83] ; [3 5],[12.90196078 81.09803922] ; [1.09803922 6.90196078],0
d3,1,0.054054,3.711023,[48 44] ; [7 1],[50.6 41.4] ; [4.4 3.6],0
v1,1,0.059502,3.551215,[23 71] ; [4 3],[25.12871287 68.87128713] ; [1.87128713 5.12871287],0
a7,1,0.087498,2.91982,[52 40] ; [7 1],[54.28 37.72] ; [4.72 3.28],0
s8,1,0.092887,2.82361,[ 7 87] ; [2 6],[ 8.29411765 85.70588235] ; [0.70588235 7.29411765],0
u3,1,0.149596,2.076362,[10 27] ; [2 1],[11.1 25.9] ; [0.9 2.1],0
p2,1,0.171087,1.873394,[42 52] ; [5 2],[43.74257426 50.25742574] ; [3.25742574 3.74257426],0
u2,1,0.188945,1.725828,[11 26] ; [2 1],[12.025 24.975] ; [0.975 2.025],0
p3,1,0.195479,1.67583,[20 73] ; [3 4],[21.39 71.61] ; [1.61 5.39],0
p10,1,0.262076,1.257758,[33 59] ; [4 3],[34.38383838 57.61616162] ; [2.61616162 4.38383838],0
d2,1,0.287217,1.132619,[40 53] ; [5 3],[41.43564356 51.56435644] ; [3.56435644 4.43564356],0
a8,1,0.297896,1.083589,[ 5 81] ; [1 5],[ 5.60869565 80.39130435] ; [0.39130435 5.60869565],0
a6,1,0.332833,0.937842,[54 40] ; [6 2],[55.29411765 38.70588235] ; [4.70588235 3.29411765],0
p9,1,0.388367,0.74405,[36 53] ; [4 3],[37.08333333 51.91666667] ; [2.91666667 4.08333333],0
r4,1,0.393781,0.727234,[44 50] ; [5 3],[45.15686275 48.84313725] ; [3.84313725 4.15686275],0
a4,1,0.413514,0.668674,[33 60] ; [4 4],[34.06930693 58.93069307] ; [2.93069307 5.06930693],0
p6,1,0.415707,0.662421,[15 76] ; [2 5],[15.78571429 75.21428571] ; [1.21428571 5.78571429],0
r1,1,0.425831,0.634167,[44 48] ; [5 3],[45.08 46.92] ; [3.92 4.08],0
d5,1,0.442434,0.589963,[57 36] ; [6 2],[58.00990099 34.99009901] ; [4.99009901 3.00990099],0
r3,1,0.442434,0.589963,[57 36] ; [6 2],[58.00990099 34.99009901] ; [4.99009901 3.00990099],0
n6,1,0.460995,0.543478,[47 45] ; [3 5],[46. 46.] ; [4. 4.],0
b1,1,0.497175,0.460962,[47 47] ; [5 3],[47.92156863 46.07843137] ; [4.07843137 3.92156863],0
v2,1,0.51102,0.431977,[24 66] ; [3 5],[24.79591837 65.20408163] ; [2.20408163 5.79591837],0
a5,1,0.612113,0.257109,[50 44] ; [5 3],[50.68627451 43.31372549] ; [4.31372549 3.68627451],0
a3,1,0.617531,0.249354,[57 35] ; [5 2],[57.61616162 34.38383838] ; [4.38383838 2.61616162],0
a2,1,0.629623,0.232572,[17 77] ; [2 6],[17.50980392 76.49019608] ; [1.49019608 6.50980392],0
d1,1,0.639812,0.218989,[39 55] ; [4 4],[39.62745098 54.37254902] ; [3.37254902 4.62745098],0
p4,1,0.641927,0.216231,[20 72] ; [1 6],[19.51515152 72.48484848] ; [1.48484848 5.51515152],0
n5,1,0.658007,0.195954,[54 39] ; [4 4],[53.40594059 39.59405941] ; [4.59405941 3.40594059],0
a1,1,0.702536,0.145848,[ 8 86] ; [1 7],[ 8.29411765 85.70588235] ; [0.70588235 7.29411765],0
p7,1,0.738674,0.111295,[32 60] ; [2 5],[31.5959596 60.4040404] ; [2.4040404 4.5959596],0
n4,1,0.762279,0.0915,[53 40] ; [5 3],[53.40594059 39.59405941] ; [4.59405941 3.40594059],0
v4,1,0.794906,0.067572,[65 27] ; [6 2],[65.32 26.68] ; [5.68 2.32],0
b5,1,0.825796,0.048442,[55 39] ; [5 3],[55.29411765 38.70588235] ; [4.70588235 3.29411765],0
p8,1,0.833933,0.043958,[23 69] ; [2 5],[23.23232323 68.76767677] ; [1.76767677 5.23232323],0
s4,1,0.870544,0.026559,[10 84] ; [1 7],[10.1372549 83.8627451] ; [0.8627451 7.1372549],0
s3,1,0.894318,0.017647,[25 67] ; [2 6],[24.84 67.16] ; [2.16 5.84],0
n3,1,0.938959,0.005864,[17 19] ; [1 1],[17.05263158 18.94736842] ; [0.94736842 1.05263158],0
v3,1,0.972066,0.001226,[22 68] ; [2 6],[22.04081633 67.95918367] ; [1.95918367 6.04081633],0
