Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.6e-05,16.596351,[33 12] ; [30 54],[21.97674419 23.02325581] ; [41.02325581 42.97674419],1
n1,1,0.016155,5.785938,[9 1] ; [15 17],[5.71428571 4.28571429] ; [18.28571429 13.71428571],0
b1,1,0.01897,5.50425,[24 21] ; [27 57],[17.79069767 27.20930233] ; [33.20930233 50.79069767],0
n5,1,0.019617,5.445678,[39  6] ; [57 27],[33.48837209 11.51162791] ; [62.51162791 21.48837209],0
r4,1,0.030424,4.685147,[42  3] ; [66 18],[37.6744186  7.3255814] ; [70.3255814 13.6744186],0
p5,1,0.03072,4.668529,[ 7 36] ; [ 4 79],[ 3.75396825 39.24603175] ; [ 7.24603175 75.75396825],0
s8,1,0.033902,4.499615,[34 11] ; [47 36],[28.4765625 16.5234375] ; [52.5234375 30.4765625],0
n4,1,0.037938,4.3078,[41  4] ; [64 20],[36.62790698  8.37209302] ; [68.37209302 15.62790698],0
s3,1,0.043185,4.088149,[36  9] ; [52 31],[30.9375 14.0625] ; [57.0625 25.9375],0
p9,1,0.045605,3.99611,[41  4] ; [63 19],[36.8503937  8.1496063] ; [67.1496063 14.8503937],0
d5,1,0.109421,2.562571,[40  5] ; [65 19],[36.62790698  8.37209302] ; [68.37209302 15.62790698],0
p1,1,0.130336,2.288499,[ 7 38] ; [ 6 78],[ 4.53488372 40.46511628] ; [ 8.46511628 75.53488372],0
r2,1,0.161226,1.962692,[44  1] ; [75  7],[42.16535433  2.83464567] ; [76.83464567  5.16535433],0
r3,1,0.164432,1.932987,[43  2] ; [74 10],[40.81395349  4.18604651] ; [76.18604651  7.81395349],0
p11,1,0.192449,1.698769,[32 13] ; [50 34],[28.60465116 16.39534884] ; [53.39534884 30.60465116],0
s6,1,0.192785,1.696206,[39  6] ; [64 19],[36.2109375  8.7890625] ; [66.7890625 16.2109375],0
a3,1,0.214916,1.537995,[38  7] ; [63 21],[35.23255814  9.76744186] ; [65.76744186 18.23255814],0
u4,1,0.229402,1.444562,[ 3 42] ; [ 2 82],[ 1.74418605 43.25581395] ; [ 3.25581395 80.74418605],0
d4,1,0.244537,1.354245,[40  5] ; [68 16],[37.6744186  7.3255814] ; [70.3255814 13.6744186],0
p6,1,0.267665,1.228675,[13 32] ; [17 67],[10.46511628 34.53488372] ; [19.53488372 64.46511628],0
n6,1,0.300373,1.072537,[40  5] ; [68 15],[37.96875  7.03125] ; [70.03125 12.96875],0
a8,1,0.314829,1.01031,[ 3 38] ; [10 64],[ 4.63478261 36.36521739] ; [ 8.36521739 65.63478261],0
u3,1,0.333998,0.933333,[4 3] ; [16  5],[5. 2.] ; [15.  6.],0
r1,1,0.34901,0.877052,[37  8] ; [63 21],[34.88372093 10.11627907] ; [65.11627907 18.88372093],0
a7,1,0.35445,0.857461,[28 17] ; [59 25],[30.34883721 14.65116279] ; [56.65116279 27.34883721],0
s2,1,0.36102,0.834342,[33 12] ; [55 29],[30.69767442 14.30232558] ; [57.30232558 26.69767442],0
p8,1,0.390925,0.736063,[14 31] ; [20 63],[11.953125 33.046875] ; [22.046875 60.953125],0
b5,1,0.435254,0.608764,[33 12] ; [56 28],[31.04651163 13.95348837] ; [57.95348837 26.04651163],0
a2,1,0.436031,0.606706,[11 34] ; [26 58],[12.90697674 32.09302326] ; [24.09302326 59.90697674],0
s5,1,0.475498,0.50917,[16 25] ; [26 54],[14.23140496 26.76859504] ; [27.76859504 52.23140496],0
n2,1,0.478308,0.502719,[6 4] ; [23  9],[6.9047619 3.0952381] ; [22.0952381  9.9047619],0
s4,1,0.495367,0.464847,[ 7 38] ; [17 66],[ 8.4375 36.5625] ; [15.5625 67.4375],0
p10,1,0.521049,0.411817,[34 11] ; [59 25],[32.44186047 12.55813953] ; [60.55813953 23.44186047],0
a5,1,0.521739,0.410455,[36  9] ; [63 21],[34.53488372 10.46511628] ; [64.46511628 19.53488372],0
a6,1,0.554649,0.349054,[26 19] ; [53 31],[27.55813953 17.44186047] ; [51.44186047 32.55813953],0
v2,1,0.566993,0.32774,[21 23] ; [43 38],[22.528 21.472] ; [41.472 39.528],0
d1,1,0.592214,0.2869,[30 15] ; [52 32],[28.60465116 16.39534884] ; [53.39534884 30.60465116],0
p2,1,0.605377,0.266962,[32 13] ; [56 28],[30.69767442 14.30232558] ; [57.30232558 26.69767442],0
u1,1,0.632778,0.228313,[13 32] ; [21 63],[11.86046512 33.13953488] ; [22.13953488 61.86046512],0
n3,1,0.653484,0.201536,[6 4] ; [21 10],[6.58536585 3.41463415] ; [20.41463415 10.58536585],0
s1,1,0.696493,0.152146,[ 4 40] ; [ 6 78],[ 3.4375 40.5625] ; [ 6.5625 77.4375],0
v1,1,0.703145,0.145221,[22 19] ; [40 40],[21.00826446 19.99173554] ; [40.99173554 39.00826446],0
a4,1,0.718118,0.130303,[24 21] ; [42 42],[23.02325581 21.97674419] ; [42.97674419 41.02325581],0
v3,1,0.72754,0.121382,[16 25] ; [29 52],[15.12295082 25.87704918] ; [29.87704918 51.12295082],0
p12,1,0.738284,0.11164,[ 4 41] ; [ 6 77],[ 3.515625 41.484375] ; [ 6.484375 76.515625],0
u2,1,0.756158,0.096429,[3 3] ; [12  9],[3.33333333 2.66666667] ; [11.66666667  9.33333333],0
d3,1,0.799695,0.064385,[29 16] ; [56 28],[29.65116279 15.34883721] ; [55.34883721 28.65116279],0
b3,1,0.93074,0.007554,[14 20] ; [24 33],[14.1978022 19.8021978] ; [23.8021978 33.1978022],0
b2,1,0.93074,0.007554,[14 20] ; [24 33],[14.1978022 19.8021978] ; [23.8021978 33.1978022],0
b4,1,0.936967,0.006254,[27 18] ; [51 33],[27.20930233 17.79069767] ; [50.79069767 33.20930233],0
d2,1,0.971755,0.001254,[28 17] ; [52 32],[27.90697674 17.09302326] ; [52.09302326 31.90697674],0
