Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,120.847842,[587  14] ; [95 40],[556.9048913  44.0951087] ; [125.0951087   9.9048913],1
r2,1,0.0,45.418686,[582  15] ; [109  22],[566.65796703  30.34203297] ; [124.34203297   6.65796703],1
a5,1,0.0,39.803421,[471 130] ; [70 65],[441.76766304 159.23233696] ; [99.23233696 35.76766304],1
d1,1,1e-06,23.428951,[381 220] ; [55 80],[356.02717391 244.97282609] ; [79.97282609 55.02717391],1
u1,1,6e-06,20.442196,[126 475] ; [  6 129],[107.78804348 493.21195652] ; [ 24.21195652 110.78804348],1
a2,1,1.4e-05,18.818934,[164 437] ; [ 13 122],[144.53396739 456.46603261] ; [ 32.46603261 102.53396739],1
a3,1,4.8e-05,16.540021,[449 150] ; [77 57],[429.84174625 169.15825375] ; [96.15825375 37.84174625],1
d2,1,0.000205,13.786158,[306 294] ; [45 90],[286.53061224 313.46938776] ; [64.46938776 70.53061224],1
d3,1,0.000385,12.603472,[445 156] ; [78 55],[428.23297003 172.76702997] ; [94.76702997 38.23297003],1
a4,1,0.000411,12.481481,[282 317] ; [41 94],[263.59264305 335.40735695] ; [59.40735695 75.59264305],1
d4,1,0.000519,12.045352,[513  86] ; [99 36],[499.4386921  99.5613079] ; [112.5613079  22.4386921],1
v2,1,0.001112,10.630585,[347 229] ; [60 74],[330.18591549 245.81408451] ; [76.81408451 57.18591549],0
d5,1,0.001208,10.477497,[509  91] ; [98 36],[496.1852861 103.8147139] ; [110.8147139  23.1852861],0
v4,1,0.001271,10.384348,[583  15] ; [123  11],[576.75956284  21.24043716] ; [129.24043716   4.75956284],0
v1,1,0.001429,10.168214,[343 244] ; [56 74],[326.65690377 260.34309623] ; [72.34309623 57.65690377],0
n4,1,0.001737,9.808366,[482 117] ; [92 43],[468.42779292 130.57220708] ; [105.57220708  29.42779292],0
a6,1,0.003182,8.700241,[429 171] ; [79 56],[414.69387755 185.30612245] ; [93.30612245 41.69387755],0
a7,1,0.003682,8.434405,[458 142] ; [86 48],[444.6866485 155.3133515] ; [99.3133515 34.6866485],0
u3,1,0.005059,7.858102,[93 57] ; [23 34],[84.05797101 65.94202899] ; [31.94202899 25.05797101],0
p7,1,0.008065,7.019059,[417 171] ; [78 54],[404.25 183.75] ; [90.75 41.25],0
s8,1,0.009208,6.782022,[282 316] ; [47 88],[268.40654843 329.59345157] ; [60.59345157 74.40654843],0
p8,1,0.023226,5.151489,[351 241] ; [64 68],[339.33701657 252.66298343] ; [75.66298343 56.33701657],0
s7,1,0.025045,5.020775,[299 276] ; [53 76],[287.5 287.5] ; [64.5 64.5],0
s5,1,0.027006,4.89043,[208 375] ; [32 94],[197.348378 385.651622] ; [42.651622 83.348378],0
s6,1,0.039356,4.245448,[414 177] ; [79 51],[404.10957004 186.89042996] ; [88.89042996 41.10957004],0
v3,1,0.042202,4.127069,[241 338] ; [43 91],[230.62552595 348.37447405] ; [53.37447405 80.62552595],0
n5,1,0.056208,3.645891,[457 140] ; [92 42],[448.3625171 148.6374829] ; [100.6374829  33.3625171],0
p10,1,0.067336,3.346799,[504  91] ; [104  29],[496.92307692  98.07692308] ; [111.07692308  21.92307692],0
p4,1,0.068016,3.330269,[390 209] ; [76 58],[380.81036835 218.18963165] ; [85.18963165 48.81036835],0
s3,1,0.123202,2.376141,[348 244] ; [69 65],[340.03305785 251.96694215] ; [76.96694215 57.03305785],0
s2,1,0.12354,2.37186,[312 282] ; [61 74],[303.92592593 290.07407407] ; [69.07407407 65.92592593],0
u2,1,0.169554,1.88688,[87 63] ; [27 30],[82.60869565 67.39130435] ; [31.39130435 25.60869565],0
b3,1,0.182601,1.77633,[139 219] ; [24 54],[133.83944954 224.16055046] ; [29.16055046 48.83944954],0
b2,1,0.182601,1.77633,[139 219] ; [24 54],[133.83944954 224.16055046] ; [29.16055046 48.83944954],0
p1,1,0.264475,1.245183,[ 53 545] ; [  8 127],[ 49.76534789 548.23465211] ; [ 11.23465211 123.76534789],0
s4,1,0.26733,1.230398,[ 91 501] ; [ 26 109],[ 95.27372765 496.72627235] ; [ 21.72627235 113.27372765],0
a1,1,0.272567,1.203783,[ 23 578] ; [  8 127],[ 25.3138587 575.6861413] ; [  5.6861413 129.3138587],0
p11,1,0.275188,1.190703,[496 105] ; [106  29],[491.57880435 109.42119565] ; [110.42119565  24.57880435],0
u4,1,0.316789,1.002158,[ 12 589] ; [  1 134],[ 10.61548913 590.38451087] ; [  2.38451087 132.61548913],0
s1,1,0.366528,0.815402,[ 17 575] ; [  2 132],[ 15.49311295 576.50688705] ; [  3.50688705 130.49311295],0
p12,1,0.41286,0.670549,[ 48 548] ; [  8 126],[ 45.72054795 550.27945205] ; [ 10.27945205 123.72054795],0
a8,1,0.464184,0.535788,[ 82 455] ; [ 16 110],[ 79.37556561 457.62443439] ; [ 18.62443439 107.37556561],0
n2,1,0.488096,0.48072,[79 30] ; [32  9],[80.66 28.34] ; [30.34 10.66],0
p6,1,0.503087,0.448417,[236 357] ; [48 83],[232.61325967 360.38674033] ; [51.38674033 79.61325967],0
n1,1,0.536925,0.381268,[35 74] ; [15 25],[36.57718121 72.42281879] ; [13.42281879 26.57718121],0
p3,1,0.570006,0.322673,[314 286] ; [67 68],[311.02040816 288.97959184] ; [69.97959184 65.02040816],0
b5,1,0.593517,0.284886,[359 242] ; [84 51],[361.74320652 239.25679348] ; [81.25679348 53.74320652],0
n3,1,0.656213,0.198156,[82 28] ; [32  9],[83.04635762 26.95364238] ; [30.95364238 10.04635762],0
n6,1,0.732633,0.116707,[511  86] ; [114  21],[509.73360656  87.26639344] ; [115.26639344  19.73360656],0
b1,1,0.782296,0.076357,[215 386] ; [50 85],[216.39266304 384.60733696] ; [48.60733696 86.39266304],0
p9,1,0.871526,0.026153,[517  76] ; [117  18],[516.43131868  76.56868132] ; [117.56868132  17.43131868],0
b4,1,0.991407,0.000116,[352 249] ; [79 56],[351.94429348 249.05570652] ; [79.05570652 55.94429348],0
p5,1,0.99968,0.0,[ 71 528] ; [ 16 119],[ 70.9986376 528.0013624] ; [ 16.0013624 118.9986376],0
