Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.955689,[27  4] ; [ 1 12],[19.72727273 11.27272727] ; [8.27272727 4.72727273],1
p11,1,0.000289,13.138131,[28  3] ; [5 8],[23.25  7.75] ; [9.75 3.25],1
a5,1,0.005412,7.73649,[19 12] ; [ 2 11],[14.79545455 16.20454545] ; [6.20454545 6.79545455],0
p2,1,0.010377,6.569065,[26  5] ; [6 7],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
n5,1,0.010377,6.569065,[26  5] ; [6 7],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
r3,1,0.019301,5.474064,[26  4] ; [7 6],[23.02325581  6.97674419] ; [9.97674419 3.02325581],0
r4,1,0.026082,4.950585,[13 18] ; [ 1 12],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
s8,1,0.039642,4.23314,[12 19] ; [ 1 12],[ 9.15909091 21.84090909] ; [3.84090909 9.15909091],0
p8,1,0.040242,4.207637,[15 16] ; [ 2 11],[11.97727273 19.02272727] ; [5.02272727 7.97727273],0
p7,1,0.081244,3.039833,[16 15] ; [ 3 10],[13.38636364 17.61363636] ; [5.61363636 7.38636364],0
b3,1,0.083265,3.0,[ 8 10] ; [1 8],[ 6. 12.] ; [3. 6.],0
b2,1,0.083265,3.0,[ 8 10] ; [1 8],[ 6. 12.] ; [3. 6.],0
u2,1,0.109504,2.561364,[9 6] ; [2 6],[7.17391304 7.82608696] ; [3.82608696 4.17391304],0
a4,1,0.123291,2.375011,[ 9 22] ; [ 1 12],[ 7.04545455 23.95454545] ; [ 2.95454545 10.04545455],0
p5,1,0.123291,2.375011,[ 9 22] ; [ 1 12],[ 7.04545455 23.95454545] ; [ 2.95454545 10.04545455],0
a7,1,0.144735,2.126885,[17 14] ; [4 9],[14.79545455 16.20454545] ; [6.20454545 6.79545455],0
s5,1,0.174125,1.847068,[ 8 23] ; [ 1 12],[ 6.34090909 24.65909091] ; [ 2.65909091 10.34090909],0
s7,1,0.228159,1.452302,[10 20] ; [ 2 11],[ 8.37209302 21.62790698] ; [3.62790698 9.37209302],0
d3,1,0.234929,1.410765,[18 13] ; [5 8],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
d5,1,0.258362,1.277513,[20 11] ; [6 7],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
p4,1,0.258362,1.277513,[20 11] ; [6 7],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
n3,1,0.263552,1.25,[5 5] ; [4 1],[6. 4.] ; [3. 2.],0
