Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,43.767355,[ 9 69] ; [51 31],[29.25 48.75] ; [30.75 51.25],1
s6,1,7.9e-05,15.589668,[33 45] ; [58 21],[45.21019108 32.78980892] ; [45.78980892 33.21019108],1
s8,1,0.000299,13.075495,[17 62] ; [40 42],[27.9689441 51.0310559] ; [29.0310559 52.9689441],1
s7,1,0.000327,12.906764,[19 56] ; [41 35],[29.8013245 45.1986755] ; [30.1986755 45.8013245],1
r2,1,0.030691,4.670174,[67 12] ; [77  4],[71.1  7.9] ; [72.9  8.1],0
b3,1,0.04477,4.027277,[14 31] ; [ 7 43],[ 9.94736842 35.05263158] ; [11.05263158 38.94736842],0
b2,1,0.04477,4.027277,[14 31] ; [ 7 43],[ 9.94736842 35.05263158] ; [11.05263158 38.94736842],0
n4,1,0.048326,3.898617,[48 31] ; [61 20],[53.81875 25.18125] ; [55.18125 25.81875],0
b5,1,0.058233,3.587011,[53 26] ; [43 39],[47.10559006 31.89440994] ; [48.89440994 33.10559006],0
n2,1,0.072121,3.234072,[16  6] ; [17  1],[18.15  3.85] ; [14.85  3.15],0
r4,1,0.072372,3.228393,[66 13] ; [76  6],[69.67701863  9.32298137] ; [72.32298137  9.67701863],0
a2,1,0.079867,3.067613,[10 69] ; [ 4 78],[ 6.86956522 72.13043478] ; [ 7.13043478 74.86956522],0
s4,1,0.089367,2.885747,[10 68] ; [19 63],[14.1375 63.8625] ; [14.8625 67.1375],0
v3,1,0.104187,2.640258,[19 59] ; [29 51],[23.69620253 54.30379747] ; [24.30379747 55.69620253],0
u2,1,0.113449,2.505507,[20 19] ; [15 29],[16.44578313 22.55421687] ; [18.55421687 25.44578313],0
p8,1,0.116394,2.465185,[41 35] ; [34 48],[36.07594937 39.92405063] ; [38.92405063 43.07594937],0
s5,1,0.17854,1.809737,[14 62] ; [22 58],[17.53846154 58.46153846] ; [18.46153846 61.53846154],0
d3,1,0.181551,1.784883,[18 59] ; [27 55],[21.79245283 55.20754717] ; [23.20754717 58.79245283],0
n6,1,0.192603,1.697596,[60 19] ; [69 13],[63.29813665 15.70186335] ; [65.70186335 16.29813665],0
a4,1,0.22898,1.447185,[22 57] ; [16 65],[18.7625 60.2375] ; [19.2375 61.7625],0
p6,1,0.261025,1.263312,[27 50] ; [22 60],[23.72955975 53.27044025] ; [25.27044025 56.72955975],0
a6,1,0.272873,1.202249,[51 28] ; [46 36],[47.59627329 31.40372671] ; [49.40372671 32.59627329],0
n5,1,0.281335,1.160629,[53 25] ; [62 20],[56.0625 21.9375] ; [58.9375 23.0625],0
b4,1,0.304793,1.053107,[36 43] ; [44 38],[39.25465839 39.74534161] ; [40.74534161 41.25465839],0
p10,1,0.309137,1.034358,[55 22] ; [62 17],[57.75 19.25] ; [59.25 19.75],0
p11,1,0.337791,0.918799,[62 17] ; [59 23],[59.37267081 19.62732919] ; [61.62732919 20.37267081],0
p1,1,0.36999,0.803697,[ 8 71] ; [12 69],[ 9.875 69.125] ; [10.125 70.875],0
p7,1,0.397869,0.714757,[45 32] ; [52 28],[47.57324841 29.42675159] ; [49.42675159 30.57324841],0
p12,1,0.424712,0.63724,[ 5 73] ; [ 3 79],[ 3.9 74.1] ; [ 4.1 77.9],0
n3,1,0.428674,0.626413,[19  3] ; [16  1],[19.74358974  2.25641026] ; [15.25641026  1.74358974],0
u3,1,0.445357,0.582442,[21 18] ; [20 24],[19.26506024 19.73493976] ; [21.73493976 22.26506024],0
p5,1,0.460949,0.54359,[ 6 72] ; [ 9 72],[ 7.35849057 70.64150943] ; [ 7.64150943 73.35849057],0
r1,1,0.461155,0.54309,[52 27] ; [57 23],[54.1572327 24.8427673] ; [54.8427673 25.1572327],0
s1,1,0.490806,0.47476,[ 3 75] ; [ 5 75],[ 3.94936709 74.05063291] ; [ 4.05063291 75.94936709],0
b1,1,0.498692,0.45772,[34 45] ; [31 51],[31.89440994 47.10559006] ; [33.10559006 48.89440994],0
p2,1,0.516159,0.421561,[59 20] ; [64 17],[60.73125 18.26875] ; [62.26875 18.73125],0
v1,1,0.568224,0.325663,[33 45] ; [37 42],[34.77707006 43.22292994] ; [35.22292994 43.77707006],0
a3,1,0.585965,0.296689,[40 39] ; [38 44],[38.27329193 40.72670807] ; [39.72670807 42.27329193],0
d2,1,0.613368,0.255299,[19 60] ; [17 65],[17.66459627 61.33540373] ; [18.33540373 63.66459627],0
u1,1,0.619373,0.246749,[ 3 76] ; [ 2 80],[ 2.45341615 76.54658385] ; [ 2.54658385 79.45341615],0
a8,1,0.630599,0.23125,[ 9 65] ; [11 63],[10. 64.] ; [10. 64.],0
p3,1,0.644887,0.212407,[37 42] ; [35 46],[35.55 43.45] ; [36.45 44.55],0
