Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,39.557018,[167  64] ; [38 67],[140.9375  90.0625] ; [64.0625 40.9375],1
a6,1,1e-06,24.672042,[173  57] ; [50 55],[153.10447761  76.89552239] ; [69.89552239 35.10447761],1
a2,1,0.002874,8.885863,[ 54 178] ; [10 95],[ 44.05934718 187.94065282] ; [19.94065282 85.05934718],0
d5,1,0.01288,6.185455,[185  46] ; [71 34],[176.  55.] ; [80. 25.],0
b5,1,0.014505,5.975614,[158  74] ; [57 48],[148.01186944  83.98813056] ; [66.98813056 38.01186944],0
d1,1,0.022195,5.230416,[124 108] ; [42 63],[114.27893175 117.72106825] ; [51.72106825 53.27893175],0
p3,1,0.032619,4.565655,[ 48 184] ; [33 72],[ 55.76261128 176.23738872] ; [25.23738872 79.76261128],0
p11,1,0.042683,4.107933,[166  66] ; [86 19],[173.48367953  58.51632047] ; [78.51632047 26.48367953],0
d4,1,0.044375,4.042237,[189  42] ; [75 29],[182.04179104  48.95820896] ; [81.95820896 22.04179104],0
a1,1,0.045581,3.99703,[  4 228] ; [ 6 99],[  6.884273 225.115727] ; [  3.115727 101.884273],0
u1,1,0.046254,3.972304,[ 36 196] ; [ 8 97],[ 30.29080119 201.70919881] ; [13.70919881 91.29080119],0
n2,1,0.046618,3.959119,[46 17] ; [29  3],[49.73684211 13.26315789] ; [25.26315789  6.73684211],0
v2,1,0.094909,2.789067,[119  97] ; [45 55],[112.10126582 103.89873418] ; [51.89873418 48.10126582],0
a8,1,0.129647,2.296726,[ 36 179] ; [10 88],[ 31.59744409 183.40255591] ; [14.40255591 83.59744409],0
b1,1,0.142773,2.147814,[ 78 154] ; [44 61],[ 83.98813056 148.01186944] ; [38.01186944 66.98813056],0
p6,1,0.143482,2.140213,[ 36 191] ; [23 79],[ 40.70820669 186.29179331] ; [18.29179331 83.70820669],0
b2,1,0.154772,2.024581,[39 84] ; [27 37],[43.41176471 79.58823529] ; [22.58823529 41.41176471],0
b3,1,0.154772,2.024581,[39 84] ; [27 37],[43.41176471 79.58823529] ; [22.58823529 41.41176471],0
u3,1,0.160287,1.971515,[45 30] ; [16 19],[41.59090909 33.40909091] ; [19.40909091 15.59090909],0
p9,1,0.213235,1.549324,[181  43] ; [77 26],[176.73394495  47.26605505] ; [81.26605505 21.73394495],0
s5,1,0.240311,1.378768,[ 57 165] ; [32 68],[ 61.36024845 160.63975155] ; [27.63975155 72.36024845],0
p8,1,0.25029,1.321686,[ 85 141] ; [32 71],[ 80.37082067 145.62917933] ; [36.62917933 66.37082067],0
p7,1,0.303758,1.057625,[105 115] ; [56 48],[109.32098765 110.67901235] ; [51.67901235 52.32098765],0
s4,1,0.30655,1.045482,[ 34 196] ; [20 84],[ 37.18562874 192.81437126] ; [16.81437126 87.18562874],0
p10,1,0.31624,1.004434,[170  59] ; [71 32],[166.23192771  62.76807229] ; [74.76807229 28.23192771],0
a4,1,0.321429,0.983124,[ 88 143] ; [46 59],[ 92.125 138.875] ; [41.875 63.125],0
v1,1,0.335869,0.926137,[ 97 129] ; [51 54],[101.05135952 124.94864048] ; [46.94864048 58.05135952],0
p12,1,0.337493,0.91993,[ 10 220] ; [ 7 95],[ 11.77710843 218.22289157] ; [ 5.22289157 96.77710843],0
r1,1,0.379892,0.771052,[193  37] ; [84 21],[190.17910448  39.82089552] ; [86.82089552 18.17910448],0
p2,1,0.426244,0.633036,[171  61] ; [73 32],[167.97626113  64.02373887] ; [76.02373887 28.97626113],0
s6,1,0.456798,0.55373,[137  92] ; [56 45],[133.93030303  95.06969697] ; [59.06969697 41.93030303],0
r2,1,0.503143,0.448301,[227   4] ; [102   3],[226.1875   4.8125] ; [102.8125   2.1875],0
a5,1,0.517753,0.418367,[153  79] ; [73 32],[155.58456973  76.41543027] ; [70.41543027 34.58456973],0
s8,1,0.540204,0.375162,[ 83 148] ; [41 63],[ 85.50447761 145.49552239] ; [38.49552239 65.50447761],0
s1,1,0.55282,0.35229,[  6 221] ; [  4 100],[  6.85800604 220.14199396] ; [  3.14199396 100.85800604],0
u4,1,0.587319,0.294551,[  4 228] ; [  1 104],[  3.4421365 228.5578635] ; [  1.5578635 103.4421365],0
v3,1,0.607434,0.263929,[ 79 145] ; [32 67],[ 76.97832817 147.02167183] ; [34.02167183 64.97832817],0
n4,1,0.645867,0.21115,[157  75] ; [73 31],[158.80952381  73.19047619] ; [71.19047619 32.80952381],0
n1,1,0.68136,0.168599,[24 37] ; [14 18],[24.92473118 36.07526882] ; [13.07526882 18.92473118],0
n5,1,0.686462,0.162942,[148  83] ; [69 35],[149.63283582  81.36716418] ; [67.36716418 36.63283582],0
u2,1,0.68701,0.162342,[39 35] ; [17 18],[38.01834862 35.98165138] ; [17.98165138 17.01834862],0
p5,1,0.698244,0.150305,[  7 224] ; [  4 100],[  7.58507463 223.41492537] ; [  3.41492537 100.58507463],0
r3,1,0.699491,0.149002,[225   6] ; [103   2],[225.5   5.5] ; [102.5   2.5],0
p1,1,0.718533,0.129902,[ 11 219] ; [ 6 99],[ 11.67164179 218.32835821] ; [ 5.32835821 99.67164179],0
d2,1,0.724273,0.124435,[ 93 138] ; [44 60],[ 94.46865672 136.53134328] ; [42.53134328 61.46865672],0
s7,1,0.725759,0.123041,[ 85 139] ; [40 60],[ 86.41975309 137.58024691] ; [38.58024691 61.41975309],0
b4,1,0.730919,0.11827,[135  97] ; [59 46],[133.55489614  98.44510386] ; [60.44510386 44.55489614],0
a3,1,0.772122,0.083869,[157  73] ; [70 35],[155.85074627  74.14925373] ; [71.14925373 33.85074627],0
s2,1,0.806782,0.059819,[102 129] ; [44 59],[100.9760479 130.0239521] ; [45.0239521 57.9760479],0
s3,1,0.818429,0.0527,[118 111] ; [55 49],[118.96996997 110.03003003] ; [54.03003003 49.96996997],0
v4,1,0.84321,0.03912,[224   8] ; [99  4],[223.68955224   8.31044776] ; [99.31044776  3.68955224],0
n6,1,0.938343,0.005984,[186  46] ; [83 21],[185.73809524  46.26190476] ; [83.26190476 20.73809524],0
n3,1,1.0,0.0,[46 16] ; [23  8],[46. 16.] ; [23.  8.],0
