Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.188372,[22 27] ; [251  80],[35.20263158 13.79736842] ; [237.79736842  93.20263158],1
r1,1,1.5e-05,18.798458,[32 21] ; [291  51],[43.33924051  9.66075949] ; [279.66075949  62.33924051],1
s6,1,0.000401,12.526743,[39 14] ; [304  32],[46.73264781  6.26735219] ; [296.26735219  39.73264781],1
r2,1,0.001026,10.780925,[47  6] ; [333   8],[51.11675127  1.88324873] ; [328.88324873  12.11675127],0
p9,1,0.002457,9.172338,[41 12] ; [310  30],[47.33587786  5.66412214] ; [303.66412214  36.33587786],0
p11,1,0.007344,7.186915,[35 18] ; [281  62],[42.29292929 10.70707071] ; [273.70707071  69.29292929],0
r4,1,0.010216,6.596821,[45  8] ; [324  19],[49.38636364  3.61363636] ; [319.61363636  23.38636364],0
n1,1,0.01206,6.302083,[ 2 14] ; [30 34],[6.4 9.6] ; [25.6 38.4],0
s8,1,0.012777,6.199663,[26 27] ; [228 114],[34.08101266 18.91898734] ; [219.91898734 122.08101266],0
p12,1,0.019244,5.479245,[ 1 52] ; [ 44 298],[ 6.03797468 46.96202532] ; [ 38.96202532 303.03797468],0
n3,1,0.032398,4.577327,[8 8] ; [50 15],[11.45679012  4.54320988] ; [46.54320988 18.45679012],0
s5,1,0.040412,4.200484,[19 33] ; [169 157],[25.86243386 26.13756614] ; [162.13756614 163.86243386],0
p2,1,0.058914,3.567686,[41 12] ; [297  44],[45.46700508  7.53299492] ; [292.53299492  48.46700508],0
n4,1,0.08849,2.901625,[40 13] ; [290  52],[44.27848101  8.72151899] ; [285.72151899  56.27848101],0
n5,1,0.127041,2.32829,[40 13] ; [288  55],[43.8989899  9.1010101] ; [284.1010101  58.8989899],0
b5,1,0.140569,2.171719,[37 16] ; [203 140],[32.12121212 20.87878788] ; [207.87878788 135.12121212],0
p10,1,0.148898,2.0835,[43 10] ; [300  40],[46.25699746  6.74300254] ; [296.74300254  43.25699746],0
a3,1,0.183962,1.765321,[37 16] ; [267  75],[40.78987342 12.21012658] ; [263.21012658  78.78987342],0
d2,1,0.200672,1.637476,[25 28] ; [194 149],[29.31060606 23.68939394] ; [189.68939394 153.31060606],0
p6,1,0.205333,1.604033,[28 25] ; [148 192],[23.73536896 29.26463104] ; [152.26463104 187.73536896],0
p4,1,0.227599,1.455804,[32 21] ; [235 107],[35.82531646 17.17468354] ; [231.17468354 110.82531646],0
p1,1,0.264385,1.245649,[ 3 50] ; [ 36 304],[ 5.25954198 47.74045802] ; [ 33.74045802 306.25954198],0
a1,1,0.268767,1.223031,[ 5 48] ; [ 19 324],[ 3.21212121 49.78787879] ; [ 20.78787879 322.21212121],0
p5,1,0.274543,1.193906,[ 5 48] ; [ 51 287],[ 7.59079284 45.40920716] ; [ 48.40920716 289.59079284],0
