Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.062109,3.480145,[ 1 12] ; [ 6 10],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
u2,1,0.085804,2.951389,[2 6] ; [6 3],[3.76470588 4.23529412] ; [4.23529412 4.76470588],0
n2,1,0.094264,2.8,[4 1] ; [3 6],[2.5 2.5] ; [4.5 4.5],0
p4,1,0.112654,2.516587,[6 7] ; [ 3 13],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
p3,1,0.125661,2.345299,[5 8] ; [ 2 13],[3.25 9.75] ; [ 3.75 11.25],0
p7,1,0.137276,2.208236,[ 3 10] ; [8 8],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
a7,1,0.170007,1.882882,[4 9] ; [9 7],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
a5,1,0.185116,1.756067,[ 2 11] ; [ 6 10],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
n4,1,0.197631,1.659799,[8 5] ; [ 6 10],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
s2,1,0.237552,1.395061,[5 8] ; [ 3 13],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
b5,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
n3,1,0.360387,0.836543,[4 1] ; [5 4],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
b2,1,0.368688,0.808081,[1 8] ; [3 8],[1.8 7.2] ; [2.2 8.8],0
b3,1,0.368688,0.808081,[1 8] ; [3 8],[1.8 7.2] ; [2.2 8.8],0
p10,1,0.390447,0.737548,[ 1 12] ; [ 3 13],[ 1.79310345 11.20689655] ; [ 2.20689655 13.79310345],0
d2,1,0.403755,0.697115,[ 3 10] ; [ 6 10],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
s6,1,0.410727,0.676695,[6 7] ; [ 5 11],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
b1,1,0.410727,0.676695,[7 6] ; [11  5],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
p1,1,0.421806,0.645279,[ 2 11] ; [ 1 15],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
p8,1,0.468084,0.526496,[ 2 11] ; [ 4 11],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
s4,1,0.524967,0.404125,[ 2 11] ; [ 4 12],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
a6,1,0.534359,0.386095,[5 8] ; [8 8],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
v4,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
r3,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
d5,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
n1,1,0.596701,0.28,[1 4] ; [3 6],[1.42857143 3.57142857] ; [2.57142857 6.42857143],0
d1,1,0.624321,0.239841,[ 3 10] ; [ 5 11],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
d4,1,0.637947,0.221437,[7 6] ; [10  6],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
n5,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
a3,1,0.66171,0.191453,[5 8] ; [7 8],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
s5,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
r4,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
s1,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
p11,1,0.684498,0.165106,[5 8] ; [ 5 11],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
v2,1,0.704507,0.143826,[4 9] ; [ 6 10],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
r1,1,0.704507,0.143826,[4 9] ; [ 6 10],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
u3,1,0.70663,0.141667,[2 6] ; [3 6],[2.35294118 5.64705882] ; [2.64705882 6.35294118],0
a8,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
