Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,23.048634,[105   2] ; [30 11],[97.60135135  9.39864865] ; [37.39864865  3.60135135],1
r4,1,5.5e-05,16.272913,[101   7] ; [28 13],[93.5033557 14.4966443] ; [35.4966443  5.5033557],1
p9,1,7.6e-05,15.64552,[95 12] ; [24 16],[86.61904762 20.38095238] ; [32.38095238  7.61904762],1
p2,1,0.000483,12.181842,[88 19] ; [21 18],[79.88356164 27.11643836] ; [29.11643836  9.88356164],1
s2,1,0.000695,11.502816,[12 96] ; [14 26],[18.97297297 89.02702703] ; [ 7.02702703 32.97297297],1
p7,1,0.000833,11.166939,[75 32] ; [15 23],[66.4137931 40.5862069] ; [23.5862069 14.4137931],1
p10,1,0.001188,10.508504,[93 13] ; [25 14],[86.26206897 19.73793103] ; [31.73793103  7.26206897],0
v4,1,0.001992,9.556578,[106   2] ; [35  6],[102.20134228   5.79865772] ; [38.79865772  2.20134228],0
v2,1,0.00324,8.667233,[86 19] ; [24 17],[79.10958904 25.89041096] ; [30.89041096 10.10958904],0
v1,1,0.023474,5.133096,[73 33] ; [20 21],[67.06122449 38.93877551] ; [25.93877551 15.06122449],0
s1,1,0.029448,4.741221,[  1 106] ; [ 3 37],[  2.91156463 104.08843537] ; [ 1.08843537 38.91156463],0
s4,1,0.035772,4.407918,[  5 101] ; [ 6 34],[ 7.98630137 98.01369863] ; [ 3.01369863 36.98630137],0
p4,1,0.036493,4.373935,[66 41] ; [16 22],[60.51034483 46.48965517] ; [21.48965517 16.51034483],0
p8,1,0.049522,3.857582,[58 46] ; [15 25],[52.72222222 51.27777778] ; [20.27777778 19.72222222],0
n6,1,0.062333,3.474201,[95 13] ; [31 10],[91.32885906 16.67114094] ; [34.67114094  6.32885906],0
p3,1,0.086966,2.929654,[61 46] ; [16 23],[56.43150685 50.56849315] ; [20.56849315 18.43150685],0
a8,1,0.099103,2.719914,[15 75] ; [ 2 34],[12.14285714 77.85714286] ; [ 4.85714286 31.14285714],0
a6,1,0.136612,2.21571,[77 31] ; [24 17],[73.20805369 34.79194631] ; [27.79194631 13.20805369],0
s6,1,0.144087,2.133758,[44 62] ; [22 18],[47.91780822 58.08219178] ; [18.08219178 21.91780822],0
d1,1,0.173608,1.851505,[66 42] ; [20 21],[62.33557047 45.66442953] ; [23.66442953 17.33557047],0
s5,1,0.199269,1.647727,[21 84] ; [12 28],[23.89655172 81.10344828] ; [ 9.10344828 30.89655172],0
a1,1,0.252369,1.310141,[  7 101] ; [ 5 36],[ 8.69798658 99.30201342] ; [ 3.30201342 37.69798658],0
b4,1,0.298787,1.079599,[61 47] ; [27 14],[63.7852349 44.2147651] ; [24.2147651 16.7852349],0
b1,1,0.326512,0.962681,[38 70] ; [18 23],[40.59060403 67.40939597] ; [15.40939597 25.59060403],0
r1,1,0.326927,0.961033,[87 21] ; [30 11],[84.80536913 23.19463087] ; [32.19463087  8.80536913],0
p1,1,0.332997,0.937208,[14 94] ; [ 3 38],[12.32214765 95.67785235] ; [ 4.67785235 36.32214765],0
p5,1,0.33612,0.925175,[18 90] ; [ 4 35],[16.16326531 91.83673469] ; [ 5.83673469 33.16326531],0
n4,1,0.349284,0.876057,[89 19] ; [31 10],[86.97986577 21.02013423] ; [33.02013423  7.97986577],0
p6,1,0.359999,0.837897,[41 64] ; [12 27],[38.64583333 66.35416667] ; [14.35416667 24.64583333],0
n5,1,0.369541,0.805206,[84 24] ; [29 12],[81.90604027 26.09395973] ; [31.09395973  9.90604027],0
n3,1,0.373156,0.793129,[14  5] ; [7 5],[12.87096774  6.12903226] ; [8.12903226 3.87096774],0
d4,1,0.411348,0.674902,[88 19] ; [36  5],[89.64864865 17.35135135] ; [34.35135135  6.64864865],0
u2,1,0.413206,0.669556,[20 11] ; [5 5],[18.90243902 12.09756098] ; [6.09756098 3.90243902],0
s7,1,0.455336,0.557334,[40 59] ; [12 24],[38.13333333 60.86666667] ; [13.86666667 22.13333333],0
b5,1,0.460947,0.543594,[64 44] ; [27 14],[65.95973154 42.04026846] ; [25.04026846 15.95973154],0
a2,1,0.472306,0.516576,[23 85] ; [11 30],[24.6442953 83.3557047] ; [ 9.3557047 31.6442953],0
u1,1,0.582178,0.302726,[17 91] ; [ 8 33],[18.12080537 89.87919463] ; [ 6.87919463 34.12080537],0
r2,1,0.58683,0.295322,[98  8] ; [38  2],[98.73972603  7.26027397] ; [37.26027397  2.73972603],0
d3,1,0.635343,0.224885,[72 36] ; [29 12],[73.20805369 34.79194631] ; [27.79194631 13.20805369],0
a3,1,0.654788,0.199917,[77 31] ; [30 10],[78.08108108 29.91891892] ; [28.91891892 11.08108108],0
a4,1,0.668413,0.183465,[48 59] ; [20 21],[49.16216216 57.83783784] ; [18.83783784 22.16216216],0
n2,1,0.687245,0.162084,[13  6] ; [8 5],[12.46875  6.53125] ; [8.53125 4.46875],0
a7,1,0.703906,0.14444,[79 28] ; [29 12],[78.08108108 28.91891892] ; [29.91891892 11.08108108],0
u3,1,0.725625,0.123167,[16 15] ; [5 6],[15.5 15.5] ; [5.5 5.5],0
s8,1,0.741704,0.108634,[37 70] ; [15 25],[37.85034014 69.14965986] ; [14.14965986 25.85034014],0
n1,1,0.804113,0.061517,[ 6 13] ; [3 8],[ 5.7 13.3] ; [3.3 7.7],0
a5,1,0.856682,0.032616,[78 30] ; [29 12],[77.55704698 30.44295302] ; [29.44295302 11.55704698],0
b2,1,0.860257,0.030992,[32 50] ; [ 7 12],[31.66336634 50.33663366] ; [ 7.33663366 11.66336634],0
b3,1,0.860257,0.030992,[32 50] ; [ 7 12],[31.66336634 50.33663366] ; [ 7.33663366 11.66336634],0
d2,1,0.934713,0.00671,[54 53] ; [21 20],[54.22297297 52.77702703] ; [20.77702703 20.22297297],0
d5,1,0.992557,8.7e-05,[87 21] ; [33  8],[86.97986577 21.02013423] ; [33.02013423  7.97986577],0
