Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,22.11356,[58  8] ; [1 6],[53.34246575 12.65753425] ; [5.65753425 1.34246575],1
v4,1,3.9e-05,16.923943,[62  4] ; [3 4],[58.76712329  7.23287671] ; [6.23287671 0.76712329],1
d5,1,0.000868,11.089886,[55 11] ; [2 5],[51.53424658 14.46575342] ; [5.46575342 1.53424658],1
r1,1,0.008733,6.87656,[50 16] ; [2 5],[47.01369863 18.98630137] ; [4.98630137 2.01369863],0
r2,1,0.009773,6.675866,[60  6] ; [4 3],[57.8630137  8.1369863] ; [6.1369863 0.8630137],0
s6,1,0.00989,6.654656,[42 23] ; [1 6],[38.81944444 26.18055556] ; [4.18055556 2.81944444],0
s1,1,0.041452,4.157443,[ 4 61] ; [2 5],[ 5.41666667 59.58333333] ; [0.58333333 6.41666667],0
a3,1,0.042783,4.103955,[30 36] ; [6 1],[32.54794521 33.45205479] ; [3.45205479 3.54794521],0
p2,1,0.048477,3.893389,[51 15] ; [3 4],[48.82191781 17.17808219] ; [5.17808219 1.82191781],0
n1,1,0.075752,3.15377,[ 5 13] ; [3 1],[ 6.54545455 11.45454545] ; [1.45454545 2.54545455],0
p11,1,0.121775,2.394337,[39 27] ; [2 5],[37.06849315 28.93150685] ; [3.93150685 3.06849315],0
d4,1,0.12465,2.357901,[47 19] ; [3 4],[45.20547945 20.79452055] ; [4.79452055 2.20547945],0
p7,1,0.140024,2.177696,[37 28] ; [6 1],[38.81944444 26.18055556] ; [4.18055556 2.81944444],0
n2,1,0.150164,2.070588,[15  3] ; [2 2],[13.90909091  4.09090909] ; [3.09090909 0.90909091],0
a5,1,0.190741,1.711888,[40 26] ; [6 1],[41.5890411 24.4109589] ; [4.4109589 2.5890411],0
d1,1,0.248295,1.332872,[34 32] ; [2 5],[32.54794521 33.45205479] ; [3.45205479 3.54794521],0
d2,1,0.280556,1.164393,[33 33] ; [2 5],[31.64383562 34.35616438] ; [3.35616438 3.64383562],0
v2,1,0.298202,1.082217,[32 33] ; [2 5],[30.69444444 34.30555556] ; [3.30555556 3.69444444],0
b5,1,0.315242,1.008586,[34 32] ; [5 2],[35.26027397 30.73972603] ; [3.73972603 3.26027397],0
p5,1,0.327844,0.957395,[ 4 62] ; [1 5],[ 4.58333333 61.41666667] ; [0.41666667 5.58333333],0
d3,1,0.336435,0.92397,[45 21] ; [6 1],[46.10958904 19.89041096] ; [4.89041096 2.10958904],0
n5,1,0.352383,0.864858,[35 31] ; [5 2],[36.16438356 29.83561644] ; [3.83561644 3.16438356],0
s8,1,0.361954,0.831102,[20 45] ; [1 6],[18.95833333 46.04166667] ; [2.04166667 4.95833333],0
b4,1,0.364128,0.823605,[40 26] ; [3 4],[38.87671233 27.12328767] ; [4.12328767 2.87671233],0
a6,1,0.434123,0.611768,[37 29] ; [5 2],[37.97260274 28.02739726] ; [4.02739726 2.97260274],0
p8,1,0.434192,0.611583,[33 33] ; [4 2],[33.91666667 32.08333333] ; [3.08333333 2.91666667],0
p10,1,0.444466,0.584725,[18 47] ; [1 6],[17.15277778 47.84722222] ; [1.84722222 5.15277778],0
s3,1,0.476713,0.506374,[37 28] ; [3 4],[36.11111111 28.88888889] ; [3.88888889 3.11111111],0
n6,1,0.525648,0.402797,[47 19] ; [5 1],[47.66666667 18.33333333] ; [4.33333333 1.66666667],0
b2,1,0.594507,0.283361,[11 36] ; [2 4],[11.52830189 35.47169811] ; [1.47169811 4.52830189],0
b3,1,0.594507,0.283361,[11 36] ; [2 4],[11.52830189 35.47169811] ; [1.47169811 4.52830189],0
v1,1,0.627671,0.235232,[25 41] ; [2 5],[24.4109589 41.5890411] ; [2.5890411 4.4109589],0
s4,1,0.64049,0.218102,[14 50] ; [1 6],[13.52112676 50.47887324] ; [1.47887324 5.52112676],0
s7,1,0.6776,0.17284,[23 40] ; [2 5],[22.5 40.5] ; [2.5 4.5],0
p3,1,0.69078,0.158242,[32 33] ; [4 3],[32.5 32.5] ; [3.5 3.5],0
v3,1,0.739306,0.110738,[23 43] ; [2 5],[22.60273973 43.39726027] ; [2.39726027 4.60273973],0
n3,1,0.794935,0.067552,[13  6] ; [3 1],[13.2173913  5.7826087] ; [2.7826087 1.2173913],0
n4,1,0.796744,0.066339,[41 25] ; [4 3],[40.68493151 25.31506849] ; [4.31506849 2.68493151],0
u1,1,0.797803,0.065634,[12 54] ; [1 6],[11.75342466 54.24657534] ; [1.24657534 5.75342466],0
a4,1,0.904531,0.014386,[20 45] ; [2 5],[19.86111111 45.13888889] ; [2.13888889 4.86111111],0
b1,1,0.920657,0.009921,[39 27] ; [4 3],[38.87671233 27.12328767] ; [4.12328767 2.87671233],0
a7,1,0.924365,0.009013,[46 20] ; [5 2],[46.10958904 19.89041096] ; [4.89041096 2.10958904],0
p6,1,0.951018,0.003773,[19 45] ; [2 5],[18.92957746 45.07042254] ; [2.07042254 4.92957746],0
a2,1,0.951451,0.003707,[10 56] ; [1 6],[ 9.94520548 56.05479452] ; [1.05479452 5.94520548],0
s2,1,0.972835,0.00116,[27 37] ; [3 4],[27.04225352 36.95774648] ; [2.95774648 4.04225352],0
