Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001436,10.15873,[7 3] ; [ 5 25],[3. 7.] ; [ 9. 21.],0
v3,1,0.007528,7.142362,[6 5] ; [ 5 29],[2.68888889 8.31111111] ; [ 8.31111111 25.68888889],0
s6,1,0.011953,6.317796,[9 2] ; [13 21],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
r1,1,0.025199,5.010171,[7 4] ; [ 9 25],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
u3,1,0.084903,2.96846,[5 2] ; [ 6 12],[3.08 3.92] ; [ 7.92 10.08],0
s2,1,0.104999,2.627917,[5 6] ; [ 7 27],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
s3,1,0.163148,1.944802,[5 6] ; [ 8 26],[3.17777778 7.82222222] ; [ 9.82222222 24.17777778],0
p2,1,0.172831,1.858217,[10  1] ; [24 10],[8.31111111 2.68888889] ; [25.68888889  8.31111111],0
n1,1,0.196706,1.666667,[2 3] ; [ 2 13],[1. 4.] ; [ 3. 12.],0
v2,1,0.218685,1.512982,[3 8] ; [16 17],[4.75 6.25] ; [14.25 18.75],0
a4,1,0.228136,1.452445,[ 1 10] ; [ 9 25],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
n5,1,0.257264,1.283422,[5 6] ; [22 12],[6.6 4.4] ; [20.4 13.6],0
p9,1,0.262193,1.257143,[9 2] ; [21 12],[7.5 3.5] ; [22.5 10.5],0
d4,1,0.286592,1.135563,[9 2] ; [22 12],[7.57777778 3.42222222] ; [23.42222222 10.57777778],0
d3,1,0.321553,0.98262,[8 3] ; [19 15],[6.6 4.4] ; [20.4 13.6],0
n4,1,0.33904,0.914058,[7 4] ; [16 18],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
u2,1,0.340904,0.907029,[6 1] ; [12  6],[5.04 1.96] ; [12.96  5.04],0
s1,1,0.389625,0.740113,[ 1 10] ; [ 1 33],[ 0.48888889 10.51111111] ; [ 1.51111111 32.48888889],0
d5,1,0.43008,0.622609,[6 5] ; [23 11],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
b1,1,0.43008,0.622609,[6 5] ; [23 11],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
n3,1,0.436275,0.606061,[2 3] ; [9 6],[2.75 2.25] ; [8.25 6.75],0
d2,1,0.464106,0.535975,[2 9] ; [10 24],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
p3,1,0.469221,0.52381,[3 8] ; [13 20],[4. 7.] ; [12. 21.],0
s5,1,0.487842,0.481283,[3 8] ; [ 6 28],[2.2 8.8] ; [ 6.8 27.2],0
b2,1,0.520146,0.413603,[1 4] ; [ 7 13],[1.6 3.4] ; [ 6.4 13.6],0
b3,1,0.520146,0.413603,[1 4] ; [ 7 13],[1.6 3.4] ; [ 6.4 13.6],0
p4,1,0.534925,0.385027,[7 4] ; [18 16],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
a3,1,0.534925,0.385027,[4 7] ; [16 18],[4.88888889 6.11111111] ; [15.11111111 18.88888889],0
a6,1,0.546783,0.363111,[5 6] ; [19 15],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
b4,1,0.546783,0.363111,[6 5] ; [15 19],[5.13333333 5.86666667] ; [15.86666667 18.13333333],0
v1,1,0.623743,0.240642,[3 8] ; [12 22],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
r4,1,0.67096,0.180481,[5 6] ; [13 21],[4.4 6.6] ; [13.6 20.4],0
p6,1,0.677856,0.172549,[2 9] ; [ 8 25],[2.5 8.5] ; [ 7.5 25.5],0
s4,1,0.71077,0.13751,[2 9] ; [ 8 26],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
d1,1,0.751731,0.100083,[3 8] ; [11 23],[3.42222222 7.57777778] ; [10.57777778 23.42222222],0
p11,1,0.751731,0.100083,[8 3] ; [23 11],[7.57777778 3.42222222] ; [23.42222222 10.57777778],0
a5,1,0.802816,0.062353,[5 6] ; [14 20],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
r3,1,0.862308,0.03008,[9 2] ; [27  7],[8.8 2.2] ; [27.2  6.8],0
a7,1,0.926137,0.008594,[6 5] ; [18 16],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
b5,1,0.926137,0.008594,[6 5] ; [18 16],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
p7,1,0.938176,0.006016,[6 5] ; [19 15],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
p8,1,0.938176,0.006016,[5 6] ; [15 19],[4.88888889 6.11111111] ; [15.11111111 18.88888889],0
n6,1,0.948642,0.004149,[7 4] ; [22 12],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
n2,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
