Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2e-05,18.173117,[60 52] ; [18 61],[45.7382199 66.2617801] ; [32.2617801 46.7382199],1
r3,1,8.6e-05,15.413188,[109   2] ; [64 14],[101.6031746   9.3968254] ; [71.3968254  6.6031746],1
p6,1,0.00012,14.796466,[49 59] ; [14 63],[36.77837838 71.22162162] ; [26.22162162 50.77837838],1
s8,1,0.013971,6.041831,[54 57] ; [24 54],[45.80952381 65.19047619] ; [32.19047619 45.80952381],0
u1,1,0.025177,5.01167,[ 10 102] ; [ 1 78],[  6.45026178 105.54973822] ; [ 4.54973822 74.45026178],0
p9,1,0.046186,3.974781,[95 14] ; [60 19],[89.86702128 19.13297872] ; [65.13297872 13.86702128],0
d3,1,0.046425,3.966099,[53 59] ; [26 53],[46.32460733 65.67539267] ; [32.67539267 46.32460733],0
p11,1,0.057873,3.597302,[90 22] ; [54 25],[84.43979058 27.56020942] ; [59.56020942 19.43979058],0
v4,1,0.074535,3.180214,[104   6] ; [68 10],[100.63829787   9.36170213] ; [71.36170213  6.63829787],0
p3,1,0.078197,3.10198,[56 54] ; [30 49],[50.05291005 59.94708995] ; [35.94708995 43.05291005],0
n6,1,0.1042,2.640057,[92 19] ; [57 21],[87.50793651 23.49206349] ; [61.49206349 16.50793651],0
r4,1,0.106046,2.612178,[100  12] ; [64 15],[96.16753927 15.83246073] ; [67.83246073 11.16753927],0
p7,1,0.108681,2.573292,[74 35] ; [44 34],[68.78074866 40.21925134] ; [49.21925134 28.78074866],0
s1,1,0.113137,2.50985,[  4 106] ; [ 7 69],[  6.50537634 103.49462366] ; [ 4.49462366 71.50537634],0
p10,1,0.114897,2.485541,[89 19] ; [56 21],[84.64864865 23.35135135] ; [60.35135135 16.64864865],0
b1,1,0.122809,2.381129,[40 72] ; [37 42],[45.15183246 66.84816754] ; [31.84816754 47.15183246],0
p8,1,0.128182,2.314384,[57 52] ; [32 46],[51.87700535 57.12299465] ; [37.12299465 40.87700535],0
n4,1,0.176307,1.828482,[86 26] ; [53 25],[81.93684211 30.06315789] ; [57.06315789 20.93684211],0
n5,1,0.182297,1.778802,[86 24] ; [55 24],[82.06349206 27.93650794] ; [58.93650794 20.06349206],0
