Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,42.245099,[46 42] ; [74  2],[64.3902439 23.6097561] ; [55.6097561 20.3902439],1
d2,1,0.0,36.407967,[11 78] ; [43 33],[29.12727273 59.87272727] ; [24.87272727 51.12727273],1
d3,1,0.0,34.747241,[43 44] ; [70  6],[60.31288344 26.68711656] ; [52.68711656 23.31288344],1
a5,1,0.000234,13.537515,[43 46] ; [58 18],[54.47878788 34.52121212] ; [46.52121212 29.47878788],1
a2,1,0.001605,9.953629,[ 5 84] ; [17 59],[11.86666667 77.13333333] ; [10.13333333 65.86666667],0
a4,1,0.00235,9.253759,[19 70] ; [33 43],[28.04848485 60.95151515] ; [23.95151515 52.04848485],0
r2,1,0.00253,9.118752,[73 15] ; [74  2],[78.87804878  9.12195122] ; [68.12195122  7.87804878],0
s3,1,0.003572,8.489336,[35 53] ; [47 28],[44.26993865 43.73006135] ; [37.73006135 37.26993865],0
a3,1,0.006573,7.386087,[46 43] ; [55 21],[54.47878788 34.52121212] ; [46.52121212 29.47878788],0
u1,1,0.007907,7.054525,[ 4 85] ; [13 63],[ 9.16969697 79.83030303] ; [ 7.83030303 68.16969697],0
b3,1,0.008975,6.827881,[ 7 30] ; [18 20],[12.33333333 24.66666667] ; [12.66666667 25.33333333],0
b2,1,0.008975,6.827881,[ 7 30] ; [18 20],[12.33333333 24.66666667] ; [12.66666667 25.33333333],0
s2,1,0.011555,6.377859,[34 55] ; [44 32],[42.07272727 46.92727273] ; [35.92727273 40.07272727],0
s5,1,0.011734,6.350582,[22 66] ; [32 41],[29.51552795 58.48447205] ; [24.48447205 48.51552795],0
r3,1,0.012654,6.216808,[77 12] ; [74  2],[81.44848485  7.55151515] ; [69.55151515  6.44848485],0
n5,1,0.01742,5.653575,[41 46] ; [22 54],[33.62576687 53.37423313] ; [29.37423313 46.62576687],0
a7,1,0.025496,4.989898,[61 27] ; [64 12],[67.07317073 20.92682927] ; [57.92682927 18.07317073],0
p3,1,0.026161,4.945375,[25 64] ; [34 42],[31.82424242 57.17575758] ; [27.17575758 48.82424242],0
r1,1,0.040345,4.203325,[57 32] ; [59 16],[62.95121951 26.04878049] ; [53.04878049 21.95121951],0
b5,1,0.041311,4.163217,[47 42] ; [52 24],[53.4 35.6] ; [45.6 30.4],0
a8,1,0.045949,3.983451,[ 7 76] ; [ 1 72],[ 4.25641026 78.74358974] ; [ 3.74358974 69.25641026],0
b1,1,0.055988,3.652428,[36 53] ; [20 56],[30.20606061 58.79393939] ; [25.79393939 50.20606061],0
s6,1,0.06417,3.42619,[49 39] ; [53 23],[54.73170732 33.26829268] ; [47.26829268 28.73170732],0
a6,1,0.067249,3.348927,[51 38] ; [54 22],[56.63636364 32.36363636] ; [48.36363636 27.63636364],0
r4,1,0.087109,2.927004,[68 21] ; [66 10],[72.27878788 16.72121212] ; [61.72121212 14.27878788],0
n2,1,0.100861,2.69188,[26  5] ; [19 10],[23.25  7.75] ; [21.75  7.25],0
u3,1,0.121131,2.402638,[23 18] ; [16  5],[25.79032258 15.20967742] ; [13.20967742  7.79032258],0
v2,1,0.126873,2.330349,[38 48] ; [39 30],[42.72258065 43.27741935] ; [34.27741935 34.72258065],0
s4,1,0.135642,2.226713,[19 70] ; [24 52],[23.19393939 65.80606061] ; [19.80606061 56.19393939],0
a1,1,0.141157,2.165299,[ 5 84] ; [ 1 75],[ 3.23636364 85.76363636] ; [ 2.76363636 73.23636364],0
p9,1,0.249138,1.328132,[80  9] ; [72  4],[81.98787879  7.01212121] ; [70.01212121  5.98787879],0
p2,1,0.250126,1.3226,[67 22] ; [62 13],[70.00609756 18.99390244] ; [58.99390244 16.00609756],0
s8,1,0.274789,1.192685,[29 60] ; [31 45],[32.36363636 56.63636364] ; [27.63636364 48.36363636],0
v3,1,0.347416,0.882875,[22 64] ; [23 48],[24.64968153 61.35031847] ; [20.35031847 50.64968153],0
u2,1,0.354867,0.855978,[25 17] ; [15  6],[26.66666667 15.33333333] ; [13.33333333  7.66666667],0
p6,1,0.385518,0.75303,[20 67] ; [22 54],[22.41717791 64.58282209] ; [19.58282209 56.41717791],0
n3,1,0.406073,0.690268,[22  9] ; [17 11],[20.49152542 10.50847458] ; [18.50847458  9.49152542],0
