Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001021,10.789145,[21 19] ; [33  5],[27.69230769 12.30769231] ; [26.30769231 11.69230769],0
a8,1,0.003038,8.784689,[ 1 33] ; [10 24],[ 5.5 28.5] ; [ 5.5 28.5],0
p6,1,0.003155,8.715318,[10 30] ; [22 16],[16.41025641 23.58974359] ; [15.58974359 22.41025641],0
p2,1,0.042707,4.106974,[27 13] ; [33  5],[30.76923077  9.23076923] ; [29.23076923  8.76923077],0
p10,1,0.043437,4.078301,[24 14] ; [31  6],[27.86666667 10.13333333] ; [27.13333333  9.86666667],0
a3,1,0.052121,3.771887,[26 14] ; [32  6],[29.74358974 10.25641026] ; [28.25641026  9.74358974],0
s6,1,0.056943,3.62426,[31  8] ; [34  2],[33.8  5.2] ; [31.2  4.8],0
p3,1,0.071389,3.250789,[15 25] ; [22 16],[18.97435897 21.02564103] ; [18.02564103 19.97435897],0
d4,1,0.072164,3.233102,[35  5] ; [27 11],[31.79487179  8.20512821] ; [30.20512821  7.79487179],0
s5,1,0.077069,3.125651,[16 21] ; [23 13],[19.76712329 17.23287671] ; [19.23287671 16.76712329],0
n4,1,0.083101,3.00318,[25 15] ; [29  7],[28.42105263 11.57894737] ; [25.57894737 10.42105263],0
r4,1,0.102083,2.672697,[35  5] ; [37  1],[36.92307692  3.07692308] ; [35.07692308  2.92307692],0
v2,1,0.105233,2.624383,[18 20] ; [25 13],[21.5 16.5] ; [21.5 16.5],0
a6,1,0.133165,2.255212,[23 17] ; [28 10],[26.15384615 13.84615385] ; [24.84615385 13.15384615],0
v1,1,0.134087,2.244534,[18 21] ; [24 14],[21.27272727 17.72727273] ; [20.72727273 17.27272727],0
d1,1,0.265286,1.240962,[28 12] ; [22 16],[25.64102564 14.35897436] ; [24.35897436 13.64102564],0
p1,1,0.266687,1.233708,[ 8 32] ; [ 4 33],[ 6.23376623 33.76623377] ; [ 5.76623377 31.23376623],0
n6,1,0.288646,1.125926,[32  8] ; [32  4],[33.68421053  6.31578947] ; [30.31578947  5.68421053],0
s3,1,0.290077,1.119265,[25 15] ; [28 10],[27.17948718 12.82051282] ; [25.82051282 12.17948718],0
u3,1,0.329114,0.952381,[12  2] ; [4 2],[11.2  2.8] ; [4.8 1.2],0
p4,1,0.330412,0.947282,[22 18] ; [25 13],[24.1025641 15.8974359] ; [22.8974359 15.1025641],0
n3,1,0.351425,0.868304,[12  7] ; [8 2],[13.10344828  5.89655172] ; [6.89655172 3.10344828],0
b3,1,0.35506,0.855291,[ 6 19] ; [ 7 12],[ 7.38636364 17.61363636] ; [ 5.61363636 13.38636364],0
b2,1,0.35506,0.855291,[ 6 19] ; [ 7 12],[ 7.38636364 17.61363636] ; [ 5.61363636 13.38636364],0
d3,1,0.376857,0.780929,[29 11] ; [24 14],[27.17948718 12.82051282] ; [25.82051282 12.17948718],0
p8,1,0.379366,0.772755,[12 28] ; [15 23],[13.84615385 26.15384615] ; [13.15384615 24.84615385],0
p9,1,0.387256,0.747541,[29  9] ; [32  6],[30.5  7.5] ; [30.5  7.5],0
d5,1,0.444594,0.584396,[36  4] ; [32  6],[34.87179487  5.12820513] ; [33.12820513  4.87179487],0
a4,1,0.50031,0.45428,[18 22] ; [20 18],[19.48717949 20.51282051] ; [18.51282051 19.48717949],0
s4,1,0.514522,0.424859,[ 9 31] ; [11 27],[10.25641026 29.74358974] ; [ 9.74358974 28.25641026],0
b4,1,0.51603,0.421821,[25 15] ; [21 17],[23.58974359 16.41025641] ; [22.41025641 15.58974359],0
a2,1,0.518676,0.416524,[10 30] ; [12 26],[11.28205128 28.71794872] ; [10.71794872 27.28205128],0
u4,1,0.525896,0.402316,[ 1 39] ; [ 2 36],[ 1.53846154 38.46153846] ; [ 1.46153846 36.53846154],0
a1,1,0.525896,0.402316,[ 1 39] ; [ 2 36],[ 1.53846154 38.46153846] ; [ 1.46153846 36.53846154],0
p5,1,0.55471,0.348947,[ 6 34] ; [ 4 34],[ 5.12820513 34.87179487] ; [ 4.87179487 33.12820513],0
n2,1,0.559305,0.340909,[14  6] ; [8 2],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
r2,1,0.571367,0.3204,[37  2] ; [37  1],[37.48051948  1.51948052] ; [36.51948052  1.48051948],0
r1,1,0.584827,0.298495,[34  6] ; [33  4],[34.80519481  5.19480519] ; [32.19480519  4.80519481],0
s1,1,0.602718,0.270916,[ 2 38] ; [ 1 36],[ 1.55844156 38.44155844] ; [ 1.44155844 35.55844156],0
p12,1,0.622328,0.242609,[ 2 37] ; [ 3 35],[ 2.53246753 36.46753247] ; [ 2.46753247 35.53246753],0
b1,1,0.665665,0.186714,[23 17] ; [20 18],[22.05128205 17.94871795] ; [20.94871795 17.05128205],0
s2,1,0.679178,0.171053,[30 10] ; [30  8],[30.76923077  9.23076923] ; [29.23076923  8.76923077],0
b5,1,0.682806,0.166984,[26 14] ; [23 15],[25.12820513 14.87179487] ; [23.87179487 14.12820513],0
u1,1,0.694428,0.154333,[10 30] ; [11 27],[10.76923077 29.23076923] ; [10.23076923 27.76923077],0
a7,1,0.717788,0.130622,[28 12] ; [28 10],[28.71794872 11.28205128] ; [27.28205128 10.71794872],0
n5,1,0.772949,0.083243,[28 12] ; [27 10],[28.57142857 11.42857143] ; [26.42857143 10.57142857],0
n1,1,0.795809,0.066964,[11  9] ; [5 5],[10.66666667  9.33333333] ; [5.33333333 4.66666667],0
v3,1,0.811782,0.056705,[14 23] ; [15 22],[14.5 22.5] ; [14.5 22.5],0
u2,1,0.829454,0.046398,[8 5] ; [4 2],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
s7,1,0.955945,0.003052,[29  6] ; [28  6],[28.91304348  6.08695652] ; [28.08695652  5.91304348],0
d2,1,0.962133,0.002254,[24 16] ; [23 15],[24.1025641 15.8974359] ; [22.8974359 15.1025641],0
v4,1,0.970686,0.00135,[39  1] ; [37  1],[38.97435897  1.02564103] ; [37.02564103  0.97435897],0
