Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,105.816269,[448 120] ; [ 92 132],[387.27272727 180.72727273] ; [152.72727273  71.27272727],1
d3,1,0.0,96.764364,[446 122] ; [ 95 129],[387.98989899 180.01010101] ; [153.01010101  70.98989899],1
a2,1,0.0,36.809566,[170 400] ; [ 21 203],[137.11586902 432.88413098] ; [ 53.88413098 170.11586902],1
b5,1,0.0,28.02614,[383 187] ; [105 119],[350.32745592 219.67254408] ; [137.67254408  86.32745592],1
u1,1,0.0,26.465622,[123 447] ; [ 14 210],[ 98.35012594 471.64987406] ; [ 38.64987406 185.35012594],1
d1,1,1.1e-05,19.269393,[357 213] ; [102 122],[329.50881612 240.49118388] ; [129.49118388  94.50881612],1
r4,1,1.4e-05,18.911171,[536  34] ; [189  35],[520.46599496  49.53400504] ; [204.53400504  19.46599496],1
r1,1,5.3e-05,16.320222,[475  90] ; [160  64],[454.72116603 110.27883397] ; [180.27883397  43.72116603],1
p2,1,0.000132,14.606872,[476  93] ; [159  63],[456.78255373 112.21744627] ; [178.21744627  43.78255373],1
r3,1,0.000161,14.241573,[548  20] ; [201  23],[537.16161616  30.83838384] ; [211.83838384  12.16161616],1
d4,1,0.000177,14.057265,[479  90] ; [161  61],[460.37926675 108.62073325] ; [179.62073325  42.37926675],1
d5,1,0.000257,13.363062,[476  93] ; [161  62],[457.64267677 111.35732323] ; [179.35732323  43.64267677],1
p4,1,0.00285,8.900939,[324 244] ; [100 121],[305.23700887 262.76299113] ; [118.76299113 102.23700887],0
v4,1,0.006643,7.366957,[549  20] ; [204  18],[541.66498104  27.33501896] ; [211.33501896  10.66498104],0
b1,1,0.00674,7.340958,[198 372] ; [101 123],[214.64735516 355.35264484] ; [ 84.35264484 139.64735516],0
p10,1,0.007389,7.175784,[451 114] ; [156  64],[436.88535032 128.11464968] ; [170.11464968  49.88535032],0
u3,1,0.013689,6.077823,[104  61] ; [33 39],[95.37974684 69.62025316] ; [41.62025316 30.37974684],0
v2,1,0.014306,5.999968,[317 230] ; [103 111],[301.89224704 245.10775296] ; [118.10775296  95.89224704],0
p9,1,0.019202,5.483068,[465  96] ; [167  54],[453.39130435 107.60869565] ; [178.60869565  42.39130435],0
p8,1,0.039785,4.227019,[279 282] ; [ 91 128],[266.11538462 294.88461538] ; [103.88461538 115.11538462],0
