Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,32.442626,[101  23] ; [52 61],[80.05063291 43.94936709] ; [72.94936709 40.05063291],1
p10,1,0.001083,10.679157,[112  13] ; [82 30],[102.32067511  22.67932489] ; [91.67932489 20.32067511],0
p11,1,0.002888,8.877175,[109  16] ; [81 32],[99.78991597 25.21008403] ; [90.21008403 22.78991597],0
n3,1,0.005612,7.670994,[11  7] ; [22  1],[14.48780488  3.51219512] ; [18.51219512  4.48780488],0
p9,1,0.007902,7.055623,[112  13] ; [86 26],[104.43037975  20.56962025] ; [93.56962025 18.43037975],0
p2,1,0.016143,5.787198,[110  14] ; [87 26],[103.07172996  20.92827004] ; [93.92827004 19.07172996],0
n2,1,0.024319,5.071732,[10  8] ; [20  3],[13.17073171  4.82926829] ; [16.82926829  6.17073171],0
b1,1,0.036383,4.379075,[42 83] ; [53 60],[49.89495798 75.10504202] ; [45.10504202 67.89495798],0
r1,1,0.038533,4.281332,[105  20] ; [81 30],[98.51694915 26.48305085] ; [87.48305085 23.51694915],0
u2,1,0.051531,3.79094,[26 14] ; [12 17],[22.02898551 17.97101449] ; [15.97101449 13.02898551],0
v2,1,0.053446,3.729932,[77 44] ; [54 52],[69.82819383 51.17180617] ; [61.17180617 44.82819383],0
s1,1,0.059543,3.550071,[  2 123] ; [  7 104],[  4.76694915 120.23305085] ; [  4.23305085 106.76694915],0
r4,1,0.073072,3.21263,[117   8] ; [98 15],[112.92016807  12.07983193] ; [102.07983193  10.92016807],0
p4,1,0.073711,3.198376,[97 28] ; [76 37],[90.86134454 34.13865546] ; [82.13865546 30.86134454],0
b5,1,0.081678,3.031185,[68 57] ; [74 39],[74.57983193 50.42016807] ; [67.42016807 45.57983193],0
s2,1,0.098706,2.726321,[53 72] ; [59 52],[59.3220339 65.6779661] ; [52.6779661 58.3220339],0
a1,1,0.112811,2.514394,[  2 123] ; [  6 107],[  4.20168067 120.79831933] ; [  3.79831933 109.20168067],0
a5,1,0.133199,2.254814,[100  25] ; [81 32],[95.06302521 29.93697479] ; [85.93697479 27.06302521],0
n6,1,0.220403,1.501744,[107  17] ; [90 22],[103.50847458  20.49152542] ; [93.49152542 18.50847458],0
d1,1,0.234456,1.413624,[77 48] ; [61 52],[72.4789916 52.5210084] ; [65.5210084 47.4789916],0
u4,1,0.2663,1.235706,[  1 124] ; [  3 110],[  2.10084034 122.89915966] ; [  1.89915966 111.10084034],0
d3,1,0.266583,1.234243,[86 39] ; [70 43],[81.93277311 43.06722689] ; [74.06722689 38.93277311],0
s4,1,0.276398,1.184718,[ 15 110] ; [19 93],[ 17.93248945 107.06751055] ; [16.06751055 95.93248945],0
d5,1,0.377454,0.778977,[102  23] ; [97 16],[104.51680672  20.48319328] ; [94.48319328 18.51680672],0
u1,1,0.382485,0.7627,[ 21 104] ; [24 89],[ 23.63445378 101.36554622] ; [21.36554622 91.63445378],0
a6,1,0.426314,0.632845,[90 35] ; [76 37],[87.18487395 37.81512605] ; [78.81512605 34.18487395],0
b4,1,0.428839,0.625966,[70 55] ; [69 44],[73.00420168 51.99579832] ; [65.99579832 47.00420168],0
a3,1,0.441956,0.591198,[85 40] ; [82 31],[87.71008403 37.28991597] ; [79.28991597 33.71008403],0
r2,1,0.455436,0.557088,[119   6] ; [105   8],[117.64705882   7.35294118] ; [106.35294118   6.64705882],0
v3,1,0.45719,0.552766,[56 65] ; [43 61],[53.24 67.76] ; [45.76 58.24],0
p1,1,0.504436,0.445591,[ 13 111] ; [  9 104],[ 11.51054852 112.48945148] ; [ 10.48945148 102.51054852],0
n1,1,0.508701,0.436739,[ 6 12] ; [10 13],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
d4,1,0.587939,0.293574,[103  22] ; [90 23],[101.36554622  23.63445378] ; [91.63445378 21.36554622],0
s8,1,0.589062,0.291812,[57 67] ; [48 65],[54.93670886 69.06329114] ; [50.06329114 62.93670886],0
a4,1,0.619935,0.245959,[52 72] ; [51 62],[53.89029536 70.10970464] ; [49.10970464 63.89029536],0
