Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.511789,[37 88] ; [20  6],[47.18543046 77.81456954] ; [ 9.81456954 16.18543046],1
s2,1,3.5e-05,17.151916,[28 96] ; [16  9],[36.61744966 87.38255034] ; [ 7.38255034 17.61744966],1
s7,1,0.001249,10.416013,[22 94] ; [12 12],[28.17142857 87.82857143] ; [ 5.82857143 18.17142857],0
r4,1,0.002469,9.16354,[77 48] ; [24  2],[83.60927152 41.39072848] ; [17.39072848  8.60927152],0
p4,1,0.003797,8.378252,[39 85] ; [16 10],[45.46666667 78.53333333] ; [ 9.53333333 16.46666667],0
u3,1,0.009155,6.792364,[28 30] ; [10  1],[31.94202899 26.05797101] ; [6.05797101 4.94202899],0
u2,1,0.021152,5.314195,[25 32] ; [9 2],[28.5 28.5] ; [5.5 5.5],0
s3,1,0.022223,5.228261,[44 80] ; [15 10],[49.10067114 74.89932886] ; [ 9.89932886 15.10067114],0
p10,1,0.02584,4.966683,[ 23 101] ; [10 16],[27.28 96.72] ; [ 5.72 20.28],0
p2,1,0.028952,4.770453,[62 63] ; [19  7],[67.05298013 57.94701987] ; [13.94701987 12.05298013],0
p11,1,0.03249,4.572479,[53 72] ; [17  9],[57.94701987 67.05298013] ; [12.05298013 13.94701987],0
d5,1,0.034763,4.456775,[79 46] ; [22  4],[83.60927152 41.39072848] ; [17.39072848  8.60927152],0
v3,1,0.05173,3.784483,[30 91] ; [11 14],[33.97945205 87.02054795] ; [ 7.02054795 17.97945205],0
r3,1,0.052744,3.752017,[93 31] ; [24  2],[96.72 27.28] ; [20.28  5.72],0
a4,1,0.059902,3.540098,[42 81] ; [ 4 22],[37.97315436 85.02684564] ; [ 8.02684564 17.97315436],0
v4,1,0.06737,3.345965,[93 29] ; [24  2],[96.44594595 25.55405405] ; [20.55405405  5.44594595],0
n6,1,0.068112,3.327938,[71 52] ; [20  6],[75.12080537 47.87919463] ; [15.87919463 10.12080537],0
n5,1,0.100855,2.691969,[64 60] ; [18  8],[67.78666667 56.21333333] ; [14.21333333 11.78666667],0
b4,1,0.107298,2.593569,[70 55] ; [19  7],[73.67549669 51.32450331] ; [15.32450331 10.67549669],0
p7,1,0.138915,2.189938,[51 71] ; [15 11],[54.40540541 67.59459459] ; [11.59459459 14.40540541],0
r2,1,0.145004,2.124039,[98 24] ; [24  2],[100.56756757  21.43243243] ; [21.43243243  4.56756757],0
p8,1,0.156828,2.004549,[35 89] ; [11 15],[38.02666667 85.97333333] ; [ 7.97333333 18.02666667],0
r1,1,0.164264,1.934527,[83 41] ; [21  5],[85.97333333 38.02666667] ; [18.02666667  7.97333333],0
n2,1,0.172258,1.863184,[23 24] ; [6 2],[24.78181818 22.21818182] ; [4.21818182 3.78181818],0
d1,1,0.193636,1.689738,[50 75] ; [14 12],[52.98013245 72.01986755] ; [11.01986755 14.98013245],0
b1,1,0.212568,1.55385,[65 60] ; [17  9],[67.8807947 57.1192053] ; [14.1192053 11.8807947],0
v2,1,0.229923,1.441339,[43 79] ; [12 13],[45.6462585 76.3537415] ; [ 9.3537415 15.6462585],0
a1,1,0.267912,1.227408,[  7 118] ; [ 3 23],[  8.2781457 116.7218543] ; [ 1.7218543 24.2781457],0
a2,1,0.274632,1.193462,[ 20 105] ; [ 2 24],[ 18.21192053 106.78807947] ; [ 3.78807947 22.21192053],0
s4,1,0.397875,0.714739,[ 16 108] ; [ 5 21],[ 17.36 106.64] ; [ 3.64 22.36],0
b3,1,0.411925,0.673238,[25 47] ; [ 5 15],[23.47826087 48.52173913] ; [ 6.52173913 13.47826087],0
b2,1,0.411925,0.673238,[25 47] ; [ 5 15],[23.47826087 48.52173913] ; [ 6.52173913 13.47826087],0
p6,1,0.416172,0.6611,[ 20 102] ; [ 6 20],[ 21.43243243 100.56756757] ; [ 4.56756757 21.43243243],0
s1,1,0.447856,0.576073,[ 10 113] ; [ 1 25],[  9.08053691 113.91946309] ; [ 1.91946309 24.08053691],0
d2,1,0.450553,0.56926,[52 72] ; [13 13],[53.73333333 70.26666667] ; [11.26666667 14.73333333],0
p1,1,0.453128,0.562816,[ 10 114] ; [ 1 25],[  9.09333333 114.90666667] ; [ 1.90666667 24.09333333],0
n1,1,0.464022,0.536175,[14 34] ; [3 4],[14.83636364 33.16363636] ; [2.16363636 4.83636364],0
a8,1,0.556957,0.345,[  9 106] ; [ 1 22],[  8.33333333 106.66666667] ; [ 1.66666667 21.33333333],0
v1,1,0.558199,0.342832,[41 84] ; [ 7 19],[39.73509934 85.26490066] ; [ 8.26490066 17.73509934],0
n4,1,0.592317,0.28674,[79 45] ; [18  8],[80.18666667 43.81333333] ; [16.81333333  9.18666667],0
d3,1,0.603806,0.269294,[70 55] ; [16 10],[71.19205298 53.80794702] ; [14.80794702 11.19205298],0
a3,1,0.733213,0.116182,[67 57] ; [15 11],[67.78666667 56.21333333] ; [14.21333333 11.78666667],0
p3,1,0.812974,0.055975,[35 88] ; [ 8 18],[35.4966443 87.5033557] ; [ 7.5033557 18.4966443],0
b5,1,0.8406,0.040452,[70 55] ; [14 12],[69.53642384 55.46357616] ; [14.46357616 11.53642384],0
u1,1,0.863751,0.029447,[ 13 112] ; [ 3 23],[ 13.24503311 111.75496689] ; [ 2.75496689 23.24503311],0
d4,1,0.882368,0.021895,[84 40] ; [18  8],[84.32 39.68] ; [17.68  8.32],0
n3,1,0.889921,0.019156,[25 21] ; [4 3],[25.16981132 20.83018868] ; [3.83018868 3.16981132],0
a7,1,0.895925,0.017111,[78 46] ; [16 10],[77.70666667 46.29333333] ; [16.29333333  9.70666667],0
a5,1,0.89954,0.015937,[69 56] ; [14 12],[68.70860927 56.29139073] ; [14.29139073 11.70860927],0
a6,1,0.993086,7.5e-05,[72 53] ; [15 11],[72.01986755 52.98013245] ; [14.98013245 11.01986755],0
