Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.189189,[123   6] ; [25 18],[111.  18.] ; [37.  6.],1
a5,1,3.9e-05,16.906946,[93 36] ; [16 27],[81.75 47.25] ; [27.25 15.75],1
r2,1,0.002895,8.872671,[121   6] ; [33  8],[116.41666667  10.58333333] ; [37.58333333  3.41666667],0
r3,1,0.003775,8.389033,[127   2] ; [38  5],[123.75   5.25] ; [41.25  1.75],0
a4,1,0.078079,3.104445,[49 80] ; [10 33],[44.25 84.75] ; [14.75 28.25],0
v2,1,0.082727,3.010499,[67 55] ; [17 26],[62.10909091 59.89090909] ; [21.89090909 21.10909091],0
a3,1,0.12034,2.412893,[86 43] ; [23 20],[81.75 47.25] ; [27.25 15.75],0
v1,1,0.150426,2.067925,[54 70] ; [13 29],[50.04819277 73.95180723] ; [16.95180723 25.04819277],0
v4,1,0.161994,1.955517,[120   7] ; [37  5],[117.98224852   9.01775148] ; [39.01775148  2.98224852],0
a1,1,0.166407,1.915019,[  5 124] ; [ 4 39],[  6.75 122.25] ; [ 2.25 40.75],0
b4,1,0.173228,1.854781,[84 45] ; [23 20],[80.25 48.75] ; [26.75 16.25],0
a6,1,0.173228,1.854781,[84 45] ; [23 20],[80.25 48.75] ; [26.75 16.25],0
b1,1,0.184182,1.763549,[37 92] ; [17 26],[40.5 88.5] ; [13.5 29.5],0
d1,1,0.186341,1.746311,[66 63] ; [17 26],[62.25 66.75] ; [20.75 22.25],0
p3,1,0.20502,1.606251,[53 76] ; [13 30],[49.5 79.5] ; [16.5 26.5],0
p9,1,0.208943,1.578735,[104  25] ; [30 12],[101.0877193  27.9122807] ; [32.9122807  9.0877193],0
p7,1,0.212781,1.552404,[79 48] ; [21 20],[75.5952381 51.4047619] ; [24.4047619 16.5952381],0
d4,1,0.218775,1.51239,[107  22] ; [32 11],[104.25  24.75] ; [34.75  8.25],0
p4,1,0.328808,0.953585,[59 70] ; [16 27],[56.25 72.75] ; [18.75 24.25],0
