Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.740165,[36 15] ; [ 2 14],[28.92537313 22.07462687] ; [9.07462687 6.92537313],1
r1,1,0.003779,8.386943,[39 12] ; [ 6 10],[34.25373134 16.74626866] ; [10.74626866  5.25373134],0
r3,1,0.004553,8.048819,[41 10] ; [7 9],[36.53731343 14.46268657] ; [11.46268657  4.53731343],0
v4,1,0.018342,5.563192,[37 12] ; [7 9],[33.16923077 15.83076923] ; [10.83076923  5.16923077],0
p6,1,0.05328,3.735129,[ 6 44] ; [ 5 10],[ 8.46153846 41.53846154] ; [ 2.53846154 12.46153846],0
a5,1,0.054228,3.70568,[33 18] ; [ 6 10],[29.68656716 21.31343284] ; [9.31343284 6.68656716],0
u3,1,0.112654,2.516587,[13  7] ; [3 6],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
n2,1,0.160485,1.96965,[14  9] ; [3 6],[12.21875 10.78125] ; [4.78125 4.21875],0
p3,1,0.167896,1.901634,[16 35] ; [ 2 13],[13.90909091 37.09090909] ; [ 4.09090909 10.90909091],0
d3,1,0.176113,1.830125,[29 22] ; [ 6 10],[26.64179104 24.35820896] ; [8.35820896 7.64179104],0
s4,1,0.1949,1.680186,[ 6 45] ; [ 4 12],[ 7.6119403 43.3880597] ; [ 2.3880597 13.6119403],0
n4,1,0.224464,1.475599,[28 23] ; [ 6 10],[25.88059701 25.11940299] ; [8.11940299 7.88059701],0
s3,1,0.228661,1.449173,[26 25] ; [ 5 10],[23.95454545 27.04545455] ; [7.04545455 7.95454545],0
a8,1,0.233038,1.422222,[ 2 46] ; [ 2 14],[ 3. 45.] ; [ 1. 15.],0
p4,1,0.26606,1.236946,[17 34] ; [ 3 13],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
d5,1,0.286642,1.135328,[36 15] ; [9 7],[34.25373134 16.74626866] ; [10.74626866  5.25373134],0
a6,1,0.292267,1.109149,[33 18] ; [8 8],[31.20895522 19.79104478] ; [9.79104478 6.20895522],0
v3,1,0.294894,1.097143,[12 36] ; [ 2 14],[10.5 37.5] ; [ 3.5 12.5],0
b1,1,0.32716,0.960105,[28 23] ; [11  5],[29.68656716 21.31343284] ; [9.31343284 6.68656716],0
a3,1,0.330797,0.945776,[31 20] ; [7 8],[29.36363636 21.63636364] ; [8.63636364 6.36363636],0
s8,1,0.334188,0.9326,[ 8 43] ; [ 1 15],[ 6.85074627 44.14925373] ; [ 2.14925373 13.85074627],0
d2,1,0.346276,0.887058,[26 25] ; [ 6 10],[24.35820896 26.64179104] ; [7.64179104 8.35820896],0
p7,1,0.36451,0.822295,[19 32] ; [8 8],[20.55223881 30.44776119] ; [6.44776119 9.55223881],0
s2,1,0.401236,0.704619,[15 36] ; [ 3 13],[13.70149254 37.29850746] ; [ 4.29850746 11.70149254],0
p2,1,0.52114,0.411637,[27 24] ; [7 9],[25.88059701 25.11940299] ; [8.11940299 7.88059701],0
u2,1,0.555086,0.348284,[11  9] ; [6 3],[11.72413793  8.27586207] ; [5.27586207 3.72413793],0
d1,1,0.565432,0.330386,[20 31] ; [ 5 11],[19.02985075 31.97014925] ; [ 5.97014925 10.02985075],0
s1,1,0.585769,0.297,[ 4 46] ; [ 2 14],[ 4.54545455 45.45454545] ; [ 1.45454545 14.54545455],0
a2,1,0.62266,0.242146,[ 7 44] ; [ 3 13],[ 7.6119403 43.3880597] ; [ 2.3880597 13.6119403],0
v1,1,0.626971,0.236191,[16 35] ; [ 4 12],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
