Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,23.329599,[14 16] ; [88 12],[23.53846154  6.46153846] ; [78.46153846 21.53846154],1
a4,1,3e-06,21.86774,[ 4 26] ; [62 38],[15.23076923 14.76923077] ; [50.76923077 49.23076923],1
d2,1,4e-06,21.094566,[ 8 22] ; [73 27],[18.69230769 11.30769231] ; [62.30769231 37.69230769],1
n4,1,6.2e-05,16.026861,[17 13] ; [89 11],[24.46153846  5.53846154] ; [81.53846154 18.46153846],1
p11,1,0.000411,12.481244,[11 19] ; [72 28],[19.15384615 10.84615385] ; [63.84615385 36.15384615],1
u1,1,0.00562,7.668301,[ 2 28] ; [32 68],[ 7.84615385 22.15384615] ; [26.15384615 73.84615385],0
a6,1,0.005696,7.644,[12 18] ; [68 32],[18.46153846 11.53846154] ; [61.53846154 38.46153846],0
r2,1,0.007066,7.256236,[25  5] ; [95  3],[28.125  1.875] ; [91.875  6.125],0
d1,1,0.025546,4.986499,[14 16] ; [69 31],[19.15384615 10.84615385] ; [63.84615385 36.15384615],0
n5,1,0.035974,4.398313,[18 12] ; [79 21],[22.38461538  7.61538462] ; [74.61538462 25.38461538],0
v1,1,0.074164,3.18836,[11 19] ; [51 41],[15.24590164 14.75409836] ; [46.75409836 45.24590164],0
n2,1,0.091261,2.851989,[6 6] ; [23  7],[8.28571429 3.71428571] ; [20.71428571  9.28571429],0
r3,1,0.108655,2.573682,[25  5] ; [93  7],[27.23076923  2.76923077] ; [90.76923077  9.23076923],0
v2,1,0.114311,2.493589,[11 18] ; [53 44],[14.73015873 14.26984127] ; [49.26984127 47.73015873],0
v4,1,0.118747,2.433771,[26  4] ; [94  5],[27.90697674  2.09302326] ; [92.09302326  6.90697674],0
a8,1,0.153919,2.032974,[ 1 26] ; [12 76],[ 3.05217391 23.94782609] ; [ 9.94782609 78.05217391],0
p9,1,0.165672,1.921675,[21  8] ; [83 16],[23.5625  5.4375] ; [80.4375 18.5625],0
n3,1,0.168496,1.896278,[6 6] ; [21  8],[7.90243902 4.09756098] ; [19.09756098  9.90243902],0
p8,1,0.173671,1.85097,[ 5 24] ; [30 70],[ 7.86821705 21.13178295] ; [27.13178295 72.86821705],0
