Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.4e-05,15.460161,[2 4] ; [54  5],[5.16923077 0.83076923] ; [50.83076923  8.16923077],1
r1,1,0.027405,4.865123,[2 4] ; [44 14],[4.3125 1.6875] ; [41.6875 16.3125],0
b1,1,0.029216,4.754862,[5 1] ; [22 37],[2.49230769 3.50769231] ; [24.50769231 34.49230769],0
n2,1,0.054475,3.698097,[1 1] ; [16  1],[1.78947368 0.21052632] ; [15.21052632  1.78947368],0
p11,1,0.058897,3.568188,[2 4] ; [42 17],[4.06153846 1.93846154] ; [39.93846154 19.06153846],0
r3,1,0.061285,3.502268,[4 2] ; [54  5],[5.35384615 0.64615385] ; [52.64615385  6.35384615],0
p3,1,0.121098,2.403065,[4 2] ; [20 38],[2.25 3.75] ; [21.75 36.25],0
s7,1,0.137564,2.204995,[2 3] ; [41 16],[3.46774194 1.53225806] ; [39.53225806 17.46774194],0
v1,1,0.148305,2.089597,[1 5] ; [28 31],[2.67692308 3.32307692] ; [26.32307692 32.67692308],0
n3,1,0.160711,1.967525,[1 1] ; [15  2],[1.68421053 0.31578947] ; [14.31578947  2.68421053],0
a8,1,0.193762,1.688777,[2 4] ; [ 7 46],[0.91525424 5.08474576] ; [ 8.08474576 44.91525424],0
s6,1,0.21369,1.546247,[3 2] ; [48 10],[4.04761905 0.95238095] ; [46.95238095 11.04761905],0
s8,1,0.220653,1.50012,[2 4] ; [35 24],[3.41538462 2.58461538] ; [33.58461538 25.41538462],0
p8,1,0.220744,1.499529,[1 5] ; [25 34],[2.4 3.6] ; [23.6 35.4],0
d3,1,0.297941,1.083386,[3 3] ; [17 41],[1.875 4.125] ; [18.125 39.875],0
p10,1,0.33636,0.924256,[4 2] ; [48 10],[4.875 1.125] ; [47.125 10.875],0
v3,1,0.350595,0.871302,[1 5] ; [21 38],[2.03076923 3.96923077] ; [19.96923077 39.03076923],0
d1,1,0.386551,0.749765,[1 5] ; [ 4 55],[0.46153846 5.53846154] ; [ 4.53846154 54.46153846],0
a2,1,0.386551,0.749765,[1 5] ; [ 4 55],[0.46153846 5.53846154] ; [ 4.53846154 54.46153846],0
s5,1,0.399876,0.708701,[1 4] ; [23 36],[1.875 3.125] ; [22.125 36.875],0
p4,1,0.413614,0.668389,[4 2] ; [29 30],[3.04615385 2.95384615] ; [29.95384615 29.04615385],0
s4,1,0.418195,0.655381,[1 5] ; [19 39],[1.875 4.125] ; [18.125 39.875],0
n4,1,0.418195,0.655381,[5 1] ; [39 19],[4.125 1.875] ; [39.875 18.125],0
p7,1,0.450779,0.568691,[3 3] ; [38 20],[3.84375 2.15625] ; [37.15625 20.84375],0
p9,1,0.460713,0.544161,[4 2] ; [47 12],[4.70769231 1.29230769] ; [46.29230769 12.70769231],0
p6,1,0.486009,0.48535,[3 3] ; [21 38],[2.21538462 3.78461538] ; [21.78461538 37.21538462],0
b5,1,0.508486,0.437181,[4 2] ; [31 28],[3.23076923 2.76923077] ; [31.76923077 27.23076923],0
s1,1,0.519784,0.414322,[1 5] ; [ 5 53],[0.5625 5.4375] ; [ 5.4375 52.5625],0
a7,1,0.564055,0.332732,[3 3] ; [36 22],[3.65625 2.34375] ; [35.34375 22.65625],0
p2,1,0.578878,0.308052,[5 1] ; [43 16],[4.43076923 1.56923077] ; [43.56923077 15.43076923],0
d2,1,0.578878,0.308052,[1 5] ; [16 43],[1.56923077 4.43076923] ; [15.43076923 43.56923077],0
a4,1,0.635204,0.22507,[1 5] ; [15 44],[1.47692308 4.52307692] ; [14.52307692 44.47692308],0
a6,1,0.668588,0.183258,[4 2] ; [34 25],[3.50769231 2.49230769] ; [34.49230769 24.50769231],0
n5,1,0.680872,0.169145,[5 1] ; [44 14],[4.59375 1.40625] ; [44.40625 13.59375],0
a5,1,0.726435,0.122411,[4 2] ; [35 24],[3.6 2.4] ; [35.4 23.6],0
n1,1,0.73244,0.116883,[1 1] ; [ 6 10],[0.77777778 1.22222222] ; [6.22222222 9.77777778],0
v2,1,0.745805,0.10509,[3 3] ; [25 33],[2.625 3.375] ; [25.375 32.625],0
d5,1,0.745805,0.10509,[3 3] ; [33 25],[3.375 2.625] ; [32.625 25.375],0
a3,1,0.780629,0.077562,[3 3] ; [33 26],[3.32307692 2.67692308] ; [32.67692308 26.32307692],0
n6,1,0.8337,0.044082,[5 1] ; [51  8],[5.16923077 0.83076923] ; [50.83076923  8.16923077],0
p1,1,0.927209,0.008346,[1 5] ; [ 9 50],[0.92307692 5.07692308] ; [ 9.07692308 49.92307692],0
u2,1,0.927575,0.008262,[1 2] ; [ 8 18],[0.93103448 2.06896552] ; [ 8.06896552 17.93103448],0
b4,1,0.968445,0.001565,[3 3] ; [30 29],[3.04615385 2.95384615] ; [29.95384615 29.04615385],0
