Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.183338,[ 19 103] ; [21 18],[30.31055901 91.68944099] ; [ 9.68944099 29.31055901],1
s2,1,0.007361,7.182657,[35 86] ; [20 18],[41.85534591 79.14465409] ; [13.14465409 24.85534591],0
p7,1,0.011471,6.390866,[22 96] ; [15 24],[27.8089172 90.1910828] ; [ 9.1910828 29.8089172],0
r3,1,0.028395,4.803903,[88 33] ; [35  4],[93.01875 27.98125] ; [29.98125  9.01875],0
s6,1,0.030722,4.668423,[46 75] ; [22 16],[51.74842767 69.25157233] ; [16.25157233 21.74842767],0
p8,1,0.037657,4.320455,[ 15 107] ; [10 28],[ 19.0625 102.9375] ; [ 5.9375 32.0625],0
r4,1,0.070594,3.269151,[78 44] ; [31  8],[82.59627329 39.40372671] ; [26.40372671 12.59627329],0
s3,1,0.078121,3.103556,[45 74] ; [21 18],[49.70886076 69.29113924] ; [16.29113924 22.70886076],0
s1,1,0.095093,2.785964,[  8 112] ; [ 6 33],[ 10.56603774 109.43396226] ; [ 3.43396226 35.56603774],0
a5,1,0.101313,2.684759,[73 49] ; [29 10],[77.29192547 44.70807453] ; [24.70807453 14.29192547],0
n6,1,0.105163,2.625445,[75 46] ; [29  9],[79.14465409 41.85534591] ; [24.85534591 13.14465409],0
v4,1,0.132648,2.261235,[88 33] ; [33  6],[91.50625 29.49375] ; [29.49375  9.50625],0
p10,1,0.139167,2.187143,[57 62] ; [24 15],[61.00632911 57.99367089] ; [19.99367089 19.00632911],0
s8,1,0.167797,1.902512,[30 92] ; [14 25],[33.34161491 88.65838509] ; [10.65838509 28.34161491],0
p5,1,0.185088,1.756292,[  4 117] ; [ 3 32],[  5.42948718 115.57051282] ; [ 1.57051282 33.42948718],0
b4,1,0.187932,1.733757,[71 51] ; [18 21],[67.44099379 54.55900621] ; [21.55900621 17.44099379],0
u1,1,0.201724,1.629851,[ 15 107] ; [ 8 31],[ 17.42857143 104.57142857] ; [ 5.57142857 33.42857143],0
s5,1,0.234534,1.413148,[19 98] ; [ 9 27],[21.41176471 95.58823529] ; [ 6.58823529 29.41176471],0
n3,1,0.298837,1.079375,[28 22] ; [10  4],[29.6875 20.3125] ; [8.3125 5.6875],0
p11,1,0.328737,0.953866,[61 61] ; [23 16],[63.65217391 58.34782609] ; [20.34782609 18.65217391],0
v1,1,0.349938,0.873681,[37 84] ; [14 22],[39.30573248 81.69426752] ; [11.69426752 24.30573248],0
a2,1,0.419445,0.651868,[26 96] ; [ 6 33],[24.2484472 97.7515528] ; [ 7.7515528 31.2484472],0
a8,1,0.44598,0.580849,[ 11 106] ; [ 2 35],[  9.87662338 107.12337662] ; [ 3.12337662 33.87662338],0
r1,1,0.466521,0.530204,[76 45] ; [27 12],[77.89375 43.10625] ; [25.10625 13.89375],0
b5,1,0.467834,0.527088,[67 55] ; [24 15],[68.95652174 53.04347826] ; [22.04347826 16.95652174],0
n4,1,0.475594,0.508949,[79 42] ; [23 16],[77.1375 43.8625] ; [24.8625 14.1375],0
u3,1,0.510168,0.433723,[21 24] ; [9 7],[22.13114754 22.86885246] ; [7.86885246 8.13114754],0
d5,1,0.510216,0.433623,[80 41] ; [28 11],[81.675 39.325] ; [26.325 12.675],0
n1,1,0.529449,0.39545,[26 28] ; [5 8],[24.98507463 29.01492537] ; [6.01492537 6.98507463],0
u2,1,0.550097,0.357143,[20 25] ; [8 7],[21. 24.] ; [7. 8.],0
n2,1,0.554745,0.348886,[34 20] ; [10  4],[34.94117647 19.05882353] ; [9.05882353 4.94117647],0
a3,1,0.559814,0.340026,[77 43] ; [23 16],[75.47169811 44.52830189] ; [24.52830189 14.47169811],0
b3,1,0.579344,0.307297,[29 47] ; [ 8 17],[27.84158416 48.15841584] ; [ 9.15841584 15.84158416],0
b2,1,0.579344,0.307297,[29 47] ; [ 8 17],[27.84158416 48.15841584] ; [ 9.15841584 15.84158416],0
p1,1,0.627992,0.234793,[  9 113] ; [ 2 37],[  8.33540373 113.66459627] ; [ 2.66459627 36.33540373],0
d4,1,0.672776,0.178372,[88 33] ; [27 12],[86.96875 34.03125] ; [28.03125 10.96875],0
b1,1,0.675768,0.174929,[61 61] ; [18 21],[59.86335404 62.13664596] ; [19.13664596 19.86335404],0
r2,1,0.690118,0.158958,[100  18] ; [32  7],[99.21019108 18.78980892] ; [32.78980892  6.21019108],0
a6,1,0.693301,0.155535,[67 54] ; [23 16],[68.0625 52.9375] ; [21.9375 17.0625],0
d2,1,0.786028,0.073697,[55 64] ; [19 20],[55.73417722 63.26582278] ; [18.26582278 20.73417722],0
d3,1,0.790846,0.070337,[65 56] ; [20 19],[64.28125 56.71875] ; [20.71875 18.28125],0
p12,1,0.791436,0.069932,[  5 116] ; [ 2 37],[  5.29375 115.70625] ; [ 1.70625 37.29375],0
a4,1,0.800222,0.06404,[52 68] ; [16 23],[51.32075472 68.67924528] ; [16.67924528 22.32075472],0
n5,1,0.813318,0.055766,[77 44] ; [24 15],[76.38125 44.61875] ; [24.61875 14.38125],0
u4,1,0.822804,0.050149,[  4 118] ; [ 1 38],[  3.78881988 118.21118012] ; [ 1.21118012 37.78881988],0
v3,1,0.844045,0.0387,[36 78] ; [12 24],[36.48 77.52] ; [11.52 24.48],0
v2,1,0.848856,0.03632,[46 68] ; [16 22],[46.5 67.5] ; [15.5 22.5],0
p9,1,0.856577,0.032664,[60 55] ; [21 18],[60.48701299 54.51298701] ; [20.51298701 18.48701299],0
d1,1,0.879934,0.022817,[58 64] ; [18 21],[57.59006211 64.40993789] ; [18.40993789 20.59006211],0
a7,1,0.880492,0.022604,[73 48] ; [23 16],[72.6 48.4] ; [23.4 15.6],0
s7,1,0.935112,0.006628,[35 79] ; [11 24],[35.19463087 78.80536913] ; [10.80536913 24.19463087],0
a1,1,0.939116,0.005834,[ 12 110] ; [ 4 35],[ 12.1242236 109.8757764] ; [ 3.8757764 35.1242236],0
s4,1,0.973424,0.00111,[22 99] ; [ 7 31],[22.06918239 98.93081761] ; [ 6.93081761 31.06918239],0
