Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.081797,[94 13] ; [ 9 19],[81.63703704 25.36296296] ; [21.36296296  6.63703704],1
n6,1,0.0,30.90684,[102   6] ; [15 13],[92.91176471 15.08823529] ; [24.08823529  3.91176471],1
r1,1,3.2e-05,17.283059,[93 15] ; [14 14],[84.97058824 23.02941176] ; [22.02941176  5.97058824],1
p9,1,0.000428,12.406495,[98 10] ; [18 10],[92.11764706 15.88235294] ; [23.88235294  4.11764706],1
r4,1,0.000708,11.468738,[103   5] ; [21  7],[98.47058824  9.52941176] ; [25.52941176  2.47058824],1
r2,1,0.000982,10.861667,[104   1] ; [24  4],[101.05263158   3.94736842] ; [26.94736842  1.05263158],1
d1,1,0.002054,9.500735,[73 35] ; [10 18],[65.91176471 42.08823529] ; [17.08823529 10.91176471],0
p4,1,0.002897,8.871159,[90 18] ; [16 12],[84.17647059 23.82352941] ; [21.82352941  6.17647059],0
v4,1,0.006298,7.462883,[107   1] ; [25  3],[104.82352941   3.17647059] ; [27.17647059  0.82352941],0
v1,1,0.007221,7.217123,[49 58] ; [ 5 23],[42.8 64.2] ; [11.2 16.8],0
a3,1,0.007808,7.07692,[78 29] ; [13 15],[72.12592593 34.87407407] ; [18.87407407  9.12592593],0
p2,1,0.008318,6.963646,[102   6] ; [22  6],[98.47058824  9.52941176] ; [25.52941176  2.47058824],0
a5,1,0.010202,6.59923,[81 27] ; [14 14],[75.44117647 32.55882353] ; [19.55882353  8.44117647],0
p10,1,0.014128,6.022082,[90 16] ; [18 10],[85.43283582 20.56716418] ; [22.56716418  5.43283582],0
v3,1,0.015364,5.87422,[26 82] ; [ 1 27],[21.44117647 86.55882353] ; [ 5.55882353 22.44117647],0
p11,1,0.018219,5.574947,[91 17] ; [18 10],[86.55882353 21.44117647] ; [22.44117647  5.55882353],0
u2,1,0.019624,5.445,[13 17] ; [12  3],[16.66666667 13.33333333] ; [8.33333333 6.66666667],0
d5,1,0.020963,5.3299,[89 18] ; [17 10],[84.64179104 22.35820896] ; [21.35820896  5.64179104],0
p5,1,0.023176,5.155281,[24 84] ; [ 1 27],[19.85294118 88.14705882] ; [ 5.14705882 22.85294118],0
a4,1,0.030248,4.69512,[59 48] ; [ 9 19],[53.8962963 53.1037037] ; [14.1037037 13.8962963],0
d4,1,0.037099,4.34584,[91 16] ; [19  9],[87.18518519 19.81481481] ; [22.81481481  5.18518519],0
s3,1,0.037539,4.325768,[69 38] ; [12 16],[64.2 42.8] ; [16.8 11.2],0
b4,1,0.062809,3.461608,[56 52] ; [ 9 19],[51.61764706 56.38235294] ; [13.38235294 14.61764706],0
s6,1,0.068985,3.307,[79 24] ; [16 11],[75.26923077 27.73076923] ; [19.73076923  7.26923077],0
b1,1,0.071327,3.252211,[45 63] ; [17 11],[49.23529412 58.76470588] ; [12.76470588 15.23529412],0
s7,1,0.075836,3.151946,[64 40] ; [12 16],[59.87878788 44.12121212] ; [16.12121212 11.87878788],0
s4,1,0.090076,2.87302,[24 79] ; [11 17],[27.51908397 75.48091603] ; [ 7.48091603 20.51908397],0
p3,1,0.112142,2.523768,[68 40] ; [13 15],[64.32352941 43.67647059] ; [16.67647059 11.32352941],0
a6,1,0.134788,2.23647,[67 41] ; [13 15],[63.52941176 44.47058824] ; [16.47058824 11.52941176],0
d2,1,0.151006,2.062059,[55 53] ; [10 18],[51.61764706 56.38235294] ; [13.38235294 14.61764706],0
s8,1,0.263186,1.251921,[57 51] ; [11 16],[54.4 53.6] ; [13.6 13.4],0
b5,1,0.275231,1.190487,[57 51] ; [18 10],[59.55882353 48.44117647] ; [15.44117647 12.55882353],0
d3,1,0.285177,1.142253,[78 30] ; [16 10],[75.76119403 32.23880597] ; [18.23880597  7.76119403],0
n2,1,0.287728,1.13022,[14  6] ; [12  2],[15.29411765  4.70588235] ; [10.70588235  3.29411765],0
s5,1,0.351932,0.866478,[48 54] ; [10 17],[45.86046512 56.13953488] ; [12.13953488 14.86046512],0
p8,1,0.355461,0.853867,[79 29] ; [18 10],[77.02941176 30.97058824] ; [19.97058824  8.02941176],0
p12,1,0.383983,0.757911,[ 9 98] ; [ 1 27],[ 7.92592593 99.07407407] ; [ 2.07407407 25.92592593],0
a7,1,0.413839,0.667745,[73 35] ; [16 11],[71.2 36.8] ; [17.8  9.2],0
n3,1,0.424427,0.638024,[11  8] ; [10  4],[12.09090909  6.90909091] ; [8.90909091 5.09090909],0
r3,1,0.436415,0.605691,[103   4] ; [26  2],[102.24444444   4.75555556] ; [26.75555556  1.24444444],0
p1,1,0.503346,0.447874,[17 91] ; [ 3 25],[15.88235294 92.11764706] ; [ 4.11764706 23.88235294],0
n1,1,0.563293,0.334035,[ 8 12] ; [7 7],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
a1,1,0.591717,0.287671,[  5 103] ; [ 2 26],[  5.55882353 102.44117647] ; [ 1.44117647 26.55882353],0
s2,1,0.715129,0.133208,[62 46] ; [15 13],[61.14705882 46.85294118] ; [15.85294118 12.14705882],0
a8,1,0.720681,0.127841,[13 85] ; [ 3 25],[12.44444444 85.55555556] ; [ 3.55555556 24.44444444],0
p7,1,0.786803,0.073151,[88 18] ; [23  4],[88.46616541 17.53383459] ; [22.53383459  4.46616541],0
s1,1,0.794334,0.067958,[  5 101] ; [ 1 27],[  4.74626866 101.25373134] ; [ 1.25373134 26.74626866],0
b3,1,0.80116,0.063426,[34 38] ; [7 9],[33.54545455 38.45454545] ; [7.45454545 8.54545455],0
b2,1,0.80116,0.063426,[34 38] ; [7 9],[33.54545455 38.45454545] ; [7.45454545 8.54545455],0
u3,1,0.929711,0.007781,[17 12] ; [9 6],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
