Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.00619,7.494264,[ 6 10] ; [79 31],[10.79365079  5.20634921] ; [74.20634921 35.79365079],0
p10,1,0.01098,6.468607,[9 7] ; [91 18],[12.8  3.2] ; [87.2 21.8],0
u3,1,0.020069,5.40592,[6 1] ; [17 27],[3.15686275 3.84313725] ; [19.84313725 24.15686275],0
p8,1,0.022925,5.174204,[ 3 13] ; [53 55],[7.22580645 8.77419355] ; [48.77419355 59.22580645],0
n1,1,0.023342,5.142857,[5 1] ; [10 20],[2.5 3.5] ; [12.5 17.5],0
v3,1,0.091844,2.841749,[ 2 12] ; [40 68],[4.81967213 9.18032787] ; [37.18032787 70.81967213],0
n5,1,0.093192,2.818351,[8 8] ; [78 32],[10.92063492  5.07936508] ; [75.07936508 34.92063492],0
d2,1,0.09909,2.720124,[9 7] ; [38 71],[6.016 9.984] ; [40.984 68.016],0
u1,1,0.119812,2.419773,[ 2 14] ; [  4 106],[ 0.76190476 15.23809524] ; [  5.23809524 104.76190476],0
a6,1,0.13894,2.189657,[12  4] ; [61 49],[9.26984127 6.73015873] ; [63.73015873 46.26984127],0
p7,1,0.14956,2.076729,[6 9] ; [65 44],[8.58870968 6.41129032] ; [62.41129032 46.58870968],0
b1,1,0.151802,2.054051,[8 8] ; [35 75],[ 5.46031746 10.53968254] ; [37.53968254 72.46031746],0
p9,1,0.15945,1.979435,[12  4] ; [95 13],[13.80645161  2.19354839] ; [93.19354839 14.80645161],0
v1,1,0.179492,1.801823,[ 4 11] ; [49 60],[6.41129032 8.58870968] ; [46.58870968 62.41129032],0
a7,1,0.184374,1.762014,[8 8] ; [73 36],[10.368  5.632] ; [70.632 38.368],0
v2,1,0.204393,1.610704,[ 4 11] ; [47 60],[6.2704918 8.7295082] ; [44.7295082 62.2704918],0
s4,1,0.220692,1.499865,[ 5 11] ; [20 90],[ 3.17460317 12.82539683] ; [21.82539683 88.17460317],0
a2,1,0.235318,1.408426,[ 3 13] ; [ 10 100],[ 1.65079365 14.34920635] ; [11.34920635 98.65079365],0
p1,1,0.235318,1.408426,[ 3 13] ; [ 10 100],[ 1.65079365 14.34920635] ; [11.34920635 98.65079365],0
d3,1,0.259115,1.273481,[7 9] ; [64 45],[9.088 6.912] ; [61.912 47.088],0
s3,1,0.2999,1.074638,[10  6] ; [53 56],[8.064 7.936] ; [54.936 54.064],0
n3,1,0.317916,0.9975,[7 1] ; [21  9],[5.89473684 2.10526316] ; [22.10526316  7.89473684],0
b2,1,0.35407,0.858817,[3 9] ; [25 39],[4.42105263 7.57894737] ; [23.57894737 40.42105263],0
b3,1,0.35407,0.858817,[3 9] ; [25 39],[4.42105263 7.57894737] ; [23.57894737 40.42105263],0
a4,1,0.384915,0.754944,[7 9] ; [36 74],[ 5.46031746 10.53968254] ; [37.53968254 72.46031746],0
p2,1,0.402347,0.701301,[11  5] ; [86 24],[12.31746032  3.68253968] ; [84.68253968 25.31746032],0
s6,1,0.405768,0.691167,[8 8] ; [64 41],[9.52066116 6.47933884] ; [62.47933884 42.52066116],0
d4,1,0.427107,0.630677,[13  3] ; [79 31],[11.68253968  4.31746032] ; [80.31746032 29.68253968],0
p5,1,0.448484,0.57448,[ 1 15] ; [14 95],[ 1.92 14.08] ; [13.08 95.92],0
p11,1,0.454541,0.559304,[11  5] ; [85 25],[12.19047619  3.80952381] ; [83.80952381 26.19047619],0
s8,1,0.472787,0.515455,[7 9] ; [38 72],[ 5.71428571 10.28571429] ; [39.28571429 70.71428571],0
d5,1,0.5792,0.30753,[11  5] ; [82 27],[11.904  4.096] ; [81.096 27.904],0
s7,1,0.632161,0.229142,[7 9] ; [39 65],[6.13333333 9.86666667] ; [39.86666667 64.13333333],0
b5,1,0.650376,0.205426,[10  6] ; [75 35],[10.79365079  5.20634921] ; [74.20634921 35.79365079],0
s5,1,0.675218,0.175559,[ 4 11] ; [33 70],[ 4.70338983 10.29661017] ; [32.29661017 70.70338983],0
s2,1,0.682114,0.167755,[8 8] ; [49 61],[7.23809524 8.76190476] ; [49.76190476 60.23809524],0
u2,1,0.725486,0.123297,[4 3] ; [22 22],[3.56862745 3.43137255] ; [22.43137255 21.56862745],0
v4,1,0.764828,0.089489,[15  1] ; [105   5],[15.23809524  0.76190476] ; [104.76190476   5.23809524],0
p4,1,0.767209,0.087633,[9 7] ; [57 52],[8.448 7.552] ; [57.552 51.448],0
a3,1,0.775235,0.081529,[9 7] ; [66 44],[9.52380952 6.47619048] ; [65.47619048 44.52380952],0
p3,1,0.791895,0.069617,[7 9] ; [52 58],[7.49206349 8.50793651] ; [51.50793651 58.49206349],0
a8,1,0.84015,0.040684,[ 2 13] ; [12 92],[ 1.76470588 13.23529412] ; [12.23529412 91.76470588],0
b4,1,0.929707,0.007782,[10  6] ; [70 40],[10.15873016  5.84126984] ; [69.84126984 40.15873016],0
d1,1,0.938433,0.005966,[7 9] ; [47 63],[6.85714286 9.14285714] ; [47.14285714 62.85714286],0
a5,1,0.952292,0.00358,[9 7] ; [61 49],[8.88888889 7.11111111] ; [61.11111111 48.88888889],0
a1,1,0.986104,0.000303,[ 1 15] ; [  7 103],[ 1.01587302 14.98412698] ; [  6.98412698 103.01587302],0
p6,1,0.992813,8.1e-05,[ 6 10] ; [40 67],[ 5.98373984 10.01626016] ; [40.01626016 66.98373984],0
