Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.032476,4.573187,[18  8] ; [3 7],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
p6,1,0.035297,4.430769,[ 6 20] ; [6 4],[ 8.66666667 17.33333333] ; [3.33333333 6.66666667],0
r1,1,0.067174,3.350769,[14 12] ; [2 8],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
n5,1,0.096821,2.757147,[16 10] ; [9 1],[18.05555556  7.94444444] ; [6.94444444 3.05555556],0
b1,1,0.107093,2.596603,[18  8] ; [4 6],[15.88888889 10.11111111] ; [6.11111111 3.88888889],0
v1,1,0.149365,2.078721,[12 14] ; [2 8],[10.11111111 15.88888889] ; [3.88888889 6.11111111],0
b3,1,0.172208,1.863616,[6 9] ; [1 7],[ 4.56521739 10.43478261] ; [2.43478261 5.56521739],0
b2,1,0.172208,1.863616,[6 9] ; [1 7],[ 4.56521739 10.43478261] ; [2.43478261 5.56521739],0
s7,1,0.177968,1.814515,[ 8 15] ; [6 4],[ 9.75757576 13.24242424] ; [4.24242424 5.75757576],0
d3,1,0.199256,1.647821,[12 14] ; [7 3],[13.72222222 12.27777778] ; [5.27777778 4.72222222],0
p3,1,0.199256,1.647821,[14 12] ; [3 7],[12.27777778 13.72222222] ; [4.72222222 5.27777778],0
p9,1,0.22133,1.495726,[20  5] ; [6 4],[18.57142857  6.42857143] ; [7.42857143 2.57142857],0
a5,1,0.279401,1.17,[13 13] ; [7 3],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
d1,1,0.309923,1.031006,[ 6 20] ; [4 6],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
d2,1,0.39638,0.719281,[ 9 17] ; [5 5],[10.11111111 15.88888889] ; [3.88888889 6.11111111],0
s2,1,0.39638,0.719281,[ 9 17] ; [5 5],[10.11111111 15.88888889] ; [3.88888889 6.11111111],0
n3,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
n1,1,0.422489,0.643382,[8 9] ; [1 3],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
a4,1,0.445513,0.582042,[ 7 19] ; [4 6],[ 7.94444444 18.05555556] ; [3.05555556 6.94444444],0
p10,1,0.445513,0.582042,[19  7] ; [6 4],[18.05555556  7.94444444] ; [6.94444444 3.05555556],0
s5,1,0.456308,0.554936,[ 8 18] ; [4 5],[ 8.91428571 17.08571429] ; [3.08571429 5.91428571],0
v2,1,0.477748,0.504,[ 8 17] ; [2 8],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],0
v3,1,0.47824,0.502874,[ 5 20] ; [1 9],[ 4.28571429 20.71428571] ; [1.71428571 8.28571429],0
r4,1,0.51818,0.417515,[ 8 18] ; [2 8],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
b5,1,0.63591,0.224132,[16 10] ; [7 3],[16.61111111  9.38888889] ; [6.38888889 3.61111111],0
a3,1,0.677392,0.173077,[15 11] ; [5 5],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
a7,1,0.677392,0.173077,[11 15] ; [5 5],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
n2,1,0.694354,0.154412,[11  6] ; [3 1],[11.33333333  5.66666667] ; [2.66666667 1.33333333],0
s8,1,0.73549,0.11413,[ 9 16] ; [3 7],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
v4,1,0.73927,0.110769,[22  4] ; [8 2],[21.66666667  4.33333333] ; [8.33333333 1.66666667],0
d4,1,0.73927,0.110769,[14 12] ; [6 4],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
a6,1,0.73927,0.110769,[12 14] ; [4 6],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
p8,1,0.74753,0.103618,[11 14] ; [5 5],[11.42857143 13.57142857] ; [4.57142857 5.42857143],0
n6,1,0.79246,0.069231,[17  9] ; [7 3],[17.33333333  8.66666667] ; [6.66666667 3.33333333],0
a2,1,0.822456,0.05035,[ 2 24] ; [1 9],[ 2.16666667 23.83333333] ; [0.83333333 9.16666667],0
u1,1,0.822456,0.05035,[ 2 24] ; [1 9],[ 2.16666667 23.83333333] ; [0.83333333 9.16666667],0
s6,1,0.828969,0.046667,[11 14] ; [4 6],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
d5,1,0.835975,0.042867,[14 12] ; [5 5],[13.72222222 12.27777778] ; [5.27777778 4.72222222],0
u3,1,0.838464,0.041558,[5 6] ; [2 3],[4.8125 6.1875] ; [2.1875 2.8125],0
u2,1,0.838464,0.041558,[6 5] ; [3 2],[6.1875 4.8125] ; [2.8125 2.1875],0
r2,1,0.886436,0.020396,[18  8] ; [6 3],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
n4,1,0.899895,0.015824,[15 11] ; [6 4],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
p4,1,0.899895,0.015824,[15 11] ; [6 4],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
p7,1,0.9293,0.007872,[14 12] ; [5 4],[14.11428571 11.88571429] ; [4.88571429 4.11428571],0
p11,1,0.932412,0.007193,[16 10] ; [6 4],[15.88888889 10.11111111] ; [6.11111111 3.88888889],0
s3,1,1.0,0.0,[10 15] ; [4 6],[10. 15.] ; [4. 6.],0
