Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,84.334114,[365  91] ; [70 97],[318.39486356 137.60513644] ; [116.60513644  50.39486356],1
d3,1,0.0,63.389247,[355 102] ; [74 93],[314.1875 142.8125] ; [114.8125  52.1875],1
a2,1,0.0,33.528967,[150 309] ; [ 16 151],[121.71565495 337.28434505] ; [ 44.28434505 122.71565495],1
b5,1,1e-06,25.120109,[305 154] ; [74 93],[277.89297125 181.10702875] ; [101.10702875  65.89297125],1
u1,1,3e-06,21.585064,[113 346] ; [ 13 154],[ 92.38658147 366.61341853] ; [ 33.61341853 133.38658147],1
d1,1,0.001731,9.81503,[297 162] ; [85 82],[280.09265176 178.90734824] ; [101.90734824  65.09265176],0
b1,1,0.01677,5.720246,[166 293] ; [78 89],[178.90734824 280.09265176] ; [ 65.09265176 101.90734824],0
v2,1,0.017625,5.632997,[267 172] ; [80 80],[254.31218698 184.68781302] ; [92.68781302 67.31218698],0
u3,1,0.023975,5.096455,[76 45] ; [20 26],[69.55688623 51.44311377] ; [26.44311377 19.55688623],0
d4,1,0.028111,4.821222,[384  73] ; [126  39],[374.71061093  82.28938907] ; [135.28938907  29.71061093],0
r1,1,0.037177,4.3423,[401  55] ; [136  31],[393.0529695  62.9470305] ; [143.9470305  23.0529695],0
p4,1,0.041512,4.154996,[307 148] ; [98 69],[296.26205788 158.73794212] ; [108.73794212  58.26205788],0
d5,1,0.057719,3.601737,[385  72] ; [129  37],[377.04333868  79.95666132] ; [136.95666132  29.04333868],0
s5,1,0.063012,3.45628,[154 288] ; [69 91],[163.73089701 278.26910299] ; [ 59.26910299 100.73089701],0
r2,1,0.104326,2.638135,[451   7] ; [159   6],[448.44301766   9.55698234] ; [161.55698234   3.44301766],0
a5,1,0.109836,2.55658,[358 101] ; [120  47],[350.48242812 108.51757188] ; [127.51757188  39.48242812],0
b2,1,0.135257,2.23111,[106 173] ; [50 58],[112.46511628 166.53488372] ; [43.53488372 64.46511628],0
b3,1,0.135257,2.23111,[106 173] ; [50 58],[112.46511628 166.53488372] ; [43.53488372 64.46511628],0
s8,1,0.137734,2.203095,[211 242] ; [89 78],[219.19354839 233.80645161] ; [80.80645161 86.19354839],0
b4,1,0.141696,2.159446,[272 187] ; [88 79],[263.96166134 195.03833866] ; [96.03833866 70.96166134],0
p5,1,0.297003,1.087601,[ 59 395] ; [ 27 139],[ 62.97419355 391.02580645] ; [ 23.02580645 142.97419355],0
u2,1,0.301754,1.066425,[70 51] ; [22 23],[67.06024096 53.93975904] ; [24.93975904 20.06024096],0
s7,1,0.305782,1.048808,[225 207] ; [92 70],[230.54545455 201.45454545] ; [86.45454545 75.54545455],0
p1,1,0.316346,1.003994,[ 45 412] ; [ 12 154],[ 41.81219904 415.18780096] ; [ 15.18780096 150.81219904],0
s2,1,0.320637,0.986345,[251 202] ; [84 81],[245.55825243 207.44174757] ; [89.44174757 75.55825243],0
a8,1,0.365294,0.819611,[ 72 334] ; [ 23 135],[ 68.38652482 337.61347518] ; [ 26.61347518 131.38652482],0
n6,1,0.381926,0.764492,[417  40] ; [156  11],[419.64903846  37.35096154] ; [153.35096154  13.64903846],0
v1,1,0.403359,0.698291,[273 176] ; [93 70],[268.51960784 180.48039216] ; [97.48039216 65.51960784],0
r3,1,0.444175,0.585474,[448   9] ; [162   5],[446.74679487  10.25320513] ; [163.25320513   3.74679487],0
a4,1,0.452945,0.563272,[222 235] ; [75 91],[217.8635634 239.1364366] ; [79.1364366 86.8635634],0
n1,1,0.468015,0.526659,[38 41] ; [16 23],[36.15254237 42.84745763] ; [17.84745763 21.15254237],0
s4,1,0.482507,0.493192,[ 68 381] ; [ 29 137],[ 70.81788618 378.18211382] ; [ 26.18211382 139.81788618],0
n2,1,0.487147,0.482821,[66 16] ; [30 10],[64.52459016 17.47540984] ; [31.47540984  8.52459016],0
p7,1,0.506362,0.441578,[296 148] ; [114  50],[299.40789474 144.59210526] ; [110.59210526  53.40789474],0
p2,1,0.518684,0.416509,[393  65] ; [139  27],[390.47435897  67.52564103] ; [141.52564103  24.47435897],0
p8,1,0.548634,0.35977,[258 190] ; [90 74],[254.74509804 193.25490196] ; [93.25490196 70.74509804],0
p11,1,0.577639,0.310067,[376  83] ; [140  27],[378.34504792  80.65495208] ; [137.65495208  29.34504792],0
p3,1,0.611562,0.257907,[248 208] ; [87 80],[245.20064205 210.79935795] ; [89.79935795 77.20064205],0
p12,1,0.623505,0.240972,[ 45 412] ; [ 14 150],[ 43.41867955 413.58132045] ; [ 15.58132045 148.41867955],0
v3,1,0.624578,0.239486,[191 248] ; [75 89],[193.65505804 245.34494196] ; [72.34494196 91.65505804],0
p10,1,0.636045,0.223953,[392  62] ; [140  25],[390.19063005  63.80936995] ; [141.80936995  23.19063005],0
s6,1,0.651429,0.204104,[327 123] ; [114  47],[324.79541735 125.20458265] ; [116.20458265  44.79541735],0
a3,1,0.675452,0.17529,[338 118] ; [121  46],[335.96147673 120.03852327] ; [123.03852327  43.96147673],0
p6,1,0.678257,0.172094,[182 270] ; [ 63 101],[179.77272727 272.22727273] ; [65.22727273 98.77272727],0
d2,1,0.698605,0.149927,[236 220] ; [83 83],[233.86495177 222.13504823] ; [85.13504823 80.86495177],0
n4,1,0.748427,0.102858,[410  48] ; [148  19],[408.9024  49.0976] ; [149.0976  17.9024],0
n3,1,0.793487,0.068532,[62 19] ; [29 10],[61.425 19.575] ; [29.575  9.425],0
s3,1,0.867826,0.027696,[269 181] ; [98 68],[268.10064935 181.89935065] ; [98.89935065 67.10064935],0
v4,1,0.901671,0.015265,[450   9] ; [163   3],[450.1872   8.8128] ; [162.8128   3.1872],0
p9,1,0.919445,0.010228,[398  53] ; [146  20],[397.64019449  53.35980551] ; [146.35980551  19.64019449],0
a1,1,0.928091,0.008144,[ 20 439] ; [  7 160],[ 19.7971246 439.2028754] ; [  7.2028754 159.7971246],0
s1,1,0.961596,0.002318,[ 14 434] ; [  5 159],[ 13.90849673 434.09150327] ; [  5.09150327 158.90849673],0
u4,1,0.971135,0.001309,[ 14 445] ; [  5 162],[ 13.9313099 445.0686901] ; [  5.0686901 161.9313099],0
