Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-05,19.602337,[62 12] ; [27 30],[50.27480916 23.72519084] ; [38.72519084 18.27480916],1
d1,1,1.4e-05,18.848679,[45 29] ; [13 44],[32.76335878 41.23664122] ; [25.23664122 31.76335878],1
a4,1,7.7e-05,15.629851,[31 43] ; [ 6 51],[20.90076336 53.09923664] ; [16.09923664 40.90076336],1
d2,1,8.6e-05,15.416302,[36 38] ; [ 9 48],[25.41984733 48.58015267] ; [19.58015267 37.41984733],1
a3,1,0.000392,12.569292,[55 19] ; [25 32],[45.19083969 28.80916031] ; [34.80916031 22.19083969],1
d5,1,0.00086,11.107685,[65  9] ; [36 21],[57.05343511 16.94656489] ; [43.94656489 13.05343511],1
n4,1,0.025324,5.001617,[53 21] ; [30 27],[46.88549618 27.11450382] ; [36.11450382 20.88549618],0
a1,1,0.026142,4.946618,[ 9 65] ; [ 1 56],[ 5.64885496 68.35114504] ; [ 4.35114504 52.64885496],0
n5,1,0.044257,4.046717,[51 22] ; [30 27],[45.48461538 27.51538462] ; [35.51538462 21.48461538],0
s4,1,0.063966,3.431453,[11 63] ; [16 41],[15.2519084 58.7480916] ; [11.7480916 45.2519084],0
d4,1,0.097883,2.739701,[61 13] ; [40 17],[57.05343511 16.94656489] ; [43.94656489 13.05343511],0
s3,1,0.097968,2.738313,[38 36] ; [21 36],[33.32824427 40.67175573] ; [25.67175573 31.32824427],0
b1,1,0.102014,2.673774,[31 43] ; [16 41],[26.54961832 47.45038168] ; [20.45038168 36.54961832],0
u3,1,0.107851,2.585436,[11  7] ; [12 20],[8.28 9.72] ; [14.72 17.28],0
s5,1,0.130899,2.281806,[21 48] ; [10 44],[17.3902439 51.6097561] ; [13.6097561 40.3902439],0
r3,1,0.138824,2.190942,[60 13] ; [52  5],[62.89230769 10.10769231] ; [49.10769231  7.89230769],0
s2,1,0.144793,2.126266,[34 40] ; [19 38],[29.9389313 44.0610687] ; [23.0610687 33.9389313],0
u1,1,0.181903,1.782009,[ 7 67] ; [ 2 55],[ 5.08396947 68.91603053] ; [ 3.91603053 53.08396947],0
p2,1,0.219205,1.509565,[51 23] ; [44 12],[54.07692308 19.92307692] ; [40.92307692 15.07692308],0
v3,1,0.255489,1.293036,[19 53] ; [20 36],[21.9375 50.0625] ; [17.0625 38.9375],0
d3,1,0.270786,1.212761,[53 21] ; [35 21],[50.09230769 23.90769231] ; [37.90769231 18.09230769],0
p9,1,0.293864,1.101834,[60 13] ; [41 14],[57.6015625 15.3984375] ; [43.3984375 11.6015625],0
p4,1,0.369146,0.806539,[37 37] ; [24 33],[34.45801527 39.54198473] ; [26.54198473 30.45801527],0
n3,1,0.37095,0.800481,[15  9] ; [10  3],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
v1,1,0.379738,0.771548,[32 37] ; [22 35],[29.57142857 39.42857143] ; [24.42857143 32.57142857],0
v2,1,0.383444,0.75963,[32 40] ; [21 36],[29.58139535 42.41860465] ; [23.41860465 33.58139535],0
n2,1,0.392416,0.731442,[18  6] ; [8 5],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s1,1,0.402419,0.701087,[ 5 68] ; [ 2 55],[ 3.93076923 69.06923077] ; [ 3.06923077 53.93076923],0
v4,1,0.427781,0.628839,[61 13] ; [49  7],[62.61538462 11.38461538] ; [47.38461538  8.61538462],0
p12,1,0.466074,0.531267,[ 3 70] ; [ 4 53],[ 3.93076923 69.06923077] ; [ 3.06923077 53.93076923],0
p3,1,0.477891,0.503672,[34 39] ; [23 34],[32.00769231 40.99230769] ; [24.99230769 32.00769231],0
s8,1,0.551268,0.355051,[23 51] ; [15 42],[21.46564885 52.53435115] ; [16.53435115 40.46564885],0
p10,1,0.564474,0.332017,[56 17] ; [39 15],[54.60629921 18.39370079] ; [40.39370079 13.60629921],0
a8,1,0.635402,0.224806,[ 9 64] ; [ 5 47],[ 8.176 64.824] ; [ 5.824 46.176],0
s6,1,0.639626,0.219232,[39 33] ; [28 28],[37.6875 34.3125] ; [29.3125 26.6875],0
r4,1,0.651716,0.203744,[47 27] ; [34 23],[45.75572519 28.24427481] ; [35.24427481 21.75572519],0
s7,1,0.683743,0.165943,[25 44] ; [18 37],[23.92741935 45.07258065] ; [19.07258065 35.92741935],0
n6,1,0.722604,0.126011,[57 16] ; [43 14],[56.15384615 16.84615385] ; [43.84615385 13.15384615],0
p11,1,0.724378,0.124337,[54 20] ; [40 17],[53.09923664 20.90076336] ; [40.90076336 16.09923664],0
r2,1,0.746645,0.104372,[57 12] ; [45 11],[56.304 12.696] ; [45.696 10.304],0
p7,1,0.777428,0.079904,[37 36] ; [26 28],[36.21259843 36.78740157] ; [26.78740157 27.21259843],0
p6,1,0.813295,0.05578,[24 49] ; [17 38],[23.3828125 49.6171875] ; [17.6171875 37.3828125],0
p1,1,0.837949,0.041828,[ 6 68] ; [ 4 52],[ 5.69230769 68.30769231] ; [ 4.30769231 51.69230769],0
p5,1,0.853759,0.033976,[ 7 65] ; [ 6 50],[ 7.3125 64.6875] ; [ 5.6875 50.3125],0
p8,1,0.873585,0.025315,[31 42] ; [23 33],[30.55813953 42.44186047] ; [23.44186047 32.55813953],0
b4,1,0.929388,0.007853,[46 28] ; [35 22],[45.75572519 28.24427481] ; [35.24427481 21.75572519],0
u2,1,0.944208,0.004897,[10  9] ; [16 15],[9.88 9.12] ; [16.12 14.88],0
b5,1,0.95142,0.003712,[51 23] ; [39 18],[50.83969466 23.16030534] ; [39.16030534 17.83969466],0
n1,1,0.983306,0.000438,[ 7 16] ; [4 9],[ 7.02777778 15.97222222] ; [3.97222222 9.02777778],0
b3,1,0.989694,0.000167,[17 25] ; [13 19],[17.02702703 24.97297297] ; [12.97297297 19.02702703],0
b2,1,0.989694,0.000167,[17 25] ; [13 19],[17.02702703 24.97297297] ; [12.97297297 19.02702703],0
