Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,42.307692,[19 46] ; [80 20],[39. 26.] ; [60. 40.],1
n1,1,0.000376,12.649216,[ 3 22] ; [23 18],[ 9.84848485 15.15151515] ; [16.15151515 24.84848485],1
n6,1,0.001912,9.632132,[31 34] ; [71 28],[40.42682927 24.57317073] ; [61.57317073 37.42682927],0
p6,1,0.008314,6.964632,[ 6 57] ; [26 72],[12.52173913 50.47826087] ; [19.47826087 78.52173913],0
s7,1,0.00872,6.879303,[10 48] ; [35 59],[17.17105263 40.82894737] ; [27.82894737 66.17105263],0
a1,1,0.009834,6.664662,[ 1 64] ; [13 87],[ 5.51515152 59.48484848] ; [ 8.48484848 91.51515152],0
s4,1,0.01243,6.248521,[14 51] ; [ 8 92],[ 8.66666667 56.33333333] ; [13.33333333 86.66666667],0
u2,1,0.017438,5.651709,[15 11] ; [11 28],[10.4 15.6] ; [15.6 23.4],0
a8,1,0.038815,4.268957,[ 1 61] ; [ 9 80],[ 4.10596026 57.89403974] ; [ 5.89403974 83.10596026],0
p9,1,0.047389,3.931537,[25 38] ; [53 42],[31.10126582 31.89873418] ; [46.89873418 48.10126582],0
r3,1,0.067203,3.350059,[53 12] ; [68 31],[47.95731707 17.04268293] ; [73.04268293 25.95731707],0
u1,1,0.081964,3.025519,[ 4 61] ; [15 85],[ 7.48484848 57.51515152] ; [11.51515152 88.48484848],0
s8,1,0.083487,2.995687,[ 9 56] ; [25 75],[13.39393939 51.60606061] ; [20.60606061 79.39393939],0
b2,1,0.092981,2.821995,[ 7 24] ; [23 34],[10.56818182 20.43181818] ; [19.43181818 37.56818182],0
b3,1,0.092981,2.821995,[ 7 24] ; [23 34],[10.56818182 20.43181818] ; [19.43181818 37.56818182],0
a4,1,0.102264,2.669874,[19 46] ; [41 57],[23.92638037 41.07361963] ; [36.07361963 61.92638037],0
d3,1,0.131038,2.280162,[41 23] ; [51 47],[36.34567901 27.65432099] ; [55.65432099 42.34567901],0
v1,1,0.193293,1.692335,[18 46] ; [38 62],[21.85365854 42.14634146] ; [34.14634146 65.85365854],0
r2,1,0.211699,1.559768,[50 14] ; [84 14],[52.9382716 11.0617284] ; [81.0617284 16.9382716],0
a7,1,0.275506,1.189128,[45 19] ; [62 38],[41.75609756 22.24390244] ; [65.24390244 34.75609756],0
b4,1,0.287085,1.133242,[38 27] ; [50 50],[34.66666667 30.33333333] ; [53.33333333 46.66666667],0
a2,1,0.293647,1.102823,[10 55] ; [22 78],[12.60606061 52.39393939] ; [19.39393939 80.60606061],0
u3,1,0.366819,0.814413,[14 12] ; [17 23],[12.21212121 13.78787879] ; [18.78787879 21.21212121],0
d4,1,0.375573,0.785141,[48 17] ; [66 32],[45.4601227 19.5398773] ; [68.5398773 29.4601227],0
p10,1,0.422928,0.642165,[23 40] ; [42 56],[25.43478261 37.56521739] ; [39.56521739 58.43478261],0
n3,1,0.434967,0.609524,[15  9] ; [21 19],[13.5 10.5] ; [22.5 17.5],0
s6,1,0.447643,0.576613,[26 39] ; [46 54],[28.36363636 36.63636364] ; [43.63636364 56.36363636],0
v2,1,0.452963,0.563226,[25 36] ; [34 63],[22.77848101 38.22151899] ; [36.22151899 60.77848101],0
a5,1,0.471934,0.517444,[34 31] ; [58 42],[36.24242424 28.75757576] ; [55.75757576 44.24242424],0
p1,1,0.507282,0.43967,[ 4 61] ; [ 9 91],[ 5.12121212 59.87878788] ; [ 7.87878788 92.12121212],0
a3,1,0.530124,0.394154,[37 28] ; [60 37],[38.91975309 26.08024691] ; [58.08024691 38.91975309],0
n2,1,0.547744,0.361375,[13 12] ; [25 17],[14.17910448 10.82089552] ; [23.82089552 18.17910448],0
d1,1,0.553735,0.350669,[31 34] ; [43 57],[29.15151515 35.84848485] ; [44.84848485 55.15151515],0
s2,1,0.557536,0.343988,[23 42] ; [31 69],[21.27272727 43.72727273] ; [32.72727273 67.27272727],0
s1,1,0.60069,0.273956,[ 5 60] ; [10 89],[ 5.94512195 59.05487805] ; [ 9.05487805 89.94512195],0
s3,1,0.611463,0.25805,[28 35] ; [40 59],[26.44444444 36.55555556] ; [41.55555556 57.44444444],0
d2,1,0.623705,0.240694,[26 39] ; [43 55],[27.51533742 37.48466258] ; [41.48466258 56.51533742],0
p3,1,0.634184,0.22643,[21 43] ; [29 70],[19.63190184 44.36809816] ; [30.36809816 68.63190184],0
b5,1,0.649452,0.206592,[38 27] ; [62 38],[39.39393939 25.60606061] ; [60.60606061 39.39393939],0
p7,1,0.676662,0.173908,[26 39] ; [42 55],[27.28395062 37.71604938] ; [40.71604938 56.28395062],0
d5,1,0.72303,0.125608,[45 19] ; [67 32],[43.97546012 20.02453988] ; [68.02453988 30.97546012],0
r4,1,0.801168,0.063421,[41 24] ; [65 35],[41.75757576 23.24242424] ; [64.24242424 35.75757576],0
v4,1,0.836395,0.042645,[51 14] ; [79 20],[51.52439024 13.47560976] ; [78.47560976 20.52439024],0
a6,1,0.862957,0.029795,[37 28] ; [55 44],[36.46341463 28.53658537] ; [55.53658537 43.46341463],0
b1,1,0.869551,0.026971,[34 31] ; [51 49],[33.48484848 31.51515152] ; [51.51515152 48.48484848],0
v3,1,0.91735,0.010769,[17 42] ; [29 69],[17.2866242 41.7133758] ; [28.7133758 69.2866242],0
p8,1,0.931542,0.00738,[20 44] ; [30 68],[19.75308642 44.24691358] ; [30.24691358 67.75308642],0
r1,1,0.947626,0.004315,[43 22] ; [65 34],[42.80487805 22.19512195] ; [65.19512195 33.80487805],0
p4,1,0.955911,0.003056,[23 41] ; [36 63],[23.16564417 40.83435583] ; [35.83435583 63.16564417],0
p2,1,0.963959,0.002042,[37 28] ; [56 43],[36.8597561 28.1402439] ; [56.1402439 42.8597561],0
