Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,99.004646,[68 46] ; [330  14],[99.06550218 14.93449782] ; [298.93449782  45.06550218],1
r2,1,0.0,48.886166,[84 25] ; [333   9],[100.7827051   8.2172949] ; [316.2172949  25.7827051],1
s6,1,1e-06,23.301814,[53 61] ; [240  96],[74.22666667 39.77333333] ; [218.77333333 117.22666667],1
d4,1,2e-06,22.305782,[72 42] ; [289  55],[89.8558952 24.1441048] ; [271.1441048  72.8558952],1
d1,1,3e-06,22.16123,[39 75] ; [205 139],[60.73362445 53.26637555] ; [183.26637555 160.73362445],1
a5,1,1.5e-05,18.74186,[63 51] ; [263  81],[81.1441048 32.8558952] ; [244.8558952  99.1441048],1
r3,1,2.8e-05,17.515912,[96 17] ; [330  13],[105.56578947   7.43421053] ; [320.43421053  22.56578947],1
d3,1,9.5e-05,15.225259,[56 57] ; [240 104],[73.19037199 39.80962801] ; [222.80962801 121.19037199],1
v4,1,0.000101,15.111144,[98 16] ; [330  13],[106.76586433   7.23413567] ; [321.23413567  21.76586433],1
a3,1,0.000113,14.912856,[58 55] ; [244  99],[74.8377193 38.1622807] ; [227.1622807 115.8377193],1
a7,1,0.000157,14.281302,[64 49] ; [259  85],[79.86652079 33.13347921] ; [243.13347921 100.86652079],1
a2,1,0.000177,14.056155,[  9 105] ; [ 83 261],[22.89956332 91.10043668] ; [ 69.10043668 274.89956332],1
d5,1,0.000333,12.874138,[74 39] ; [281  63],[87.77899344 25.22100656] ; [267.22100656  76.77899344],1
n4,1,0.000969,10.885716,[73 41] ; [273  71],[86.12227074 27.87772926] ; [259.87772926  84.12227074],1
s8,1,0.000984,10.85692,[28 86] ; [143 199],[42.75 71.25] ; [128.25 213.75],1
s7,1,0.001047,10.742984,[31 75] ; [159 177],[45.56561086 60.43438914] ; [144.43438914 191.56561086],0
p7,1,0.001212,10.47141,[52 61] ; [214 124],[66.64745011 46.35254989] ; [199.35254989 138.64745011],0
u1,1,0.001518,10.056926,[  8 106] ; [ 68 276],[18.91703057 95.08296943] ; [ 57.08296943 286.91703057],0
d2,1,0.001698,9.850253,[36 76] ; [169 175],[50.35087719 61.64912281] ; [154.64912281 189.35087719],0
v1,1,0.001848,9.69425,[33 77] ; [159 180],[47.03786192 62.96213808] ; [144.96213808 194.03786192],0
a4,1,0.002223,9.35599,[34 79] ; [159 183],[47.93186813 65.06813187] ; [145.06813187 196.93186813],0
p2,1,0.002969,8.826448,[83 31] ; [292  51],[93.54485777 20.45514223] ; [281.45514223  61.54485777],0
p10,1,0.002985,8.816491,[77 34] ; [283  60],[88.01762115 22.98237885] ; [271.98237885  71.01762115],0
s3,1,0.003118,8.73681,[45 68] ; [191 151],[58.61098901 54.38901099] ; [177.38901099 164.61098901],0
v2,1,0.003251,8.661204,[32 81] ; [147 187],[45.25055928 67.74944072] ; [133.74944072 200.25055928],0
p6,1,0.00475,7.972393,[28 84] ; [136 206],[40.45814978 71.54185022] ; [123.54185022 218.45814978],0
u3,1,0.01521,5.891998,[21 34] ; [58 41],[28.21428571 26.78571429] ; [50.78571429 48.21428571],0
a6,1,0.018585,5.540146,[63 51] ; [232 112],[73.4279476 40.5720524] ; [221.5720524 122.4279476],0
p8,1,0.021437,5.290875,[46 68] ; [179 160],[56.62251656 57.37748344] ; [168.37748344 170.62251656],0
p11,1,0.040477,4.19776,[81 33] ; [276  68],[88.86026201 25.13973799] ; [268.13973799  75.86026201],0
n1,1,0.040843,4.182535,[ 9 27] ; [36 44],[13.96551724 22.03448276] ; [31.03448276 48.96551724],0
s2,1,0.048023,3.909197,[44 70] ; [168 173],[53.11648352 60.88351648] ; [158.88351648 182.11648352],0
p9,1,0.067923,3.332503,[85 25] ; [290  52],[91.26106195 18.73893805] ; [283.73893805  58.26106195],0
s5,1,0.068069,3.328979,[27 81] ; [115 219],[34.69683258 73.30316742] ; [107.30316742 226.69683258],0
a1,1,0.07205,3.235685,[  6 108] ; [  7 337],[  3.23580786 110.76419214] ; [  9.76419214 334.23580786],0
n5,1,0.09087,2.858897,[78 35] ; [264  79],[84.75 28.25] ; [257.25  85.75],0
p4,1,0.134379,2.241174,[58 56] ; [202 141],[64.85776805 49.14223195] ; [195.14223195 147.85776805],0
b3,1,0.171275,1.871748,[19 46] ; [ 78 124],[23.61423221 41.38576779] ; [ 73.38576779 128.61423221],0
b2,1,0.171275,1.871748,[19 46] ; [ 78 124],[23.61423221 41.38576779] ; [ 73.38576779 128.61423221],0
a8,1,0.183488,1.769147,[10 98] ; [ 45 271],[14.00943396 93.99056604] ; [ 40.99056604 275.00943396],0
s1,1,0.242189,1.367805,[  6 108] ; [ 10 331],[  4.00879121 109.99120879] ; [ 11.99120879 329.00879121],0
n3,1,0.316826,1.002003,[24 12] ; [59 19],[26.21052632  9.78947368] ; [56.78947368 21.21052632],0
b5,1,0.402332,0.701346,[72 42] ; [202 142],[68.20087336 45.79912664] ; [205.79912664 138.20087336],0
n2,1,0.439901,0.59654,[28  8] ; [56 23],[26.29565217  9.70434783] ; [57.70434783 21.29565217],0
p3,1,0.529912,0.394561,[48 66] ; [156 187],[50.88840263 63.11159737] ; [153.11159737 189.88840263],0
u2,1,0.541198,0.373324,[24 32] ; [47 51],[25.81818182 30.18181818] ; [45.18181818 52.81818182],0
p1,1,0.601843,0.272226,[  7 107] ; [ 26 316],[  8.25 105.75] ; [ 24.75 317.25],0
b1,1,0.625389,0.238365,[45 69] ; [127 217],[42.81222707 71.18777293] ; [129.18777293 214.81222707],0
s4,1,0.895124,0.017377,[24 90] ; [ 69 268],[23.50776053 90.49223947] ; [ 69.49223947 267.50776053],0
p5,1,0.973169,0.001131,[ 10 103] ; [ 30 313],[  9.9122807 103.0877193] ; [ 30.0877193 312.9122807],0
p12,1,0.984679,0.000369,[  6 107] ; [ 18 324],[  5.96043956 107.03956044] ; [ 18.03956044 323.96043956],0
b4,1,0.993137,7.4e-05,[66 48] ; [199 145],[65.96069869 48.03930131] ; [199.03930131 144.96069869],0
